Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4.5e-05,16.630498,[ 7 57] ; [17 19],[15.36 48.64] ; [ 8.64 27.36],1
d5,1,0.121336,2.399994,[40 26] ; [28  9],[43.57281553 22.42718447] ; [24.42718447 12.57281553],0
p2,1,0.138543,2.194065,[31 35] ; [23 14],[34.60194175 31.39805825] ; [19.39805825 17.60194175],0
s5,1,0.157205,2.000908,[ 5 61] ; [ 6 30],[ 7.11764706 58.88235294] ; [ 3.88235294 32.11764706],0
r2,1,0.18969,1.720024,[51 14] ; [32  4],[53.41584158 11.58415842] ; [29.58415842  6.41584158],0
s8,1,0.198762,1.651444,[ 4 62] ; [ 5 32],[ 5.76699029 60.23300971] ; [ 3.23300971 33.76699029],0
b5,1,0.198787,1.651261,[27 39] ; [20 17],[30.11650485 35.88349515] ; [16.88349515 20.11650485],0
p1,1,0.207688,1.587472,[ 4 61] ; [ 5 32],[ 5.73529412 59.26470588] ; [ 3.26470588 33.73529412],0
d3,1,0.223677,1.480626,[31 35] ; [22 15],[33.96116505 32.03883495] ; [19.03883495 17.96116505],0
a4,1,0.235628,1.40656,[27 38] ; [11 26],[24.21568627 40.78431373] ; [13.78431373 23.21568627],0
b2,1,0.236724,1.4,[13 32] ; [ 8 10],[15. 30.] ; [ 6. 12.],0
b3,1,0.236724,1.4,[13 32] ; [ 8 10],[15. 30.] ; [ 6. 12.],0
p10,1,0.247861,1.33532,[13 53] ; [11 26],[15.37864078 50.62135922] ; [ 8.62135922 28.37864078],0
a7,1,0.289977,1.119728,[35 31] ; [23 13],[37.52941176 28.47058824] ; [20.47058824 15.52941176],0
a1,1,0.311036,1.026272,[ 5 61] ; [ 1 36],[ 3.84466019 62.15533981] ; [ 2.15533981 34.84466019],0
r1,1,0.326686,0.961989,[40 26] ; [26 11],[42.29126214 23.70873786] ; [23.70873786 13.29126214],0
s2,1,0.364708,0.821616,[ 8 57] ; [ 7 30],[ 9.55882353 55.44117647] ; [ 5.44117647 31.55882353],0
n2,1,0.382942,0.761236,[17 18] ; [7 4],[18.26086957 16.73913043] ; [5.73913043 5.26086957],0
p3,1,0.410321,0.677871,[15 50] ; [11 25],[16.73267327 48.26732673] ; [ 9.26732673 26.73267327],0
b1,1,0.490238,0.476004,[31 35] ; [20 17],[32.67961165 33.32038835] ; [18.32038835 18.67961165],0
a2,1,0.537415,0.380352,[10 56] ; [ 4 33],[ 8.97087379 57.02912621] ; [ 5.02912621 31.97087379],0
n4,1,0.580438,0.305527,[41 25] ; [25 12],[42.29126214 23.70873786] ; [23.70873786 13.29126214],0
n5,1,0.587562,0.294168,[34 32] ; [17 20],[32.67961165 33.32038835] ; [18.32038835 18.67961165],0
a5,1,0.629522,0.232709,[36 30] ; [22 15],[37.16504854 28.83495146] ; [20.83495146 16.16504854],0
u2,1,0.632101,0.229223,[13 17] ; [5 9],[12.27272727 17.72727273] ; [5.72727273 8.27272727],0
s7,1,0.655928,0.198508,[10 51] ; [ 7 28],[10.80208333 50.19791667] ; [ 6.19791667 28.80208333],0
n1,1,0.677298,0.173183,[13 22] ; [3 7],[12.44444444 22.55555556] ; [3.55555556 6.44444444],0
a3,1,0.689517,0.159609,[36 29] ; [22 15],[36.96078431 28.03921569] ; [21.03921569 15.96078431],0
s3,1,0.697212,0.151388,[17 48] ; [11 26],[17.84313725 47.15686275] ; [10.15686275 26.84313725],0
u3,1,0.825709,0.048491,[11 19] ; [ 5 10],[10.66666667 19.33333333] ; [5.33333333 9.66666667],0
s1,1,0.897429,0.016618,[ 6 60] ; [ 3 33],[ 5.82352941 60.17647059] ; [ 3.17647059 32.82352941],0
u1,1,0.922849,0.009379,[ 5 61] ; [ 3 34],[ 5.12621359 60.87378641] ; [ 2.87378641 34.12621359],0
a8,1,0.942394,0.005222,[ 4 60] ; [ 2 32],[ 3.91836735 60.08163265] ; [ 2.08163265 31.91836735],0
