Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5.4e-05,16.294835,[101  39] ; [15 25],[90.22222222 49.77777778] ; [25.77777778 14.22222222],1
p4,1,0.41984,0.650764,[64 76] ; [15 24],[61.7877095 78.2122905] ; [17.2122905 21.7877095],0
b5,1,0.435002,0.609431,[85 55] ; [27 13],[87.11111111 52.88888889] ; [24.88888889 15.11111111],0
n4,1,0.464214,0.535714,[54 86] ; [18 22],[56. 84.] ; [16. 24.],0
p7,1,0.47713,0.505415,[80 56] ; [21 19],[78.04545455 57.95454545] ; [22.95454545 17.04545455],0
s5,1,0.50623,0.441852,[40 92] ; [13 23],[41.64285714 90.35714286] ; [11.35714286 24.64285714],0
v2,1,0.538236,0.378819,[70 62] ; [18 20],[68.32941176 63.67058824] ; [19.67058824 18.32941176],0
r3,1,0.542684,0.370588,[133   7] ; [37  3],[132.22222222   7.77777778] ; [37.77777778  2.22222222],0
s2,1,0.550147,0.357055,[63 76] ; [16 24],[61.34636872 77.65363128] ; [17.65363128 22.34636872],0
a3,1,0.565974,0.329466,[90 50] ; [27 12],[91.50837989 48.49162011] ; [25.49162011 13.50837989],0
b4,1,0.567269,0.327273,[84 56] ; [26 14],[85.55555556 54.44444444] ; [24.44444444 15.55555556],0
u2,1,0.571001,0.321011,[30 18] ; [7 6],[29.1147541 18.8852459] ; [7.8852459 5.1147541],0
p11,1,0.678845,0.171429,[104  36] ; [31  9],[105.  35.] ; [30. 10.],0
s1,1,0.680226,0.169871,[  5 135] ; [ 2 38],[  5.44444444 134.55555556] ; [ 1.55555556 38.44444444],0
p3,1,0.776411,0.080655,[56 84] ; [17 23],[56.77777778 83.22222222] ; [16.22222222 23.77777778],0
s6,1,0.790419,0.070632,[86 52] ; [24 16],[85.28089888 52.71910112] ; [24.71910112 15.28089888],0
p6,1,0.862046,0.030196,[38 99] ; [10 28],[37.57714286 99.42285714] ; [10.42285714 27.57714286],0
s7,1,0.863737,0.029453,[51 87] ; [15 24],[51.45762712 86.54237288] ; [14.54237288 24.45762712],0
d2,1,0.870164,0.026716,[54 86] ; [16 24],[54.44444444 85.55555556] ; [15.55555556 24.44444444],0
s8,1,0.902174,0.015108,[54 86] ; [15 25],[53.66666667 86.33333333] ; [15.33333333 24.66666667],0
v1,1,0.908402,0.013238,[54 81] ; [16 23],[54.31034483 80.68965517] ; [15.68965517 23.31034483],0
a8,1,0.950553,0.003845,[ 11 116] ; [ 3 33],[ 10.90797546 116.09202454] ; [ 3.09202454 32.90797546],0
s4,1,1.0,0.0,[ 28 112] ; [ 8 32],[ 28. 112.] ; [ 8. 32.],0
