Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.00011,14.953846,[ 7 32] ; [11  4],[13. 26.] ; [ 5. 10.],1
s3,1,0.197396,1.661538,[11 28] ; [7 8],[13. 26.] ; [ 5. 10.],0
r4,1,0.205439,1.603278,[ 7 33] ; [ 5 10],[ 8.72727273 31.27272727] ; [ 3.27272727 11.72727273],0
p7,1,0.205439,1.603278,[ 7 33] ; [ 5 10],[ 8.72727273 31.27272727] ; [ 3.27272727 11.72727273],0
d2,1,0.210393,1.568721,[16 23] ; [9 6],[18.05555556 20.94444444] ; [6.94444444 8.05555556],0
p11,1,0.216446,1.527778,[14 26] ; [8 7],[16. 24.] ; [6. 9.],0
u2,1,0.259177,1.273148,[ 2 14] ; [2 4],[ 2.90909091 13.09090909] ; [1.09090909 4.90909091],0
p2,1,0.273211,1.200555,[12 27] ; [7 8],[13.72222222 25.27777778] ; [5.27777778 9.72222222],0
d1,1,0.289051,1.124038,[15 25] ; [8 7],[16.72727273 23.27272727] ; [6.27272727 8.72727273],0
s4,1,0.32167,0.982143,[ 4 36] ; [ 3 12],[ 5.09090909 34.90909091] ; [ 1.90909091 13.09090909],0
a2,1,0.32167,0.982143,[ 4 36] ; [ 3 12],[ 5.09090909 34.90909091] ; [ 1.90909091 13.09090909],0
a8,1,0.39296,0.729764,[ 6 33] ; [ 1 14],[ 5.05555556 33.94444444] ; [ 1.94444444 13.05555556],0
a4,1,0.467166,0.528671,[14 25] ; [7 8],[15.16666667 23.83333333] ; [5.83333333 9.16666667],0
p10,1,0.467166,0.528671,[14 25] ; [7 8],[15.16666667 23.83333333] ; [5.83333333 9.16666667],0
d3,1,0.472386,0.516389,[17 23] ; [8 7],[18.18181818 21.81818182] ; [6.81818182 8.18181818],0
p1,1,0.482289,0.493684,[ 5 35] ; [ 3 12],[ 5.81818182 34.18181818] ; [ 2.18181818 12.81818182],0
n3,1,0.537892,0.379461,[ 8 10] ; [3 2],[8.60869565 9.39130435] ; [2.39130435 2.60869565],0
b4,1,0.557476,0.344094,[26 14] ; [11  4],[26.90909091 13.09090909] ; [10.09090909  4.90909091],0
n5,1,0.557476,0.344094,[26 14] ; [11  4],[26.90909091 13.09090909] ; [10.09090909  4.90909091],0
n2,1,0.615228,0.252632,[10  9] ; [2 3],[9.5 9.5] ; [2.5 2.5],0
a6,1,0.618841,0.2475,[19 21] ; [6 9],[18.18181818 21.81818182] ; [6.81818182 8.18181818],0
a5,1,0.618841,0.2475,[21 19] ; [9 6],[21.81818182 18.18181818] ; [8.18181818 6.81818182],0
a7,1,0.655306,0.199275,[16 24] ; [7 8],[16.72727273 23.27272727] ; [6.27272727 8.72727273],0
d4,1,0.676734,0.173826,[27 13] ; [11  4],[27.63636364 12.36363636] ; [10.36363636  4.63636364],0
r2,1,0.695711,0.152972,[20 17] ; [9 6],[20.63461538 16.36538462] ; [8.36538462 6.63461538],0
p9,1,0.762789,0.091096,[16 22] ; [7 8],[16.49056604 21.50943396] ; [6.50943396 8.49056604],0
s1,1,0.808466,0.058761,[ 2 38] ; [ 1 14],[ 2.18181818 37.81818182] ; [ 0.81818182 14.18181818],0
n4,1,0.899438,0.01597,[30 10] ; [11  4],[29.81818182 10.18181818] ; [11.18181818  3.81818182],0
u1,1,0.915591,0.011234,[ 3 37] ; [ 1 14],[ 2.90909091 37.09090909] ; [ 1.09090909 13.90909091],0
a3,1,0.917272,0.010789,[24 15] ; [9 6],[23.83333333 15.16666667] ; [9.16666667 5.83333333],0
b1,1,1.0,0.0,[24 16] ; [9 6],[24. 16.] ; [9. 6.],0
