Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,79.350911,[342  86] ; [66 92],[297.99317406 130.00682594] ; [110.00682594  47.99317406],1
n6,1,0.296713,1.08891,[382  47] ; [134  22],[378.4  50.6] ; [137.6  18.4],0
d2,1,0.323547,0.974554,[239 189] ; [81 77],[233.72013652 194.27986348] ; [86.27986348 71.72013652],0
u4,1,0.328506,0.954778,[ 10 421] ; [  6 152],[ 11.70797963 419.29202037] ; [  4.29202037 153.70797963],0
s1,1,0.378826,0.77451,[ 15 408] ; [  8 147],[ 16.83217993 406.16782007] ; [  6.16782007 148.83217993],0
n5,1,0.415144,0.664022,[372  57] ; [132  25],[368.96928328  60.03071672] ; [135.03071672  21.96928328],0
p8,1,0.416314,0.660698,[236 185] ; [81 74],[231.69618056 189.30381944] ; [85.30381944 69.69618056],0
p5,1,0.417635,0.65696,[ 55 372] ; [ 24 131],[ 57.9604811 369.0395189] ; [ 21.0395189 133.9604811],0
v3,1,0.42998,0.622878,[178 236] ; [71 81],[182.13074205 231.86925795] ; [66.86925795 85.13074205],0
p10,1,0.467345,0.528247,[358  69] ; [126  29],[355.09965636  71.90034364] ; [128.90034364  26.09965636],0
s3,1,0.475038,0.510234,[243 177] ; [96 61],[246.75909879 173.24090121] ; [92.24090121 64.75909879],0
p6,1,0.531744,0.391057,[174 251] ; [59 96],[170.73275862 254.26724138] ; [62.26724138 92.73275862],0
s2,1,0.56643,0.328692,[229 193] ; [81 76],[225.94127807 196.05872193] ; [84.05872193 72.94127807],0
a3,1,0.606407,0.26544,[325 102] ; [117  41],[322.62222222 104.37777778] ; [119.37777778  38.62222222],0
p12,1,0.617811,0.248956,[ 42 386] ; [ 13 141],[ 40.4467354 387.5532646] ; [ 14.5532646 139.4467354],0
p3,1,0.690418,0.158633,[228 200] ; [86 70],[230.12328767 197.87671233] ; [83.87671233 72.12328767],0
s6,1,0.798452,0.065204,[296 126] ; [109  44],[297.23478261 124.76521739] ; [107.76521739  45.23478261],0
p7,1,0.824975,0.048908,[278 141] ; [100  53],[276.89160839 142.10839161] ; [101.10839161  51.89160839],0
v1,1,0.867317,0.027911,[245 178] ; [88 66],[244.12305026 178.87694974] ; [88.87694974 65.12305026],0
n1,1,0.882029,0.022022,[34 40] ; [16 20],[33.63636364 40.36363636] ; [16.36363636 19.63636364],0
u2,1,0.897332,0.016649,[59 46] ; [22 18],[58.65517241 46.34482759] ; [22.34482759 17.65517241],0
a1,1,0.924416,0.009001,[ 21 410] ; [  8 150],[ 21.22071307 409.77928693] ; [  7.77928693 150.22071307],0
p11,1,0.957497,0.00284,[350  81] ; [128  30],[349.77589134  81.22410866] ; [128.22410866  29.77589134],0
