Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,50.244361,[ 65 100] ; [106  26],[95. 70.] ; [76. 56.],1
s8,1,0.103817,2.645904,[ 54 112] ; [55 77],[ 60.71812081 105.28187919] ; [48.28187919 83.71812081],0
d2,1,0.120882,2.405859,[98 65] ; [68 65],[91.41216216 71.58783784] ; [74.58783784 58.41216216],0
s2,1,0.136655,2.215227,[67 98] ; [65 67],[73.33333333 91.66666667] ; [58.66666667 73.33333333],0
n5,1,0.167994,1.90075,[107  57] ; [96 36],[112.47297297  51.52702703] ; [90.52702703 41.47297297],0
d1,1,0.175416,1.836042,[110  56] ; [78 55],[104.37458194  61.62541806] ; [83.62541806 49.37458194],0
s5,1,0.194145,1.685882,[ 43 116] ; [44 85],[ 48.03125 110.96875] ; [38.96875 90.03125],0
p12,1,0.217453,1.5211,[  8 158] ; [ 11 121],[ 10.58389262 155.41610738] ; [  8.41610738 123.58389262],0
v2,1,0.219073,1.510433,[66 94] ; [63 67],[71.17241379 88.82758621] ; [57.82758621 72.17241379],0
a6,1,0.22416,1.477537,[128  37] ; [95 38],[123.47315436  41.52684564] ; [99.52684564 33.47315436],0
n1,1,0.237256,1.396825,[25 35] ; [ 8 20],[22.5 37.5] ; [10.5 17.5],0
u1,1,0.243534,1.360023,[ 35 131] ; [ 21 112],[ 31.090301 134.909699] ; [ 24.909699 108.090301],0
b4,1,0.24706,1.339853,[96 70] ; [68 65],[91.05016722 74.94983278] ; [72.94983278 60.05016722],0
d4,1,0.263083,1.252459,[143  22] ; [109  24],[139.53020134  25.46979866] ; [112.46979866  20.53020134],0
u3,1,0.281443,1.16011,[13 17] ; [22 17],[15.2173913 14.7826087] ; [19.7826087 19.2173913],0
s7,1,0.283245,1.151455,[68 88] ; [63 63],[72.46808511 83.53191489] ; [58.53191489 67.46808511],0
d5,1,0.324972,0.968832,[141  24] ; [108  25],[137.86912752  27.13087248] ; [111.13087248  21.86912752],0
a8,1,0.326889,0.961183,[ 14 138] ; [ 16 108],[ 16.52173913 135.47826087] ; [ 13.47826087 110.52173913],0
p1,1,0.331027,0.944878,[ 10 155] ; [ 12 121],[ 12.18120805 152.81879195] ; [  9.81879195 123.18120805],0
b5,1,0.358012,0.844853,[90 76] ; [65 68],[86.05351171 79.94648829] ; [68.94648829 64.05351171],0
u2,1,0.483918,0.49002,[14 14] ; [24 17],[15.42028986 12.57971014] ; [22.57971014 18.42028986],0
s1,1,0.492056,0.472028,[  5 160] ; [  6 126],[  6.11111111 158.88888889] ; [  4.88888889 127.11111111],0
v3,1,0.590394,0.289729,[ 43 115] ; [40 93],[ 45.0652921 112.9347079] ; [37.9347079 95.0652921],0
a1,1,0.622345,0.242586,[ 11 155] ; [  7 126],[  9.99331104 156.00668896] ; [  8.00668896 124.99331104],0
n4,1,0.626578,0.23673,[130  36] ; [101  32],[128.24749164  37.75250836] ; [102.75250836  30.24749164],0
s3,1,0.638024,0.221336,[86 80] ; [72 60],[88.01342282 77.98657718] ; [69.98657718 62.01342282],0
s4,1,0.664123,0.188554,[ 32 133] ; [ 23 109],[ 30.55555556 134.44444444] ; [ 24.44444444 107.55555556],0
n2,1,0.714078,0.134238,[41 22] ; [20  9],[41.77173913 21.22826087] ; [19.22826087  9.77173913],0
a7,1,0.738883,0.111111,[119  47] ; [93 40],[117.69899666  48.30100334] ; [94.30100334 38.69899666],0
n3,1,0.777617,0.079764,[41 18] ; [21  8],[41.56818182 17.43181818] ; [20.43181818  8.56818182],0
r2,1,0.859323,0.031413,[150  12] ; [122   9],[150.3890785  11.6109215] ; [121.6109215   9.3890785],0
u4,1,0.874795,0.024829,[  1 165] ; [  1 132],[  1.11036789 164.88963211] ; [  0.88963211 132.11036789],0
d3,1,0.965013,0.001924,[117  48] ; [94 39],[116.82885906  48.17114094] ; [94.17114094 38.82885906],0
b1,1,0.966477,0.001766,[67 99] ; [54 79],[67.17725753 98.82274247] ; [53.82274247 79.17725753],0
