Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.9e-05,17.469252,[92 31] ; [ 7 16],[83.40410959 39.59589041] ; [15.59589041  7.40410959],1
r3,1,0.752074,0.099796,[109  14] ; [20  2],[109.42758621  13.57241379] ; [19.57241379  2.42758621],0
s1,1,0.79083,0.070348,[  4 119] ; [ 1 22],[  4.21232877 118.78767123] ; [ 0.78767123 22.21232877],0
u1,1,0.795009,0.067502,[  7 116] ; [ 1 22],[  6.73972603 116.26027397] ; [ 1.26027397 21.73972603],0
n2,1,0.811907,0.056628,[28  9] ; [5 2],[27.75  9.25] ; [5.25 1.75],0
n4,1,0.832118,0.044938,[83 40] ; [15  8],[82.56164384 40.43835616] ; [15.43835616  7.56164384],0
n3,1,0.840606,0.040449,[25 12] ; [5 2],[25.22727273 11.77272727] ; [4.77272727 2.22727273],0
v2,1,0.855,0.033395,[49 70] ; [ 9 14],[48.6056338 70.3943662] ; [ 9.3943662 13.6056338],0
a5,1,0.857287,0.032339,[72 51] ; [13 10],[71.60958904 51.39041096] ; [13.39041096  9.60958904],0
d4,1,0.877998,0.023565,[89 34] ; [17  6],[89.30136986 33.69863014] ; [16.69863014  6.30136986],0
s6,1,0.921864,0.009621,[68 50] ; [13 10],[67.78723404 50.21276596] ; [13.21276596  9.78723404],0
s8,1,0.927507,0.008278,[44 79] ; [ 8 15],[43.80821918 79.19178082] ; [ 8.19178082 14.80821918],0
