Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.009087,6.805556,[12 42] ; [9 7],[16.2 37.8] ; [ 4.8 11.2],0
d4,1,0.472698,0.515662,[36 19] ; [12  4],[37.18309859 17.81690141] ; [10.81690141  5.18309859],0
a6,1,0.47602,0.507967,[33 22] ; [8 8],[31.76056338 23.23943662] ; [9.23943662 6.76056338],0
r4,1,0.49478,0.466114,[44 11] ; [14  2],[44.92957746 10.07042254] ; [13.07042254  2.92957746],0
a5,1,0.501179,0.452439,[36 19] ; [9 7],[34.85915493 20.14084507] ; [10.14084507  5.85915493],0
v2,1,0.503968,0.446571,[24 31] ; [8 7],[25.14285714 29.85714286] ; [6.85714286 8.14285714],0
d1,1,0.52728,0.399631,[26 29] ; [9 7],[27.11267606 27.88732394] ; [7.88732394 8.11267606],0
p7,1,0.552119,0.353535,[32 23] ; [10  5],[33. 22.] ; [9. 6.],0
p8,1,0.56917,0.324074,[28 26] ; [7 9],[27. 27.] ; [8. 8.],0
p11,1,0.572316,0.318823,[30 25] ; [10  6],[30.98591549 24.01408451] ; [9.01408451 6.98591549],0
n4,1,0.59219,0.286937,[35 20] ; [9 7],[34.08450704 20.91549296] ; [9.91549296 6.08450704],0
n2,1,0.626928,0.23625,[11  4] ; [5 1],[11.42857143  3.57142857] ; [4.57142857 1.42857143],0
p2,1,0.644891,0.212402,[41 14] ; [11  5],[40.28169014 14.71830986] ; [11.71830986  4.28169014],0
d3,1,0.648517,0.207775,[38 17] ; [12  4],[38.73239437 16.26760563] ; [11.26760563  4.73239437],0
b1,1,0.661858,0.191275,[31 24] ; [10  6],[31.76056338 23.23943662] ; [9.23943662 6.76056338],0
p10,1,0.674034,0.17692,[14 40] ; [ 5 11],[14.65714286 39.34285714] ; [ 4.34285714 11.65714286],0
n6,1,0.718816,0.12963,[38 16] ; [12  4],[38.57142857 15.42857143] ; [11.42857143  4.57142857],0
s8,1,0.748834,0.102513,[16 39] ; [ 4 12],[15.49295775 39.50704225] ; [ 4.50704225 11.49295775],0
r1,1,0.748834,0.102513,[39 16] ; [12  4],[39.50704225 15.49295775] ; [11.49295775  4.50704225],0
p3,1,0.896429,0.016945,[26 28] ; [8 8],[26.22857143 27.77142857] ; [7.77142857 8.22857143],0
a1,1,0.90333,0.014752,[ 3 52] ; [ 1 15],[ 3.09859155 51.90140845] ; [ 0.90140845 15.09859155],0
s3,1,0.960826,0.002412,[30 24] ; [9 7],[30.08571429 23.91428571] ; [8.91428571 7.08571429],0
u2,1,1.0,0.0,[12 18] ; [2 3],[12. 18.] ; [2. 3.],0
