Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6e-05,16.10971,[57 15] ; [ 5 12],[50.15730337 21.84269663] ; [11.84269663  5.15730337],1
p6,1,0.306425,1.046021,[26 45] ; [ 4 13],[24.20454545 46.79545455] ; [ 5.79545455 11.20454545],0
n4,1,0.32232,0.97951,[55 17] ; [11  6],[53.39325843 18.60674157] ; [12.60674157  4.39325843],0
b5,1,0.35217,0.865624,[30 42] ; [ 5 12],[28.31460674 43.68539326] ; [ 6.68539326 10.31460674],0
v2,1,0.373863,0.790785,[38 34] ; [11  6],[39.64044944 32.35955056] ; [9.35955056 7.64044944],0
s7,1,0.442423,0.589991,[21 46] ; [ 7 10],[22.33333333 44.66666667] ; [ 5.66666667 11.33333333],0
a5,1,0.452341,0.564779,[53 19] ; [14  3],[54.20224719 17.79775281] ; [12.79775281  4.20224719],0
n5,1,0.46246,0.539935,[53 19] ; [11  6],[51.7752809 20.2247191] ; [12.2247191  4.7752809],0
d3,1,0.468021,0.526646,[45 27] ; [9 8],[43.68539326 28.31460674] ; [10.31460674  6.68539326],0
r2,1,0.510401,0.433244,[63  8] ; [16  1],[63.73863636  7.26136364] ; [15.26136364  1.73863636],0
n3,1,0.516937,0.42,[12  4] ; [3 2],[11.42857143  4.57142857] ; [3.57142857 1.42857143],0
d4,1,0.51917,0.415543,[58 13] ; [15  2],[58.89772727 12.10227273] ; [14.10227273  2.89772727],0
p5,1,0.520731,0.412444,[18 54] ; [ 3 14],[16.98876404 55.01123596] ; [ 4.01123596 12.98876404],0
a2,1,0.533147,0.388389,[13 59] ; [ 2 15],[12.13483146 59.86516854] ; [ 2.86516854 14.13483146],0
a7,1,0.565869,0.329644,[43 28] ; [9 8],[41.95454545 29.04545455] ; [10.04545455  6.95454545],0
r3,1,0.66943,0.18227,[65  6] ; [15  2],[64.54545455  6.45454545] ; [15.45454545  1.54545455],0
s6,1,0.6748,0.176039,[45 24] ; [12  5],[45.73255814 23.26744186] ; [11.26744186  5.73255814],0
p1,1,0.69312,0.155728,[10 62] ; [ 3 14],[10.51685393 61.48314607] ; [ 2.48314607 14.51685393],0
r1,1,0.712211,0.136078,[61 11] ; [15  2],[61.48314607 10.51685393] ; [14.51685393  2.48314607],0
a4,1,0.764776,0.089529,[31 41] ; [8 9],[31.5505618 40.4494382] ; [7.4494382 9.5505618],0
a8,1,0.767491,0.087414,[11 56] ; [ 2 13],[10.62195122 56.37804878] ; [ 2.37804878 12.62195122],0
b4,1,0.779013,0.078739,[45 27] ; [10  7],[44.49438202 27.50561798] ; [10.50561798  6.49438202],0
n6,1,0.809301,0.058239,[61 11] ; [14  3],[60.6741573 11.3258427] ; [14.3258427  2.6741573],0
s8,1,0.81928,0.052199,[23 48] ; [ 6 11],[23.39772727 47.60227273] ; [ 5.60227273 11.39772727],0
b2,1,0.8341,0.043867,[18 24] ; [6 7],[18.32727273 23.67272727] ; [5.67272727 7.32727273],0
b3,1,0.8341,0.043867,[18 24] ; [6 7],[18.32727273 23.67272727] ; [5.67272727 7.32727273],0
v3,1,0.872596,0.025716,[24 48] ; [ 5 11],[23.72727273 48.27272727] ; [ 5.27272727 10.72727273],0
a3,1,0.899404,0.01598,[49 22] ; [12  5],[49.21590909 21.78409091] ; [11.78409091  5.21590909],0
u1,1,0.922628,0.009433,[12 60] ; [ 3 14],[12.13483146 59.86516854] ; [ 2.86516854 14.13483146],0
n2,1,0.930912,0.007516,[11  6] ; [4 2],[11.08695652  5.91304348] ; [3.91304348 2.08695652],0
s3,1,0.941457,0.005393,[12 59] ; [ 3 14],[12.10227273 58.89772727] ; [ 2.89772727 14.10227273],0
d1,1,0.970576,0.001361,[42 30] ; [10  7],[42.06741573 29.93258427] ; [9.93258427 7.06741573],0
a6,1,0.970576,0.001361,[42 30] ; [10  7],[42.06741573 29.93258427] ; [9.93258427 7.06741573],0
