Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,117.005287,[446  12] ; [71 39],[416.87676056  41.12323944] ; [100.12323944   9.87676056],1
s5,1,0.00766,7.111192,[168 275] ; [25 79],[156.30530165 286.69469835] ; [36.69469835 67.30530165],0
v3,1,0.007841,7.069425,[207 234] ; [35 72],[194.74817518 246.25182482] ; [47.25182482 59.74817518],0
p8,1,0.00916,6.791409,[276 170] ; [52 56],[264.05776173 181.94223827] ; [63.94223827 44.05776173],0
p2,1,0.012767,6.201176,[400  55] ; [85 23],[391.96269982  63.03730018] ; [93.03730018 14.96269982],0
s6,1,0.013524,6.099287,[324 124] ; [65 43],[313.43884892 134.56115108] ; [75.56115108 32.43884892],0
n6,1,0.021996,5.246111,[424  32] ; [94 15],[418.06725664  37.93274336] ; [99.93274336  9.06725664],0
p4,1,0.023967,5.097015,[310 144] ; [62 47],[299.97868561 154.02131439] ; [72.02131439 36.97868561],0
s8,1,0.028941,4.771129,[225 227] ; [42 68],[214.74021352 237.25978648] ; [52.25978648 57.74021352],0
s3,1,0.02921,4.755196,[270 176] ; [54 56],[259.89928058 186.10071942] ; [64.10071942 45.89928058],0
s7,1,0.032454,4.574352,[240 197] ; [45 59],[230.21256932 206.78743068] ; [54.78743068 49.21256932],0
a3,1,0.033203,4.535268,[344 112] ; [72 38],[335.15194346 120.84805654] ; [80.84805654 29.15194346],0
s2,1,0.035887,4.402463,[250 199] ; [49 61],[240.1627907 208.8372093] ; [58.8372093 51.1627907],0
b4,1,0.048903,3.878683,[261 197] ; [74 36],[270.12323944 187.87676056] ; [64.87676056 45.12323944],0
p12,1,0.077956,3.107019,[ 51 402] ; [  6 102],[ 46.02673797 406.97326203] ; [10.97326203 97.02673797],0
b3,1,0.095397,2.780859,[122 170] ; [22 49],[115.83471074 176.16528926] ; [28.16528926 42.83471074],0
b2,1,0.095397,2.780859,[122 170] ; [22 49],[115.83471074 176.16528926] ; [28.16528926 42.83471074],0
u2,1,0.114889,2.485652,[70 43] ; [18 20],[65.85430464 47.14569536] ; [22.14569536 15.85430464],0
p3,1,0.120884,2.405836,[254 200] ; [52 57],[246.75666075 207.24333925] ; [59.24333925 49.75666075],0
s4,1,0.144924,2.124881,[ 68 380] ; [23 87],[ 73.0609319 374.9390681] ; [17.9390681 92.0609319],0
p10,1,0.188386,1.730192,[410  43] ; [94 15],[406.24911032  46.75088968] ; [97.75088968 11.24911032],0
a8,1,0.237203,1.397143,[ 66 345] ; [12 93],[ 62.12790698 348.87209302] ; [15.87209302 89.12790698],0
s1,1,0.482429,0.493366,[ 11 437] ; [  4 105],[ 12.06463196 435.93536804] ; [  2.93536804 106.06463196],0
n3,1,0.482569,0.493052,[50 20] ; [28  8],[51.50943396 18.49056604] ; [26.49056604  9.50943396],0
n1,1,0.494753,0.466174,[26 44] ; [15 19],[27.59615385 42.40384615] ; [13.40384615 20.59615385],0
p1,1,0.494886,0.465886,[ 40 414] ; [12 98],[ 41.85815603 412.14184397] ; [10.14184397 99.85815603],0
a1,1,0.548737,0.359585,[ 19 439] ; [  6 104],[ 20.1584507 437.8415493] ; [  4.8415493 105.1584507],0
u4,1,0.549014,0.359087,[ 13 445] ; [  2 108],[ 12.09507042 445.90492958] ; [  2.90492958 107.09507042],0
p6,1,0.572347,0.318772,[182 269] ; [40 67],[179.43010753 271.56989247] ; [42.56989247 64.43010753],0
b5,1,0.68278,0.167013,[265 193] ; [66 44],[266.89788732 191.10211268] ; [64.10211268 45.89788732],0
b1,1,0.713533,0.134774,[171 287] ; [39 71],[169.33098592 288.66901408] ; [40.66901408 69.33098592],0
n2,1,0.789337,0.07138,[56 14] ; [28  8],[55.47169811 14.52830189] ; [28.52830189  7.47169811],0
p9,1,0.826825,0.047863,[406  44] ; [100  10],[406.60714286  43.39285714] ; [99.39285714 10.60714286],0
p5,1,0.829255,0.046508,[ 66 387] ; [15 94],[ 65.29003559 387.70996441] ; [15.70996441 93.29003559],0
