Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.106139,[ 16 120] ; [14 13],[ 25.03067485 110.96932515] ; [ 4.96932515 22.03067485],1
v3,1,0.379187,0.773337,[ 40 100] ; [10 17],[41.91616766 98.08383234] ; [ 8.08383234 18.91616766],0
s1,1,0.382967,0.761155,[  5 136] ; [ 2 26],[  5.84023669 135.15976331] ; [ 1.15976331 26.84023669],0
n1,1,0.41814,0.655536,[17 30] ; [2 7],[15.94642857 31.05357143] ; [3.05357143 5.94642857],0
r1,1,0.440564,0.594813,[78 64] ; [17 10],[79.82248521 62.17751479] ; [15.17751479 11.82248521],0
a6,1,0.489523,0.477575,[71 71] ; [16 12],[72.67058824 69.32941176] ; [14.32941176 13.67058824],0
p1,1,0.495039,0.465555,[ 10 132] ; [ 1 27],[  9.18823529 132.81176471] ; [ 1.81176471 26.18823529],0
s4,1,0.510039,0.433987,[ 16 125] ; [ 2 26],[ 15.01775148 125.98224852] ; [ 2.98224852 25.01775148],0
a4,1,0.644199,0.213292,[ 25 116] ; [ 6 22],[ 25.86390533 115.13609467] ; [ 5.13609467 22.86390533],0
n2,1,0.655306,0.199275,[27 19] ; [6 3],[27.6 18.4] ; [5.4 3.6],0
d5,1,0.683341,0.166389,[82 60] ; [15 13],[81.02352941 60.97647059] ; [15.97647059 12.02352941],0
d2,1,0.72712,0.121772,[ 31 110] ; [ 7 21],[ 31.70414201 109.29585799] ; [ 6.29585799 21.70414201],0
d1,1,0.78846,0.07199,[ 39 103] ; [ 7 21],[ 38.42352941 103.57647059] ; [ 7.57647059 20.42352941],0
s5,1,0.821643,0.05082,[ 19 120] ; [ 3 22],[ 18.64634146 120.35365854] ; [ 3.35365854 21.64634146],0
a1,1,0.82901,0.046643,[  4 138] ; [ 1 27],[  4.17647059 137.82352941] ; [ 0.82352941 27.17647059],0
r2,1,0.85041,0.035568,[117  24] ; [22  5],[116.66071429  24.33928571] ; [22.33928571  4.66071429],0
n5,1,0.888683,0.019592,[82 58] ; [16 12],[81.66666667 58.33333333] ; [16.33333333 11.66666667],0
v4,1,0.934043,0.006849,[120  21] ; [24  4],[120.14201183  20.85798817] ; [23.85798817  4.14201183],0
d4,1,1.0,0.0,[85 55] ; [17 11],[85. 55.] ; [17. 11.],0
