Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,24.40872,[45 31] ; [85  8],[58.46153846 17.53846154] ; [71.53846154 21.46153846],1
a6,1,0.164859,1.929078,[38 38] ; [57 37],[42.47058824 33.52941176] ; [52.52941176 41.47058824],0
s3,1,0.215761,1.532345,[24 51] ; [38 54],[27.84431138 47.15568862] ; [34.15568862 57.84431138],0
n1,1,0.242719,1.364731,[17 21] ; [11 24],[14.57534247 23.42465753] ; [13.42465753 21.57534247],0
d2,1,0.272099,1.206135,[37 38] ; [38 55],[33.48214286 41.51785714] ; [41.51785714 51.48214286],0
n6,1,0.273468,1.199271,[40 35] ; [58 36],[43.49112426 31.50887574] ; [54.50887574 39.49112426],0
r2,1,0.335075,0.929186,[57 17] ; [78 16],[59.46428571 14.53571429] ; [75.53571429 18.46428571],0
s5,1,0.34733,0.883189,[10 67] ; [17 76],[12.22941176 64.77058824] ; [14.77058824 78.22941176],0
p12,1,0.409287,0.680872,[ 1 76] ; [ 3 90],[ 1.81176471 75.18823529] ; [ 2.18823529 90.81176471],0
s7,1,0.433024,0.614699,[12 60] ; [19 69],[13.95 58.05] ; [17.05 70.95],0
u4,1,0.447272,0.577554,[ 2 75] ; [ 1 93],[ 1.35087719 75.64912281] ; [ 1.64912281 92.35087719],0
d5,1,0.48233,0.493591,[47 29] ; [63 31],[49.17647059 26.82352941] ; [60.82352941 33.17647059],0
n4,1,0.49884,0.457403,[43 33] ; [58 36],[45.15294118 30.84705882] ; [55.84705882 38.15294118],0
n5,1,0.515765,0.422354,[41 35] ; [46 48],[38.89411765 37.10588235] ; [48.10588235 45.89411765],0
b1,1,0.523001,0.407972,[39 38] ; [43 51],[36.92397661 40.07602339] ; [45.07602339 48.92397661],0
u3,1,0.534783,0.385296,[14 18] ; [15 26],[12.71232877 19.28767123] ; [16.28767123 24.71232877],0
s6,1,0.563498,0.333683,[27 50] ; [37 57],[28.81871345 48.18128655] ; [35.18128655 58.81871345],0
v3,1,0.565074,0.330995,[18 55] ; [19 72],[16.4695122 56.5304878] ; [20.5304878 70.4695122],0
b4,1,0.623037,0.241622,[43 34] ; [56 38],[44.57894737 32.42105263] ; [54.42105263 39.57894737],0
d1,1,0.643732,0.213894,[33 44] ; [37 57],[31.52046784 45.47953216] ; [38.47953216 55.52046784],0
a3,1,0.693954,0.154839,[45 30] ; [53 40],[43.75 31.25] ; [54.25 38.75],0
a2,1,0.701988,0.146412,[13 64] ; [18 76],[13.95906433 63.04093567] ; [17.04093567 76.95906433],0
a8,1,0.736958,0.112819,[ 6 68] ; [ 8 75],[ 6.59872611 67.40127389] ; [ 7.40127389 75.59872611],0
p1,1,0.748769,0.102568,[ 6 71] ; [ 6 86],[ 5.46745562 71.53254438] ; [ 6.53254438 85.46745562],0
s2,1,0.807553,0.059333,[17 60] ; [22 71],[17.66470588 59.33529412] ; [21.33529412 71.66470588],0
p5,1,0.829368,0.046446,[ 2 74] ; [ 2 92],[ 1.78823529 74.21176471] ; [ 2.21176471 91.78823529],0
d4,1,0.873144,0.025493,[52 24] ; [64 28],[52.47619048 23.52380952] ; [63.52380952 28.47619048],0
a4,1,0.905046,0.01423,[31 44] ; [38 56],[30.62130178 44.37869822] ; [38.37869822 55.62130178],0
u2,1,0.917061,0.010844,[12 19] ; [15 25],[11.78873239 19.21126761] ; [15.21126761 24.78873239],0
s4,1,0.926902,0.008417,[11 65] ; [13 80],[10.79289941 65.20710059] ; [13.20710059 79.79289941],0
a5,1,0.969769,0.001436,[42 35] ; [51 43],[41.87719298 35.12280702] ; [51.12280702 42.87719298],0
u1,1,0.997768,8e-06,[ 9 68] ; [11 83],[ 9.00584795 67.99415205] ; [10.99415205 83.00584795],0
