Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,77.842559,[ 70 101] ; [366 105],[116.13084112  54.86915888] ; [319.86915888 151.13084112],1
b2,1,0.11867,2.434793,[52 61] ; [105 175],[45.14249364 67.85750636] ; [111.85750636 168.14249364],0
u2,1,0.129363,2.300137,[23 26] ; [78 53],[27.49444444 21.50555556] ; [73.50555556 57.49444444],0
n3,1,0.203416,1.617677,[31 16] ; [73 23],[34.18181818 12.81818182] ; [69.81818182 26.18181818],0
s6,1,0.204568,1.60946,[100  67] ; [304 161],[106.75316456  60.24683544] ; [297.24683544 167.75316456],0
n2,1,0.273765,1.197785,[31 16] ; [71 24],[33.76056338 13.23943662] ; [68.23943662 26.76056338],0
p11,1,0.286851,1.134343,[135  36] ; [390  82],[139.61897356  31.38102644] ; [385.38102644  86.61897356],0
p12,1,0.323169,0.976079,[ 11 158] ; [ 42 427],[ 14.03918495 154.96081505] ; [ 38.96081505 430.03918495],0
a1,1,0.325148,0.968126,[ 10 161] ; [ 19 453],[  7.71228616 163.28771384] ; [ 21.28771384 450.71228616],0
n4,1,0.345773,0.888908,[139  31] ; [369 102],[134.72698908  35.27301092] ; [373.27301092  97.72698908],0
p1,1,0.348976,0.877176,[ 12 159] ; [ 44 425],[ 14.9625 156.0375] ; [ 41.0375 427.9625],0
s5,1,0.352858,0.863154,[ 56 110] ; [137 322],[ 51.2608 114.7392] ; [141.7392 317.2608],0
p3,1,0.362563,0.828995,[82 89] ; [245 226],[87.09813084 83.90186916] ; [239.90186916 231.09813084],0
s8,1,0.406468,0.689108,[79 92] ; [199 269],[74.3943662 96.6056338] ; [203.6056338 264.3943662],0
s7,1,0.472795,0.515435,[81 82] ; [207 239],[77.08374384 85.91625616] ; [210.91625616 235.08374384],0
a8,1,0.48429,0.489188,[ 23 136] ; [ 71 350],[ 25.76896552 133.23103448] ; [ 68.23103448 352.76896552],0
s2,1,0.503004,0.448593,[75 95] ; [220 247],[78.72841444 91.27158556] ; [216.27158556 250.72841444],0
p6,1,0.630689,0.231127,[ 59 109] ; [173 292],[ 61.57345972 106.42654028] ; [170.42654028 294.57345972],0
p5,1,0.654071,0.200806,[ 23 148] ; [ 57 413],[ 21.34165367 149.65834633] ; [ 58.65834633 411.34165367],0
p9,1,0.675809,0.174882,[147  23] ; [407  57],[148.5488959  21.4511041] ; [405.4511041  58.5488959],0
n1,1,0.710042,0.138235,[16 31] ; [35 59],[17. 30.] ; [34. 60.],0
p7,1,0.716539,0.131833,[113  58] ; [311 149],[114.90332805  56.09667195] ; [309.09667195 150.90332805],0
v1,1,0.727418,0.121496,[92 74] ; [261 197],[93.90705128 72.09294872] ; [259.09294872 198.90705128],0
u4,1,0.73069,0.118479,[  4 167] ; [  9 463],[  3.45723173 167.54276827] ; [  9.54276827 462.45723173],0
s3,1,0.73425,0.115245,[92 77] ; [245 218],[90.11550633 78.88449367] ; [246.88449367 216.11550633],0
v3,1,0.782176,0.076444,[ 66 101] ; [185 269],[67.49919485 99.50080515] ; [183.50080515 270.49919485],0
b4,1,0.791382,0.069969,[98 73] ; [276 196],[99.46189736 71.53810264] ; [274.53810264 197.46189736],0
s1,1,0.865258,0.028793,[  4 166] ; [ 12 451],[  4.29699842 165.70300158] ; [ 11.70300158 451.29699842],0
d2,1,0.928117,0.008139,[81 90] ; [225 246],[81.5046729 89.4953271] ; [224.4953271 246.5046729],0
n6,1,0.939124,0.005833,[143  26] ; [398  71],[143.30564263  25.69435737] ; [397.69435737  71.30564263],0
a4,1,0.962739,0.002182,[74 96] ; [206 265],[74.25897036 95.74102964] ; [205.74102964 265.25897036],0
a3,1,0.987613,0.000241,[122  48] ; [337 133],[121.921875  48.078125] ; [337.078125 132.921875],0
