Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-06,22.566423,[62  9] ; [88 72],[46.1038961 24.8961039] ; [103.8961039  56.1038961],1
d3,1,0.318784,0.993931,[46 27] ; [110  48],[49.2987013 23.7012987] ; [106.7012987  51.2987013],0
p6,1,0.339623,0.911855,[30 43] ; [ 55 104],[26.74568966 46.25431034] ; [ 58.25431034 100.74568966],0
b4,1,0.384431,0.756485,[43 30] ; [85 76],[39.93162393 33.06837607] ; [88.06837607 72.93162393],0
b1,1,0.403875,0.696759,[30 43] ; [ 57 104],[27.14102564 45.85897436] ; [ 59.85897436 101.14102564],0
a4,1,0.47113,0.519325,[31 42] ; [ 60 100],[28.51072961 44.48927039] ; [62.48927039 97.51072961],0
d5,1,0.505269,0.443852,[58 15] ; [120  39],[56.00862069 16.99137931] ; [121.99137931  37.00862069],0
p4,1,0.508001,0.438182,[39 34] ; [78 82],[36.65665236 36.34334764] ; [80.34334764 79.65665236],0
d2,1,0.511215,0.431579,[33 40] ; [65 95],[30.70386266 42.29613734] ; [67.29613734 92.70386266],0
v3,1,0.512052,0.429871,[24 48] ; [ 45 110],[21.88546256 50.11453744] ; [ 47.11453744 107.88546256],0
a7,1,0.516848,0.420178,[48 25] ; [112  48],[50.12875536 22.87124464] ; [109.87124464  50.12875536],0
a8,1,0.526261,0.401607,[14 54] ; [ 25 122],[12.33488372 55.66511628] ; [ 26.66511628 120.33488372],0
p2,1,0.555178,0.348122,[65  8] ; [138  22],[63.60085837  9.39914163] ; [139.39914163  20.60085837],0
p8,1,0.577589,0.310148,[41 32] ; [82 75],[39.03913043 33.96086957] ; [83.96086957 73.03913043],0
n2,1,0.621146,0.244259,[18  5] ; [32 12],[17.1641791  5.8358209] ; [32.8358209 11.1641791],0
u1,1,0.695858,0.152817,[ 8 65] ; [ 15 146],[ 7.17521368 65.82478632] ; [ 15.82478632 145.17521368],0
v2,1,0.756484,0.096163,[38 33] ; [79 75],[36.92 34.08] ; [80.08 73.92],0
u3,1,0.760271,0.093101,[11 12] ; [22 28],[10.39726027 12.60273973] ; [22.60273973 27.39726027],0
n3,1,0.766279,0.088355,[18  5] ; [33 11],[17.50746269  5.49253731] ; [33.49253731 10.50746269],0
r3,1,0.789612,0.07119,[69  3] ; [153   8],[68.60085837  3.39914163] ; [153.39914163   7.60085837],0
a3,1,0.791765,0.069706,[50 22] ; [109  52],[49.13304721 22.86695279] ; [109.86695279  51.13304721],0
a2,1,0.845066,0.038188,[13 60] ; [ 27 134],[12.47863248 60.52136752] ; [ 27.52136752 133.47863248],0
a1,1,0.887789,0.01991,[ 3 70] ; [  6 155],[ 2.80769231 70.19230769] ; [  6.19230769 154.80769231],0
d1,1,0.902065,0.015142,[37 36] ; [83 78],[37.43589744 35.56410256] ; [82.56410256 78.43589744],0
u4,1,0.935919,0.006464,[ 1 72] ; [  2 159],[ 0.93589744 72.06410256] ; [  2.06410256 158.93589744],0
p11,1,0.939879,0.005689,[57 16] ; [125  36],[56.77777778 16.22222222] ; [125.22222222  35.77777778],0
s1,1,0.944018,0.004931,[ 3 68] ; [  7 151],[ 3.10043668 67.89956332] ; [  6.89956332 151.10043668],0
d4,1,0.987086,0.000262,[57 16] ; [124  35],[56.95258621 16.04741379] ; [124.04741379  34.95258621],0
