Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,82.483506,[ 83 108] ; [386 101],[132.12241888  58.87758112] ; [336.87758112 150.12241888],1
p8,1,0.141301,2.163731,[90 95] ; [264 216],[98.48120301 86.51879699] ; [255.51879699 224.48120301],0
n2,1,0.150581,2.066357,[34 16] ; [68 18],[37.5 12.5] ; [64.5 21.5],0
b4,1,0.163089,1.945346,[103  88] ; [293 197],[111.0660793  79.9339207] ; [284.9339207 205.0660793],0
n6,1,0.16506,1.927248,[162  28] ; [434  53],[167.26735598  22.73264402] ; [428.73264402  58.26735598],0
p1,1,0.192143,1.701106,[ 14 176] ; [ 52 435],[ 18.52289513 171.47710487] ; [ 47.47710487 439.52289513],0
u2,1,0.235264,1.408747,[24 27] ; [70 53],[27.55172414 23.44827586] ; [66.44827586 56.55172414],0
p7,1,0.27593,1.187026,[113  73] ; [312 166],[119.05120482  66.94879518] ; [305.94879518 172.05120482],0
s2,1,0.306931,1.043837,[93 97] ; [257 225],[98.95833333 91.04166667] ; [251.04166667 230.95833333],0
p12,1,0.310275,1.029503,[ 13 173] ; [ 46 440],[ 16.33035714 169.66964286] ; [ 42.66964286 443.33035714],0
s4,1,0.318522,0.995007,[ 31 159] ; [ 64 416],[ 26.94029851 163.05970149] ; [ 68.05970149 411.94029851],0
n3,1,0.331504,0.943015,[33 15] ; [65 20],[35.36842105 12.63157895] ; [62.63157895 22.36842105],0
s3,1,0.364526,0.822238,[114  74] ; [272 207],[108.7976012  79.2023988] ; [277.2023988 201.7976012],0
v1,1,0.421735,0.645474,[101  85] ; [276 202],[105.60542169  80.39457831] ; [271.39457831 206.60542169],0
a4,1,0.467088,0.528856,[ 89 100] ; [245 243],[93.2437223 95.7562777] ; [240.7562777 247.2437223],0
u4,1,0.500556,0.453758,[  6 185] ; [ 11 479],[  4.76798825 186.23201175] ; [ 12.23201175 477.76798825],0
a3,1,0.522684,0.408595,[139  52] ; [366 121],[142.2640118  48.7359882] ; [362.7359882 124.2640118],0
p3,1,0.523329,0.407327,[96 92] ; [262 225],[99.70962963 88.29037037] ; [258.29037037 228.70962963],0
d2,1,0.595525,0.281798,[97 92] ; [261 226],[100.09171598  88.90828402] ; [257.90828402 229.09171598],0
s6,1,0.603372,0.269941,[122  62] ; [327 151],[124.79758308  59.20241692] ; [324.20241692 153.79758308],0
p9,1,0.658386,0.195491,[157  31] ; [410  73],[158.86140089  29.13859911] ; [408.13859911  74.86140089],0
p6,1,0.7096,0.138677,[ 71 113] ; [194 289],[ 73.10344828 110.89655172] ; [191.89655172 291.10344828],0
s1,1,0.730639,0.118525,[  6 182] ; [ 18 463],[  6.74439462 181.25560538] ; [ 17.25560538 463.74439462],0
p11,1,0.761092,0.092444,[152  39] ; [395  95],[153.41703377  37.58296623] ; [393.58296623  96.41703377],0
n1,1,0.803952,0.061621,[24 26] ; [38 45],[23.30827068 26.69172932] ; [38.69172932 44.30827068],0
n5,1,0.845243,0.0381,[165  25] ; [421  67],[164.21828909  25.78171091] ; [421.78171091  66.21828909],0
a1,1,0.898821,0.016167,[ 11 180] ; [ 27 463],[ 10.65785609 180.34214391] ; [ 27.34214391 462.65785609],0
p5,1,0.915264,0.011321,[ 25 163] ; [ 63 422],[ 24.58246657 163.41753343] ; [ 63.41753343 421.58246657],0
v3,1,0.952239,0.003587,[ 80 104] ; [204 268],[ 79.65853659 104.34146341] ; [204.34146341 267.65853659],0
