Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,38.729167,[12 24] ; [84 12],[26.18181818  9.81818182] ; [69.81818182 26.18181818],1
a8,1,0.217034,1.523873,[ 3 28] ; [17 71],[ 5.21008403 25.78991597] ; [14.78991597 73.21008403],0
b3,1,0.217052,1.523755,[ 4 15] ; [19 33],[ 6.15492958 12.84507042] ; [16.84507042 35.15492958],0
b2,1,0.217052,1.523755,[ 4 15] ; [19 33],[ 6.15492958 12.84507042] ; [16.84507042 35.15492958],0
r4,1,0.239752,1.382051,[30  6] ; [87  9],[31.90909091  4.09090909] ; [85.09090909 10.90909091],0
a6,1,0.277749,1.178074,[21 15] ; [65 30],[23.63358779 12.36641221] ; [62.36641221 32.63358779],0
s1,1,0.321246,0.983865,[ 3 32] ; [ 4 92],[ 1.87022901 33.12977099] ; [ 5.12977099 90.87022901],0
s3,1,0.366643,0.815012,[15 19] ; [51 45],[17.26153846 16.73846154] ; [48.73846154 47.26153846],0
p9,1,0.403297,0.698474,[32  4] ; [78 16],[30.46153846  5.53846154] ; [79.53846154 14.46153846],0
b1,1,0.407016,0.6875,[14 22] ; [30 66],[12. 24.] ; [32. 64.],0
s4,1,0.43919,0.598398,[ 6 30] ; [11 84],[ 4.67175573 31.32824427] ; [12.32824427 82.67175573],0
s2,1,0.474023,0.512582,[14 22] ; [44 52],[15.81818182 20.18181818] ; [42.18181818 53.81818182],0
v3,1,0.483873,0.490122,[10 25] ; [33 61],[11.66666667 23.33333333] ; [31.33333333 62.66666667],0
u2,1,0.487025,0.483092,[ 8 15] ; [12 15],[ 9.2 13.8] ; [10.8 16.2],0
n1,1,0.531403,0.391708,[2 5] ; [10 14],[2.70967742 4.29032258] ; [ 9.29032258 14.70967742],0
s5,1,0.572244,0.318942,[12 24] ; [26 66],[10.6875 25.3125] ; [27.3125 64.6875],0
n5,1,0.581213,0.304278,[24 12] ; [59 37],[22.63636364 13.36363636] ; [60.36363636 35.63636364],0
p7,1,0.615706,0.251949,[23 12] ; [64 27],[24.16666667 10.83333333] ; [62.83333333 28.16666667],0
p3,1,0.617689,0.249129,[10 26] ; [31 65],[11.18181818 24.81818182] ; [29.81818182 66.18181818],0
n2,1,0.627766,0.235102,[5 2] ; [20  5],[5.46875 1.53125] ; [19.53125  5.46875],0
s8,1,0.636433,0.223437,[13 23] ; [39 57],[14.18181818 21.81818182] ; [37.81818182 58.18181818],0
n6,1,0.655073,0.199565,[28  8] ; [78 18],[28.90909091  7.09090909] ; [77.09090909 18.90909091],0
s7,1,0.662448,0.190563,[16 20] ; [37 55],[14.90625 21.09375] ; [38.09375 53.90625],0
p12,1,0.695058,0.153664,[ 1 35] ; [ 4 90],[ 1.38461538 34.61538462] ; [ 3.61538462 90.38461538],0
u3,1,0.70436,0.143976,[ 9 14] ; [12 15],[ 9.66 13.34] ; [11.34 15.66],0
n3,1,0.714546,0.133779,[5 2] ; [16  9],[4.59375 2.40625] ; [16.40625  8.59375],0
p5,1,0.752139,0.099743,[ 2 33] ; [ 7 89],[ 2.40458015 32.59541985] ; [ 6.59541985 89.40458015],0
p6,1,0.794056,0.068146,[ 9 27] ; [21 71],[ 8.4375 27.5625] ; [21.5625 70.4375],0
u1,1,0.827626,0.047414,[ 4 32] ; [12 84],[ 4.36363636 31.63636364] ; [11.63636364 84.36363636],0
p11,1,0.861992,0.03022,[28  8] ; [76 20],[28.36363636  7.63636364] ; [75.63636364 20.36363636],0
s6,1,0.889879,0.019171,[21 15] ; [53 40],[20.65116279 15.34883721] ; [53.34883721 39.65116279],0
v4,1,0.90929,0.012981,[33  2] ; [91  5],[33.12977099  1.87022901] ; [90.87022901  5.12977099],0
n4,1,1.0,0.0,[24 12] ; [64 32],[24. 12.] ; [64. 32.],0
p10,1,1.0,0.0,[28  7] ; [76 19],[28.  7.] ; [76. 19.],0
