Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.004625,8.02057,[ 7 32] ; [15 15],[12.43478261 26.56521739] ; [ 9.56521739 20.43478261],0
r3,1,0.271499,1.209159,[35  4] ; [29  1],[36.17391304  2.82608696] ; [27.82608696  2.17391304],0
v4,1,0.271499,1.209159,[35  4] ; [29  1],[36.17391304  2.82608696] ; [27.82608696  2.17391304],0
a4,1,0.302865,1.061538,[11 28] ; [12 18],[13. 26.] ; [10. 20.],0
d2,1,0.337833,0.918639,[15 24] ; [15 15],[16.95652174 22.04347826] ; [13.04347826 16.95652174],0
b2,1,0.357744,0.845798,[ 7 11] ; [ 5 15],[ 5.68421053 12.31578947] ; [ 6.31578947 13.68421053],0
b3,1,0.357744,0.845798,[ 7 11] ; [ 5 15],[ 5.68421053 12.31578947] ; [ 6.31578947 13.68421053],0
a5,1,0.364079,0.823776,[26 13] ; [23  7],[27.69565217 11.30434783] ; [21.30434783  8.69565217],0
d3,1,0.384114,0.757493,[32  7] ; [22  8],[30.52173913  8.47826087] ; [23.47826087  6.52173913],0
p3,1,0.413725,0.66807,[14 24] ; [14 16],[15.64705882 22.35294118] ; [12.35294118 17.64705882],0
s3,1,0.418444,0.654681,[20 19] ; [12 17],[18.35294118 20.64705882] ; [13.64705882 15.35294118],0
p1,1,0.457428,0.55218,[ 2 36] ; [ 3 27],[ 2.79411765 35.20588235] ; [ 2.20588235 27.79411765],0
n6,1,0.459859,0.546237,[22 16] ; [20 10],[23.47058824 14.52941176] ; [18.52941176 11.47058824],0
p11,1,0.51333,0.427274,[23 16] ; [20 10],[24.30434783 14.69565217] ; [18.69565217 11.30434783],0
p7,1,0.51352,0.426888,[18 19] ; [17 13],[19.32835821 17.67164179] ; [15.67164179 14.32835821],0
u3,1,0.528265,0.397727,[7 4] ; [5 5],[6.28571429 4.71428571] ; [5.71428571 4.28571429],0
d5,1,0.548216,0.360522,[31  8] ; [22  8],[29.95652174  9.04347826] ; [23.04347826  6.95652174],0
p4,1,0.575736,0.313179,[17 21] ; [11 18],[15.88059701 22.11940299] ; [12.11940299 16.88059701],0
p5,1,0.577415,0.310432,[ 4 34] ; [ 2 28],[ 3.35294118 34.64705882] ; [ 2.64705882 27.35294118],0
s4,1,0.582046,0.302939,[10 29] ; [ 6 24],[ 9.04347826 29.95652174] ; [ 6.95652174 23.04347826],0
a2,1,0.603638,0.269544,[ 7 32] ; [ 4 26],[ 6.2173913 32.7826087] ; [ 4.7826087 25.2173913],0
b4,1,0.64628,0.210623,[28 11] ; [20 10],[27.13043478 11.86956522] ; [20.86956522  9.13043478],0
p8,1,0.723834,0.124848,[18 20] ; [15 14],[18.71641791 19.28358209] ; [14.28358209 14.71641791],0
v2,1,0.736732,0.113019,[28 10] ; [21  9],[27.38235294 10.61764706] ; [21.61764706  8.38235294],0
s2,1,0.764582,0.089682,[17 22] ; [12 18],[16.39130435 22.60869565] ; [12.60869565 17.39130435],0
s1,1,0.78632,0.073491,[ 2 37] ; [ 2 28],[ 2.26086957 36.73913043] ; [ 1.73913043 28.26086957],0
a1,1,0.78632,0.073491,[ 2 37] ; [ 2 28],[ 2.26086957 36.73913043] ; [ 1.73913043 28.26086957],0
n2,1,0.79525,0.06734,[8 7] ; [3 2],[8.25 6.75] ; [2.75 2.25],0
a3,1,0.820762,0.051332,[27 12] ; [20 10],[26.56521739 12.43478261] ; [20.43478261  9.56521739],0
a6,1,0.820762,0.051332,[27 12] ; [20 10],[26.56521739 12.43478261] ; [20.43478261  9.56521739],0
r1,1,0.825458,0.048634,[29 10] ; [23  7],[29.39130435  9.60869565] ; [22.60869565  7.39130435],0
r2,1,0.870592,0.026538,[36  3] ; [28  2],[36.17391304  2.82608696] ; [27.82608696  2.17391304],0
v1,1,0.966223,0.001793,[21 18] ; [16 14],[20.91304348 18.08695652] ; [16.08695652 13.91304348],0
d1,1,0.983007,0.000454,[22 17] ; [17 13],[22.04347826 16.95652174] ; [16.95652174 13.04347826],0
