Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.000348,12.795054,[ 5 92] ; [15 46],[12.27848101 84.72151899] ; [ 7.72151899 53.27848101],1
n4,1,0.492175,0.471768,[67 41] ; [45 22],[69.12 38.88] ; [42.88 24.12],0
p5,1,0.499274,0.456479,[  4 104] ; [ 4 64],[  4.90909091 103.09090909] ; [ 3.09090909 64.90909091],0
r2,1,0.543583,0.368939,[97 11] ; [62  5],[98.12571429  9.87428571] ; [60.87428571  6.12571429],0
v3,1,0.560195,0.339367,[32 72] ; [17 47],[30.33333333 73.66666667] ; [18.66666667 45.33333333],0
s1,1,0.569113,0.324168,[  7 100] ; [ 3 64],[  6.14942529 100.85057471] ; [ 3.85057471 63.14942529],0
v2,1,0.64672,0.21006,[46 60] ; [31 35],[47.45348837 58.54651163] ; [29.54651163 36.45348837],0
a5,1,0.651398,0.204143,[63 45] ; [42 26],[64.43181818 43.56818182] ; [40.56818182 27.43181818],0
p7,1,0.668558,0.183294,[48 60] ; [32 35],[49.37142857 58.62857143] ; [30.62857143 36.37142857],0
p4,1,0.686185,0.163246,[45 63] ; [30 37],[46.28571429 61.71428571] ; [28.71428571 38.28571429],0
a6,1,0.707941,0.140342,[63 45] ; [41 26],[64.18285714 43.81714286] ; [39.81714286 27.18285714],0
b4,1,0.76271,0.091158,[66 42] ; [40 28],[65.04545455 42.95454545] ; [40.95454545 27.04545455],0
r4,1,0.76611,0.088487,[87 21] ; [56 12],[87.75 20.25] ; [55.25 12.75],0
p3,1,0.819063,0.052326,[38 69] ; [23 45],[37.29714286 69.70285714] ; [23.70285714 44.29714286],0
a7,1,0.836309,0.042691,[66 41] ; [43 25],[66.64571429 40.35428571] ; [42.35428571 25.64571429],0
d2,1,0.838148,0.041723,[51 56] ; [33 34],[51.65517241 55.34482759] ; [32.34482759 34.65517241],0
u1,1,0.852842,0.034408,[17 91] ; [10 58],[16.56818182 91.43181818] ; [10.43181818 57.56818182],0
p1,1,0.860871,0.030718,[  7 100] ; [ 4 64],[  6.72571429 100.27428571] ; [ 4.27428571 63.72571429],0
v1,1,0.886424,0.0204,[43 65] ; [27 39],[43.44827586 64.55172414] ; [26.55172414 39.44827586],0
n2,1,0.898749,0.01619,[28 12] ; [20  8],[28.23529412 11.76470588] ; [19.76470588  8.23529412],0
d5,1,0.960778,0.002418,[77 31] ; [48 19],[77.14285714 30.85714286] ; [47.85714286 19.14285714],0
