Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.607166,[36  9] ; [ 7 22],[26.14864865 18.85135135] ; [16.85135135 12.14864865],1
s6,1,0.719065,0.12939,[17 27] ; [10 19],[16.2739726 27.7260274] ; [10.7260274 18.2739726],0
n5,1,0.732651,0.116692,[23 22] ; [16 13],[23.71621622 21.28378378] ; [15.28378378 13.71621622],0
p3,1,0.746045,0.104884,[14 31] ; [ 8 21],[13.37837838 31.62162162] ; [ 8.62162162 20.37837838],0
p12,1,0.750861,0.100809,[ 1 44] ; [ 1 28],[ 1.21621622 43.78378378] ; [ 0.78378378 28.21621622],0
b5,1,0.756701,0.095986,[17 28] ; [12 17],[17.63513514 27.36486486] ; [11.36486486 17.63513514],0
n1,1,0.781793,0.07672,[ 5 10] ; [ 4 10],[ 4.65517241 10.34482759] ; [4.34482759 9.65517241],0
a2,1,0.83202,0.044991,[ 2 43] ; [ 1 28],[ 1.82432432 43.17567568] ; [ 1.17567568 27.82432432],0
u1,1,0.83202,0.044991,[ 2 43] ; [ 1 28],[ 1.82432432 43.17567568] ; [ 1.17567568 27.82432432],0
b2,1,0.864691,0.029038,[ 7 22] ; [ 5 14],[ 7.25 21.75] ; [ 4.75 14.25],0
b3,1,0.864691,0.029038,[ 7 22] ; [ 5 14],[ 7.25 21.75] ; [ 4.75 14.25],0
d2,1,0.868451,0.027432,[20 25] ; [13 15],[20.34246575 24.65753425] ; [12.65753425 15.34246575],0
p1,1,0.96932,0.001479,[ 3 42] ; [ 2 27],[ 3.04054054 41.95945946] ; [ 1.95945946 27.04054054],0
