Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,34.510434,[ 3 11] ; [99 14],[11.24409449  2.75590551] ; [90.75590551 22.24409449],1
n1,1,0.271172,1.210811,[4 1] ; [20 17],[2.85714286 2.14285714] ; [21.14285714 15.85714286],0
u3,1,0.298688,1.080042,[3 6] ; [21 19],[4.40816327 4.59183673] ; [19.59183673 20.40816327],0
p7,1,0.346649,0.885685,[ 3 11] ; [37 72],[4.55284553 9.44715447] ; [35.44715447 73.55284553],0
s1,1,0.441971,0.591158,[ 2 12] ; [  9 102],[ 1.232 12.768] ; [  9.768 101.232],0
p4,1,0.518048,0.417778,[ 3 11] ; [33 78],[4.032 9.968] ; [31.968 79.032],0
s3,1,0.546852,0.362987,[5 8] ; [52 58],[6.02439024 6.97560976] ; [50.97560976 59.02439024],0
p1,1,0.59617,0.280811,[ 2 12] ; [ 11 102],[ 1.43307087 12.56692913] ; [ 11.56692913 101.43307087],0
s4,1,0.623021,0.241644,[ 3 11] ; [18 93],[ 2.352 11.648] ; [18.648 92.352],0
a1,1,0.679486,0.170705,[ 2 12] ; [ 12 101],[ 1.54330709 12.45669291] ; [ 12.45669291 100.54330709],0
n5,1,0.732503,0.116826,[11  3] ; [93 20],[11.46456693  2.53543307] ; [92.53543307 20.46456693],0
p5,1,0.733429,0.115986,[ 1 13] ; [11 99],[ 1.35483871 12.64516129] ; [10.64516129 99.35483871],0
n2,1,0.760918,0.092584,[4 1] ; [28 10],[3.72093023 1.27906977] ; [28.27906977  9.72093023],0
b5,1,0.77466,0.081959,[8 6] ; [60 53],[7.49606299 6.50393701] ; [60.50393701 52.49606299],0
u2,1,0.817062,0.053512,[4 5] ; [19 20],[4.3125 4.6875] ; [18.6875 20.3125],0
p12,1,0.830423,0.045864,[ 1 13] ; [ 10 103],[ 1.21259843 12.78740157] ; [  9.78740157 103.21259843],0
b1,1,0.925326,0.008785,[7 7] ; [58 55],[7.16535433 6.83464567] ; [57.83464567 55.16535433],0
b2,1,0.963052,0.002146,[4 6] ; [31 48],[3.93258427 6.06741573] ; [31.06741573 47.93258427],0
b3,1,0.963052,0.002146,[4 6] ; [31 48],[3.93258427 6.06741573] ; [31.06741573 47.93258427],0
