Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.697363,[ 9 31] ; [42 15],[21.03092784 18.96907216] ; [29.96907216 27.03092784],1
d3,1,0.722954,0.12568,[21 19] ; [32 25],[21.8556701 18.1443299] ; [31.1443299 25.8556701],0
a5,1,0.722954,0.12568,[21 19] ; [32 25],[21.8556701 18.1443299] ; [31.1443299 25.8556701],0
u1,1,0.7273,0.121605,[ 4 36] ; [ 7 50],[ 4.53608247 35.46391753] ; [ 6.46391753 50.53608247],0
d1,1,0.776992,0.080226,[18 22] ; [24 33],[17.31958763 22.68041237] ; [24.68041237 32.31958763],0
p3,1,0.791874,0.069632,[12 27] ; [19 38],[12.59375 26.40625] ; [18.40625 38.59375],0
s6,1,0.806797,0.05981,[17 22] ; [23 33],[16.42105263 22.57894737] ; [23.57894737 32.42105263],0
s2,1,0.84418,0.038632,[10 30] ; [15 41],[10.41666667 29.58333333] ; [14.58333333 41.41666667],0
d2,1,0.863002,0.029775,[20 20] ; [27 29],[19.58333333 20.41666667] ; [27.41666667 28.58333333],0
n3,1,0.875931,0.024376,[11 10] ; [11 11],[10.74418605 10.25581395] ; [11.25581395 10.74418605],0
p6,1,0.898382,0.016309,[ 6 33] ; [ 9 46],[ 6.22340426 32.77659574] ; [ 8.77659574 46.22340426],0
p10,1,0.922123,0.009557,[ 6 34] ; [ 8 48],[ 5.83333333 34.16666667] ; [ 8.16666667 47.83333333],0
v2,1,0.924754,0.00892,[14 25] ; [21 36],[14.21875 24.78125] ; [20.78125 36.21875],0
s3,1,1.0,0.0,[15 25] ; [21 35],[15. 25.] ; [21. 35.],0
r2,1,1.0,0.0,[32  8] ; [44 11],[32.  8.] ; [44. 11.],0
