Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,132.637377,[19 67] ; [225  33],[61. 25.] ; [183.  75.],1
b1,1,0.008814,6.860057,[46 41] ; [ 96 164],[35.60230548 51.39769452] ; [106.39769452 153.60230548],0
b5,1,0.012448,6.245856,[42 45] ; [165  95],[51.89913545 35.10086455] ; [155.10086455 104.89913545],0
n5,1,0.015653,5.841433,[51 36] ; [187  71],[60.0173913 26.9826087] ; [177.9826087  80.0173913],0
a3,1,0.017697,5.625871,[44 42] ; [169  89],[53.25 32.75] ; [159.75  98.25],0
p5,1,0.018633,5.535632,[ 2 84] ; [ 27 231],[ 7.25 78.75] ; [ 21.75 236.25],0
n2,1,0.019211,5.482207,[22 21] ; [51 19],[27.77876106 15.22123894] ; [45.22123894 24.77876106],0
d3,1,0.019901,5.420565,[43 44] ; [164  94],[52.2 34.8] ; [154.8 103.2],0
a5,1,0.022219,5.228544,[46 41] ; [173  87],[54.90778098 32.09221902] ; [164.09221902  95.90778098],0
p6,1,0.027249,4.874956,[19 67] ; [ 90 168],[27.25 58.75] ; [ 81.75 176.25],0
s1,1,0.031215,4.641123,[ 8 78] ; [  9 249],[ 4.25 81.75] ; [ 12.75 245.25],0
s3,1,0.034172,4.486079,[36 50] ; [142 116],[44.5 41.5] ; [133.5 124.5],0
a8,1,0.034478,4.470843,[ 5 79] ; [ 36 207],[10.53211009 73.46788991] ; [ 30.46788991 212.53211009],0
n3,1,0.039272,4.249055,[21 21] ; [48 21],[26.10810811 15.89189189] ; [42.89189189 26.10810811],0
a7,1,0.041584,4.15207,[49 38] ; [177  82],[56.8265896 30.1734104] ; [169.1734104  89.8265896],0
d2,1,0.055379,3.670647,[44 42] ; [102 157],[36.3942029 49.6057971] ; [109.6057971 149.3942029],0
a6,1,0.06109,3.507531,[45 42] ; [164  96],[52.40057637 34.59942363] ; [156.59942363 103.40057637],0
n4,1,0.070136,3.27984,[52 35] ; [182  77],[58.83815029 28.16184971] ; [175.16184971  83.83815029],0
a1,1,0.077578,3.114917,[ 7 80] ; [  9 251],[ 4.01152738 82.98847262] ; [ 11.98847262 248.01152738],0
p12,1,0.236996,1.398374,[ 2 84] ; [ 14 244],[ 4. 82.] ; [ 12. 246.],0
a2,1,0.251773,1.313441,[12 75] ; [ 50 210],[15.54466859 71.45533141] ; [ 46.45533141 213.54466859],0
u2,1,0.323702,0.973932,[19 24] ; [48 42],[21.66165414 21.33834586] ; [45.33834586 44.66165414],0
r1,1,0.343269,0.898186,[55 32] ; [178  81],[58.5867052 28.4132948] ; [174.4132948  84.5867052],0
a4,1,0.360592,0.835831,[31 54] ; [109 150],[34.59302326 50.40697674] ; [105.40697674 153.59302326],0
d5,1,0.394289,0.725675,[59 28] ; [188  71],[62.10693642 24.89306358] ; [184.89306358  74.10693642],0
u3,1,0.423987,0.639239,[20 23] ; [48 41],[22.15151515 20.84848485] ; [45.84848485 43.15151515],0
d1,1,0.439187,0.598407,[38 49] ; [126 134],[41.11815562 45.88184438] ; [122.88184438 137.11815562],0
b2,1,0.464049,0.536111,[17 39] ; [53 95],[19.21568627 36.78431373] ; [50.78431373 97.21568627],0
b3,1,0.464049,0.536111,[17 39] ; [53 95],[19.21568627 36.78431373] ; [50.78431373 97.21568627],0
p1,1,0.495085,0.465456,[ 9 77] ; [ 21 239],[ 7.4566474 78.5433526] ; [ 22.5433526 237.4566474],0
u1,1,0.608428,0.262471,[ 8 79] ; [ 29 231],[ 9.27665706 77.72334294] ; [ 27.72334294 232.27665706],0
n1,1,0.656439,0.197878,[16 27] ; [29 41],[17.12389381 25.87610619] ; [27.87610619 42.12389381],0
b4,1,0.681055,0.168941,[48 39] ; [150 110],[49.6426513 37.3573487] ; [148.3573487 111.6426513],0
s4,1,0.853381,0.034153,[19 66] ; [ 55 202],[18.39181287 66.60818713] ; [ 55.60818713 201.39181287],0
u4,1,0.997332,1.1e-05,[ 1 86] ; [  3 257],[ 1.00288184 85.99711816] ; [  2.99711816 257.00288184],0
