Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9.2e-05,15.295667,[25 71] ; [18  9],[33.56097561 62.43902439] ; [ 9.43902439 17.56097561],1
d2,1,0.715024,0.133311,[46 49] ; [12 15],[45.16393443 49.83606557] ; [12.83606557 14.16393443],0
a2,1,0.75347,0.098638,[13 84] ; [ 3 24],[12.51612903 84.48387097] ; [ 3.48387097 23.51612903],0
d5,1,0.791733,0.069728,[62 35] ; [18  9],[62.58064516 34.41935484] ; [17.41935484  9.58064516],0
a6,1,0.812147,0.056481,[55 42] ; [16 11],[55.54032258 41.45967742] ; [15.45967742 11.54032258],0
p10,1,0.838645,0.041464,[16 79] ; [ 5 22],[16.35245902 78.64754098] ; [ 4.64754098 22.35245902],0
b5,1,0.857489,0.032246,[52 45] ; [15 12],[52.41129032 44.58870968] ; [14.58870968 12.41129032],0
n3,1,0.894988,0.017423,[24 16] ; [5 3],[24.16666667 15.83333333] ; [4.83333333 3.16666667],0
a5,1,0.932558,0.007162,[53 44] ; [15 12],[53.19354839 43.80645161] ; [14.80645161 12.19354839],0
b2,1,0.942016,0.005291,[19 42] ; [3 7],[18.90140845 42.09859155] ; [3.09859155 6.90140845],0
b3,1,0.942016,0.005291,[19 42] ; [3 7],[18.90140845 42.09859155] ; [3.09859155 6.90140845],0
a7,1,0.944764,0.0048,[57 38] ; [16 11],[56.8442623 38.1557377] ; [16.1557377 10.8442623],0
r2,1,0.958955,0.002649,[77 17] ; [22  5],[76.90909091 17.09090909] ; [22.09090909  4.90909091],0
u2,1,0.980129,0.00062,[19 28] ; [4 6],[18.96491228 28.03508772] ; [4.03508772 5.96491228],0
s5,1,0.991956,0.000102,[14 81] ; [ 4 23],[14.01639344 80.98360656] ; [ 3.98360656 23.01639344],0
