Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,9.1e-05,15.317603,[58 31] ; [ 8 24],[48.54545455 40.45454545] ; [17.45454545 14.54545455],1
s7,1,0.490828,0.47471,[54 29] ; [18 13],[52.42105263 30.57894737] ; [19.57894737 11.42105263],0
u2,1,0.511098,0.431818,[10 12] ; [9 7],[11. 11.] ; [8. 8.],0
b1,1,0.545412,0.365602,[36 53] ; [11 21],[34.57024793 54.42975207] ; [12.42975207 19.57024793],0
r3,1,0.570714,0.32149,[82  6] ; [27  3],[81.28813559  6.71186441] ; [27.71186441  2.28813559],0
n6,1,0.581989,0.30303,[80  8] ; [28  4],[79.2  8.8] ; [28.8  3.2],0
s2,1,0.608651,0.262144,[51 38] ; [20 12],[52.2231405 36.7768595] ; [18.7768595 13.2231405],0
v4,1,0.648763,0.207463,[80  8] ; [29  2],[80.60504202  7.39495798] ; [28.39495798  2.60504202],0
p6,1,0.700844,0.147595,[34 55] ; [11 21],[33.09917355 55.90082645] ; [11.90082645 20.09917355],0
a7,1,0.714264,0.134055,[60 29] ; [22  9],[60.81666667 28.18333333] ; [21.18333333  9.81666667],0
n2,1,0.736193,0.113501,[18  7] ; [7 2],[18.38235294  6.61764706] ; [6.61764706 2.38235294],0
s3,1,0.909855,0.012819,[54 34] ; [20 12],[54.26666667 33.73333333] ; [19.73333333 12.26666667],0
a8,1,0.91435,0.011568,[ 8 72] ; [ 3 25],[ 8.14814815 71.85185185] ; [ 2.85185185 25.14814815],0
p2,1,0.975343,0.000955,[72 17] ; [25  6],[71.94166667 17.05833333] ; [25.05833333  5.94166667],0
