Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.003761,8.395549,[18  7] ; [ 9 19],[12.73584906 12.26415094] ; [14.26415094 13.73584906],0
b4,1,0.753361,0.098728,[11 14] ; [14 15],[11.57407407 13.42592593] ; [13.42592593 15.57407407],0
s5,1,0.762254,0.091519,[ 3 20] ; [ 3 26],[ 2.65384615 20.34615385] ; [ 3.34615385 25.65384615],0
s4,1,0.819936,0.051814,[ 4 21] ; [ 4 25],[ 3.7037037 21.2962963] ; [ 4.2962963 24.7037037],0
u3,1,0.841596,0.039941,[6 7] ; [7 7],[6.25925926 6.74074074] ; [6.74074074 7.25925926],0
s2,1,0.846974,0.037241,[ 8 17] ; [10 19],[ 8.33333333 16.66666667] ; [ 9.66666667 19.33333333],0
d3,1,0.88351,0.021469,[ 9 16] ; [11 18],[ 9.25925926 15.74074074] ; [10.74074074 18.25925926],0
a3,1,0.900538,0.01562,[12 12] ; [15 14],[12.22641509 11.77358491] ; [14.77358491 14.22641509],0
s8,1,0.902858,0.014897,[ 4 21] ; [ 5 24],[ 4.16666667 20.83333333] ; [ 4.83333333 24.16666667],0
u1,1,0.914752,0.011459,[ 1 24] ; [ 1 28],[ 0.92592593 24.07407407] ; [ 1.07407407 27.92592593],0
a7,1,0.918075,0.01058,[10 15] ; [12 17],[10.18518519 14.81481481] ; [11.81481481 17.18518519],0
r3,1,0.939282,0.005802,[17  8] ; [20  9],[17.12962963  7.87037037] ; [19.87037037  9.12962963],0
a4,1,0.972996,0.001146,[ 7 18] ; [ 8 21],[ 6.94444444 18.05555556] ; [ 8.05555556 20.94444444],0
p9,1,0.983139,0.000447,[14 10] ; [17 12],[14.03773585  9.96226415] ; [16.96226415 12.03773585],0
