Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,98.84058,[ 83 165] ; [193  55],[138. 110.] ; [138. 110.],1
p3,1,0.09987,2.70762,[166  93] ; [187  77],[174.8126195  84.1873805] ; [178.1873805  85.8126195],0
s4,1,0.14361,2.138848,[ 38 217] ; [ 52 211],[ 44.30501931 210.69498069] ; [ 45.69498069 217.30501931],0
n2,1,0.193257,1.692616,[36  9] ; [32 15],[33.26086957 11.73913043] ; [34.73913043 12.26086957],0
r2,1,0.231212,1.433391,[241  17] ; [250  11],[244.08092486  13.91907514] ; [246.91907514  14.08092486],0
v4,1,0.235794,1.405563,[248  12] ; [255   7],[250.53639847   9.46360153] ; [252.46360153   9.53639847],0
u3,1,0.330974,0.945085,[55 38] ; [35 17],[57.72413793 35.27586207] ; [32.27586207 19.72413793],0
p11,1,0.378019,0.777135,[210  50] ; [221  43],[213.85496183  46.14503817] ; [217.14503817  46.85496183],0
v2,1,0.384415,0.756534,[143 109] ; [155 101],[147.82677165 104.17322835] ; [150.17322835 105.82677165],0
n1,1,0.392832,0.730159,[16 30] ; [20 26],[18. 28.] ; [18. 28.],0
d5,1,0.432666,0.615656,[217  43] ; [226  37],[220.22944551  39.77055449] ; [222.77055449  40.22944551],0
r4,1,0.449981,0.570699,[241  19] ; [249  15],[243.12977099  16.87022901] ; [246.87022901  17.12977099],0
a1,1,0.462049,0.540926,[ 12 248] ; [ 16 248],[ 13.89312977 246.10687023] ; [ 14.10687023 249.89312977],0
b5,1,0.496655,0.462076,[147 113] ; [157 107],[150.83969466 109.16030534] ; [153.16030534 110.83969466],0
a4,1,0.505287,0.443815,[120 139] ; [130 134],[123.80497132 135.19502868] ; [126.19502868 137.80497132],0
d3,1,0.617771,0.249012,[186  74] ; [194  70],[188.54961832  71.45038168] ; [191.45038168  72.54961832],0
s1,1,0.655249,0.199346,[  8 249] ; [ 10 251],[  8.93050193 248.06949807] ; [  9.06949807 251.93050193],0
a6,1,0.658788,0.194999,[179  81] ; [177  87],[176.64122137  83.35877863] ; [179.35877863  84.64122137],0
b1,1,0.693606,0.15521,[101 159] ; [107 157],[103.20610687 156.79389313] ; [104.79389313 159.20610687],0
p1,1,0.696118,0.152542,[ 25 234] ; [ 28 234],[ 26.34740883 232.65259117] ; [ 26.65259117 235.34740883],0
p2,1,0.827553,0.047455,[230  28] ; [236  27],[230.76391555  27.23608445] ; [235.23608445  27.76391555],0
n3,1,0.892586,0.018234,[35 10] ; [36 11],[34.72826087 10.27173913] ; [36.27173913 10.72826087],0
b4,1,0.976251,0.000886,[152 108] ; [154 110],[151.83206107 108.16793893] ; [154.16793893 109.83206107],0
