Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,87.014506,[489 124] ; [100 116],[435.5331725 177.4668275] ; [153.4668275  62.5331725],1
p9,1,0.001198,10.493041,[528  79] ; [163  47],[513.38678091  93.61321909] ; [177.61321909  32.38678091],0
b3,1,0.001383,10.228716,[160 220] ; [31 89],[145.16 234.84] ; [45.84 74.16],0
b2,1,0.001383,10.228716,[160 220] ; [31 89],[145.16 234.84] ; [45.84 74.16],0
v1,1,0.002606,9.064592,[345 255] ; [ 96 115],[326.26387176 273.73612824] ; [114.73612824  96.26387176],0
p8,1,0.00469,7.995355,[333 268] ; [ 95 120],[315.23039216 285.76960784] ; [112.76960784 102.23039216],0
n5,1,0.008641,6.895575,[467 144] ; [144  70],[452.51030303 158.48969697] ; [158.48969697  55.51030303],0
p2,1,0.008931,6.836521,[519  91] ; [167  49],[506.61016949 103.38983051] ; [179.38983051  36.61016949],0
r2,1,0.014481,5.978573,[600  10] ; [207  10],[595.24788392  14.75211608] ; [211.75211608   5.24788392],0
s6,1,0.019422,5.463158,[422 178] ; [130  81],[408.38471023 191.61528977] ; [143.61528977  67.38471023],0
v4,1,0.035639,4.414279,[601  12] ; [206  10],[596.73220748  16.26779252] ; [210.26779252   5.73220748],0
a7,1,0.055524,3.666276,[461 153] ; [147  68],[450.31604343 163.68395657] ; [157.68395657  57.31604343],0
v3,1,0.058658,3.574937,[250 337] ; [ 73 135],[238.4918239 348.5081761] ; [ 84.5081761 123.4918239],0
s2,1,0.059835,3.541962,[322 285] ; [ 98 117],[310.1459854 296.8540146] ; [109.8540146 105.1459854],0
p12,1,0.069703,3.29001,[ 55 552] ; [ 11 203],[ 48.79658952 558.20341048] ; [ 17.20341048 196.79658952],0
a1,1,0.087791,2.914427,[ 31 583] ; [  5 212],[ 26.59927798 587.40072202] ; [  9.40072202 207.59927798],0
u4,1,0.096789,2.757676,[ 18 596] ; [  2 215],[ 14.77737665 599.22262335] ; [  5.22262335 211.77737665],0
p7,1,0.118654,2.434997,[397 202] ; [126  83],[387.71905941 211.28094059] ; [135.28094059  73.71905941],0
n6,1,0.126932,2.329627,[524  87] ; [175  40],[517.05690073  93.94309927] ; [181.94309927  33.05690073],0
p11,1,0.195791,1.673499,[495 119] ; [166  51],[488.39229844 125.60770156] ; [172.60770156  44.39229844],0
s1,1,0.313183,1.017206,[ 17 587] ; [  9 204],[ 19.22154223 584.77845777] ; [  6.77845777 206.22154223],0
p6,1,0.347252,0.883474,[228 376] ; [ 72 139],[222.33128834 381.66871166] ; [ 77.66871166 133.33128834],0
b5,1,0.40679,0.688162,[368 246] ; [137  80],[373.12876053 240.87123947] ; [131.87123947  85.12876053],0
n1,1,0.412328,0.672078,[46 81] ; [19 25],[48.2748538 78.7251462] ; [16.7251462 27.2748538],0
b1,1,0.418834,0.653585,[234 380] ; [ 76 141],[229.04933815 384.95066185] ; [ 80.95066185 136.04933815],0
n2,1,0.575704,0.313232,[100  31] ; [31 12],[98.62643678 32.37356322] ; [32.37356322 10.62643678],0
b4,1,0.733573,0.115856,[359 255] ; [124  93],[356.87364621 257.12635379] ; [126.12635379  90.87364621],0
s4,1,0.754361,0.097902,[ 99 506] ; [ 37 177],[100.46398046 504.53601954] ; [ 35.53601954 178.46398046],0
p5,1,0.761097,0.092441,[ 70 538] ; [ 23 191],[ 68.78832117 539.21167883] ; [ 24.21167883 189.78832117],0
a8,1,0.837584,0.042019,[ 82 469] ; [ 29 174],[ 81.11538462 469.88461538] ; [ 29.88461538 173.11538462],0
p1,1,0.848378,0.036553,[ 51 558] ; [ 19 197],[ 51.67272727 557.32727273] ; [ 18.32727273 197.67272727],0
n3,1,0.860599,0.03084,[98 31] ; [34 10],[98.42774566 30.57225434] ; [33.57225434 10.42774566],0
u2,1,0.91616,0.011082,[72 52] ; [66 49],[71.59832636 52.40167364] ; [66.40167364 48.59832636],0
s3,1,0.917385,0.01076,[343 263] ; [122  92],[343.64634146 262.35365854] ; [121.35365854  92.64634146],0
u3,1,0.989423,0.000176,[76 48] ; [71 45],[75.95 48.05] ; [71.05 44.95],0
