Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.1e-05,19.25,[ 9 33] ; [41 22],[20. 22.] ; [30. 33.],1
n5,1,0.157663,1.996503,[26 17] ; [47 17],[29.3364486 13.6635514] ; [43.6635514 20.3364486],0
r3,1,0.180069,1.797057,[39  4] ; [61  2],[40.56603774  2.43396226] ; [59.43396226  3.56603774],0
u2,1,0.183226,1.771266,[8 8] ; [ 5 13],[6.11764706 9.88235294] ; [ 6.88235294 11.11764706],0
a2,1,0.195659,1.674485,[ 8 35] ; [19 45],[10.85046729 32.14953271] ; [16.14953271 47.85046729],0
a5,1,0.196244,1.670108,[28 15] ; [49 15],[30.94392523 12.05607477] ; [46.05607477 17.94392523],0
d5,1,0.20361,1.616288,[32 11] ; [54 10],[34.56074766  8.43925234] ; [51.43925234 12.56074766],0
a6,1,0.269174,1.22095,[28 15] ; [48 16],[30.54205607 12.45794393] ; [45.45794393 18.54205607],0
a3,1,0.322429,0.97907,[27 16] ; [46 18],[29.3364486 13.6635514] ; [43.6635514 20.3364486],0
b1,1,0.33423,0.932439,[11 32] ; [22 42],[13.26168224 29.73831776] ; [19.73831776 44.26168224],0
s1,1,0.342684,0.900365,[ 2 41] ; [ 1 63],[ 1.20560748 41.79439252] ; [ 1.79439252 62.20560748],0
u3,1,0.429402,0.62444,[11  5] ; [10  8],[9.88235294 6.11764706] ; [11.11764706  6.88235294],0
b5,1,0.505415,0.443548,[34  9] ; [47 17],[32.55140187 10.44859813] ; [48.44859813 15.55140187],0
v2,1,0.544843,0.366637,[21 22] ; [34 28],[22.52380952 20.47619048] ; [32.47619048 29.52380952],0
n1,1,0.548186,0.360577,[3 9] ; [ 2 11],[2.4 9.6] ; [ 2.6 10.4],0
s2,1,0.56914,0.324123,[28 13] ; [47 17],[29.28571429 11.71428571] ; [45.71428571 18.28571429],0
a8,1,0.57493,0.314503,[ 3 35] ; [ 3 56],[ 2.35051546 35.64948454] ; [ 3.64948454 55.35051546],0
u1,1,0.625718,0.237913,[ 9 34] ; [16 48],[10.04672897 32.95327103] ; [14.95327103 49.04672897],0
d4,1,0.742978,0.107527,[36  7] ; [52 12],[35.36448598  7.63551402] ; [52.63551402 11.36448598],0
n4,1,0.763901,0.090218,[27 16] ; [42 22],[27.72897196 15.27102804] ; [41.27102804 22.72897196],0
a1,1,0.775074,0.08165,[ 1 42] ; [ 1 63],[ 0.80373832 42.19626168] ; [ 1.19626168 62.80373832],0
d2,1,0.784309,0.074916,[19 24] ; [30 34],[19.69158879 23.30841121] ; [29.30841121 34.69158879],0
v4,1,0.805999,0.060315,[42  1] ; [62  2],[41.79439252  1.20560748] ; [62.20560748  1.79439252],0
n6,1,0.851347,0.035119,[37  6] ; [55  8],[37.32075472  5.67924528] ; [54.67924528  8.32075472],0
r4,1,0.892314,0.018327,[38  5] ; [56  8],[37.77570093  5.22429907] ; [56.22429907  7.77570093],0
n2,1,0.910443,0.012652,[9 3] ; [10  3],[9.12 2.88] ; [9.88 3.12],0
a4,1,0.973198,0.001129,[18 25] ; [27 37],[18.08411215 24.91588785] ; [26.91588785 37.08411215],0
b2,1,0.981048,0.000564,[ 5 16] ; [ 8 26],[ 4.96363636 16.03636364] ; [ 8.03636364 25.96363636],0
b3,1,0.981048,0.000564,[ 5 16] ; [ 8 26],[ 4.96363636 16.03636364] ; [ 8.03636364 25.96363636],0
d3,1,0.984914,0.000358,[35  8] ; [52 12],[34.96261682  8.03738318] ; [52.03738318 11.96261682],0
r2,1,0.985899,0.000312,[40  2] ; [61  3],[40.01886792  1.98113208] ; [60.98113208  3.01886792],0
