Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,24.586798,[ 45 115] ; [117 101],[68.57142857 91.42857143] ; [ 93.42857143 124.57142857],1
r2,1,0.087416,2.921334,[152  10] ; [219   6],[155.30232558   6.69767442] ; [215.69767442   9.30232558],0
p12,1,0.097036,2.753589,[ 13 150] ; [ 30 195],[ 18.06443299 144.93556701] ; [ 24.93556701 200.06443299],0
d5,1,0.098501,2.729655,[131  32] ; [194  30],[136.88630491  26.11369509] ; [188.11369509  35.88630491],0
p11,1,0.102462,2.666792,[119  45] ; [180  46],[125.73333333  38.26666667] ; [173.26666667  52.73333333],0
p1,1,0.105207,2.624775,[ 12 150] ; [ 28 196],[ 16.78756477 145.21243523] ; [ 23.21243523 200.78756477],0
n1,1,0.112496,2.518796,[14 27] ; [23 22],[17.63953488 23.36046512] ; [19.36046512 25.63953488],0
d4,1,0.117906,2.444924,[135  27] ; [199  25],[140.1761658  21.8238342] ; [193.8238342  30.1761658],0
a4,1,0.173905,1.848955,[73 90] ; [117 109],[79.61439589 83.38560411] ; [110.38560411 115.61439589],0
p4,1,0.192605,1.697578,[104  59] ; [157  67],[109.93023256  53.06976744] ; [151.06976744  72.93023256],0
b2,1,0.198833,1.650926,[28 61] ; [60 91],[32.63333333 56.36666667] ; [55.36666667 95.63333333],0
b3,1,0.198833,1.650926,[28 61] ; [60 91],[32.63333333 56.36666667] ; [55.36666667 95.63333333],0
v4,1,0.244525,1.354315,[156   7] ; [220   5],[157.95876289   5.04123711] ; [218.04123711   6.95876289],0
n3,1,0.260146,1.267979,[31 10] ; [29 16],[28.60465116 12.39534884] ; [31.39534884 13.60465116],0
n6,1,0.305807,1.048699,[139  24] ; [198  25],[142.30829016  20.69170984] ; [194.69170984  28.30829016],0
s3,1,0.317937,0.997416,[147  15] ; [196  28],[143.95336788  18.04663212] ; [199.04663212  24.95336788],0
s1,1,0.351101,0.869475,[ 11 153] ; [ 10 211],[  8.94545455 155.05454545] ; [ 12.05454545 208.94545455],0
a2,1,0.352905,0.862985,[ 43 121] ; [ 69 157],[ 47.0974359 116.9025641] ; [ 64.9025641 161.0974359],0
a7,1,0.363169,0.826905,[122  41] ; [159  66],[118.04896907  44.95103093] ; [162.95103093  62.04896907],0
r1,1,0.38822,0.74451,[133  30] ; [191  34],[136.11340206  26.88659794] ; [187.88659794  37.11340206],0
b5,1,0.426212,0.633122,[98 66] ; [144  82],[101.76410256  62.23589744] ; [140.23589744  85.76410256],0
p7,1,0.451218,0.56759,[105  55] ; [149  66],[108.37333333  51.62666667] ; [145.62666667  69.37333333],0
d2,1,0.490384,0.475684,[83 80] ; [122 102],[86.34366925 76.65633075] ; [118.65633075 105.34366925],0
a6,1,0.516377,0.421123,[110  52] ; [145  79],[107.02072539  54.97927461] ; [147.97927461  76.02072539],0
r3,1,0.561496,0.33712,[156   6] ; [219   6],[156.97674419   5.02325581] ; [218.02325581   6.97674419],0
u3,1,0.645459,0.211674,[31 16] ; [31 13],[32.02197802 14.97802198] ; [29.97802198 14.02197802],0
u1,1,0.653088,0.202029,[ 36 128] ; [ 54 172],[ 37.84615385 126.15384615] ; [ 52.15384615 173.84615385],0
d3,1,0.680806,0.16922,[115  47] ; [164  61],[116.79069767  45.20930233] ; [162.20930233  62.79069767],0
a1,1,0.769887,0.08557,[  9 155] ; [ 14 212],[  9.67179487 154.32820513] ; [ 13.32820513 212.67179487],0
u2,1,0.771289,0.0845,[27 20] ; [26 17],[27.67777778 19.32222222] ; [25.32222222 17.67777778],0
p2,1,0.805905,0.060374,[137  26] ; [187  38],[136.11340206  26.88659794] ; [187.88659794  37.11340206],0
b4,1,0.926576,0.008492,[98 66] ; [134  92],[97.55897436 66.44102564] ; [134.44102564  91.55897436],0
b1,1,0.933251,0.007015,[66 98] ; [ 90 136],[65.6 98.4] ; [ 90.4 135.6],0
