Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,23.205157,[ 1 28] ; [27 19],[10.82666667 18.17333333] ; [17.17333333 28.82666667],1
v3,1,0.54054,0.374539,[ 8 20] ; [10 35],[ 6.90410959 21.09589041] ; [11.09589041 33.90410959],0
s1,1,0.552296,0.35322,[ 3 26] ; [ 3 43],[ 2.32 26.68] ; [ 3.68 42.32],0
s7,1,0.560298,0.339189,[ 8 21] ; [14 27],[ 9.11428571 19.88571429] ; [12.88571429 28.11428571],0
n6,1,0.591059,0.288693,[15 14] ; [25 18],[16.11111111 12.88888889] ; [23.88888889 19.11111111],0
r2,1,0.65992,0.19362,[18 10] ; [23 16],[17.13432836 10.86567164] ; [23.86567164 15.13432836],0
d3,1,0.723087,0.125554,[19  9] ; [33 13],[19.67567568  8.32432432] ; [32.32432432 13.67567568],0
p8,1,0.748206,0.103045,[11 17] ; [16 29],[10.35616438 17.64383562] ; [16.64383562 28.35616438],0
b3,1,0.763285,0.090703,[4 8] ; [ 8 20],[3.6 8.4] ; [ 8.4 19.6],0
b2,1,0.763285,0.090703,[4 8] ; [ 8 20],[3.6 8.4] ; [ 8.4 19.6],0
b5,1,0.76385,0.090257,[16 13] ; [27 19],[16.62666667 12.37333333] ; [26.37333333 19.62666667],0
p7,1,0.769703,0.085711,[12 15] ; [18 26],[11.4084507 15.5915493] ; [18.5915493 25.4084507],0
n2,1,0.839931,0.040797,[8 5] ; [13  7],[8.27272727 4.72727273] ; [12.72727273  7.27272727],0
b4,1,0.857954,0.032033,[17 12] ; [26 20],[16.62666667 12.37333333] ; [26.37333333 19.62666667],0
p9,1,0.892027,0.018425,[18 11] ; [28 16],[18.2739726 10.7260274] ; [27.7260274 16.2739726],0
d4,1,0.913962,0.011673,[23  6] ; [36 10],[22.81333333  6.18666667] ; [36.18666667  9.81333333],0
p11,1,0.944307,0.00488,[16 13] ; [25 21],[15.85333333 13.14666667] ; [25.14666667 20.85333333],0
u3,1,0.954001,0.003327,[ 7 11] ; [4 6],[ 7.07142857 10.92857143] ; [3.92857143 6.07142857],0
