Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,47.922754,[109   9] ; [ 8 16],[97.22535211 20.77464789] ; [19.77464789  4.22535211],1
b3,1,0.131724,2.272067,[29 45] ; [ 2 10],[26.6744186 47.3255814] ; [4.3255814 7.6744186],0
s1,1,0.163891,1.937952,[  3 114] ; [ 2 22],[  4.14893617 112.85106383] ; [ 0.85106383 23.14893617],0
a2,1,0.170288,1.880408,[24 95] ; [ 2 22],[21.63636364 97.36363636] ; [ 4.36363636 19.63636364],0
n4,1,0.184041,1.764686,[90 29] ; [15  9],[87.37762238 31.62237762] ; [17.62237762  6.37762238],0
d2,1,0.189506,1.721455,[52 67] ; [14 10],[54.92307692 64.07692308] ; [11.07692308 12.92307692],0
a7,1,0.217487,1.520877,[89 30] ; [15  9],[86.54545455 32.45454545] ; [17.45454545  6.54545455],0
n3,1,0.225041,1.471933,[13  4] ; [6 5],[11.53571429  5.46428571] ; [7.46428571 3.53571429],0
v3,1,0.277754,1.178049,[49 66] ; [ 7 16],[46.66666667 68.33333333] ; [ 9.33333333 13.66666667],0
v2,1,0.286193,1.137443,[71 44] ; [12 12],[68.66906475 46.33093525] ; [14.33093525  9.66906475],0
n6,1,0.292123,1.109813,[99 20] ; [17  6],[97.21126761 21.78873239] ; [18.78873239  4.21126761],0
s5,1,0.381448,0.766031,[ 18 101] ; [ 2 22],[ 16.64335664 102.35664336] ; [ 3.35664336 20.64335664],0
b5,1,0.387284,0.747454,[68 51] ; [16  8],[69.9020979 49.0979021] ; [14.0979021  9.9020979],0
a5,1,0.433526,0.613358,[84 35] ; [15  9],[82.38461538 36.61538462] ; [16.61538462  7.38461538],0
r1,1,0.437622,0.602509,[93 26] ; [17  7],[91.53846154 27.46153846] ; [18.46153846  5.53846154],0
n1,1,0.452651,0.564004,[ 5 11] ; [5 6],[ 5.92592593 10.07407407] ; [4.07407407 6.92592593],0
n2,1,0.462832,0.539037,[13  4] ; [7 4],[12.14285714  4.85714286] ; [7.85714286 3.14285714],0
p5,1,0.471736,0.517906,[ 10 108] ; [ 1 23],[  9.14084507 108.85915493] ; [ 1.85915493 22.14084507],0
u2,1,0.486834,0.483516,[18 24] ; [7 6],[19.09090909 22.90909091] ; [5.90909091 7.09090909],0
p7,1,0.510255,0.433544,[89 28] ; [16  7],[87.75 29.25] ; [17.25  5.75],0
d1,1,0.617761,0.249027,[71 48] ; [13 11],[69.9020979 49.0979021] ; [14.0979021  9.9020979],0
s4,1,0.638092,0.221246,[  8 111] ; [ 1 23],[  7.48951049 111.51048951] ; [ 1.51048951 22.48951049],0
u3,1,0.666812,0.185353,[19 23] ; [5 8],[18.32727273 23.67272727] ; [5.67272727 7.32727273],0
d3,1,0.672247,0.178985,[79 40] ; [17  7],[79.88811189 39.11188811] ; [16.11188811  7.88811189],0
s2,1,0.725847,0.122959,[21 97] ; [ 5 19],[21.6056338 96.3943662] ; [ 4.3943662 19.6056338],0
s3,1,0.744002,0.106641,[28 89] ; [ 5 19],[27.38297872 89.61702128] ; [ 5.61702128 18.38297872],0
a6,1,0.793833,0.068297,[76 43] ; [16  8],[76.55944056 42.44055944] ; [15.44055944  8.55944056],0
p6,1,0.819776,0.051908,[44 74] ; [ 8 15],[43.5177305 74.4822695] ; [ 8.4822695 14.5177305],0
s7,1,0.819971,0.051793,[30 80] ; [ 6 18],[29.55223881 80.44776119] ; [ 6.44776119 17.55223881],0
u1,1,0.823242,0.049898,[ 13 106] ; [ 3 21],[ 13.31468531 105.68531469] ; [ 2.68531469 21.31468531],0
b4,1,0.847534,0.036966,[67 52] ; [13 11],[66.57342657 52.42657343] ; [13.42657343 10.57342657],0
a8,1,0.855757,0.033043,[11 95] ; [ 2 20],[10.765625 95.234375] ; [ 2.234375 19.765625],0
p1,1,0.930325,0.007645,[ 14 104] ; [ 3 21],[ 14.12676056 103.87323944] ; [ 2.87323944 21.12676056],0
r2,1,0.972272,0.001208,[108  10] ; [21  2],[107.95744681  10.04255319] ; [21.04255319  1.95744681],0
