Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,24.563179,[55 61] ; [ 21 100],[37.19831224 78.80168776] ; [38.80168776 82.19831224],1
a3,1,0.139277,2.185929,[78 39] ; [70 52],[72.45188285 44.54811715] ; [75.54811715 46.45188285],0
p11,1,0.15997,1.974505,[92 25] ; [87 36],[87.2625 29.7375] ; [91.7375 31.2625],0
d2,1,0.188432,1.729837,[ 10 107] ; [ 17 105],[ 13.21757322 103.78242678] ; [ 13.78242678 108.21757322],0
n3,1,0.200712,1.637188,[20  7] ; [18 13],[17.68965517  9.31034483] ; [20.31034483 10.68965517],0
a1,1,0.254718,1.297239,[ 10 107] ; [  6 117],[  7.8 109.2] ; [  8.2 114.8],0
p8,1,0.259398,1.271965,[57 58] ; [52 71],[52.66806723 62.33193277] ; [56.33193277 66.66806723],0
b5,1,0.266979,1.232202,[65 52] ; [77 46],[69.225 47.775] ; [72.775 50.225],0
p5,1,0.32138,0.983321,[ 14 102] ; [ 10 112],[ 11.69747899 104.30252101] ; [ 12.30252101 109.69747899],0
d3,1,0.369374,0.805769,[61 56] ; [57 66],[57.525 59.475] ; [60.475 62.525],0
u2,1,0.372815,0.794262,[20 17] ; [33 19],[22.03370787 14.96629213] ; [30.96629213 21.03370787],0
p9,1,0.385546,0.752942,[92 22] ; [92 29],[89.25957447 24.74042553] ; [94.74042553 26.25957447],0
s5,1,0.402382,0.701197,[39 73] ; [35 83],[36.03478261 75.96521739] ; [37.96521739 80.03478261],0
s3,1,0.471122,0.519343,[61 54] ; [59 63],[58.2278481 56.7721519] ; [61.7721519 60.2278481],0
u3,1,0.509014,0.436093,[21 18] ; [31 20],[22.53333333 16.46666667] ; [29.46666667 21.53333333],0
s2,1,0.590591,0.289422,[54 62] ; [53 70],[51.93305439 64.06694561] ; [55.06694561 67.93305439],0
p1,1,0.594166,0.283886,[  5 112] ; [  7 114],[  5.89915966 111.10084034] ; [  6.10084034 114.89915966],0
p4,1,0.618043,0.248627,[56 59] ; [55 66],[54.08898305 60.91101695] ; [56.91101695 64.08898305],0
p2,1,0.686648,0.162738,[93 23] ; [96 27],[91.73221757 24.26778243] ; [97.26778243 25.73221757],0
n2,1,0.703245,0.145118,[22  5] ; [24  7],[21.4137931  5.5862069] ; [24.5862069  6.4137931],0
b2,1,0.717106,0.131282,[26 38] ; [24 40],[25. 39.] ; [25. 39.],0
b3,1,0.717106,0.131282,[26 38] ; [24 40],[25. 39.] ; [25. 39.],0
a4,1,0.811412,0.056932,[33 84] ; [33 90],[32.175 84.825] ; [33.825 89.175],0
s1,1,0.813183,0.055848,[  4 110] ; [  5 117],[  4.34745763 109.65254237] ; [  4.65254237 117.34745763],0
a7,1,0.820256,0.051627,[78 38] ; [81 42],[77.17154812 38.82845188] ; [81.82845188 41.17154812],0
b4,1,0.844252,0.038596,[69 48] ; [71 52],[68.25 48.75] ; [71.75 51.25],0
a2,1,0.847305,0.037078,[  6 111] ; [  7 116],[  6.3375 110.6625] ; [  6.6625 116.3375],0
p12,1,0.927947,0.008177,[  6 109] ; [  6 115],[  5.84745763 109.15254237] ; [  6.15254237 114.84745763],0
a6,1,0.955785,0.003074,[67 50] ; [70 53],[66.7875 50.2125] ; [70.2125 52.7875],0
a8,1,0.984726,0.000367,[17 91] ; [ 19 101],[17.05263158 90.94736842] ; [ 18.94736842 101.05263158],0
s4,1,0.997651,9e-06,[19 97] ; [ 20 102],[19.00840336 96.99159664] ; [ 19.99159664 102.00840336],0
