Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,43.739329,[87 11] ; [11 24],[72.21052632 25.78947368] ; [25.78947368  9.21052632],1
n1,1,0.222215,1.490008,[10 23] ; [6 6],[11.73333333 21.26666667] ; [4.26666667 7.73333333],0
v1,1,0.249771,1.324587,[46 50] ; [12 21],[43.1627907 52.8372093] ; [14.8372093 18.1627907],0
p6,1,0.265578,1.239448,[20 73] ; [10 22],[22.32 70.68] ; [ 7.68 24.32],0
p9,1,0.29764,1.084737,[63 31] ; [20 15],[60.48062016 33.51937984] ; [22.51937984 12.48062016],0
p3,1,0.304695,1.053531,[36 61] ; [ 9 24],[33.57692308 63.42307692] ; [11.42307692 21.57692308],0
s4,1,0.310605,1.028103,[15 83] ; [ 8 27],[16.94736842 81.05263158] ; [ 6.05263158 28.94736842],0
p4,1,0.409983,0.678851,[45 52] ; [13 21],[42.94656489 54.05343511] ; [15.05343511 18.94656489],0
d1,1,0.473042,0.514862,[60 38] ; [19 16],[58.21052632 39.78947368] ; [20.78947368 14.21052632],0
p11,1,0.490397,0.475655,[57 41] ; [18 17],[55.26315789 42.73684211] ; [19.73684211 15.26315789],0
u1,1,0.522393,0.409165,[ 9 89] ; [ 2 33],[ 8.10526316 89.89473684] ; [ 2.89473684 32.10526316],0
n4,1,0.575186,0.314082,[53 45] ; [17 18],[51.57894737 46.42105263] ; [18.42105263 16.57894737],0
s8,1,0.579621,0.306848,[33 65] ; [10 25],[31.68421053 66.31578947] ; [11.31578947 23.68421053],0
s1,1,0.581133,0.304406,[ 5 90] ; [ 1 33],[ 4.41860465 90.58139535] ; [ 1.58139535 32.41860465],0
p7,1,0.588454,0.292765,[47 45] ; [16 19],[45.63779528 46.36220472] ; [17.36220472 17.63779528],0
u3,1,0.597676,0.278515,[20 10] ; [9 3],[20.71428571  9.28571429] ; [8.28571429 3.71428571],0
a8,1,0.667753,0.184241,[ 6 85] ; [ 3 31],[ 6.552 84.448] ; [ 2.448 31.552],0
a4,1,0.672023,0.179245,[38 60] ; [15 20],[39.05263158 58.94736842] ; [13.94736842 21.05263158],0
a2,1,0.675847,0.174838,[20 78] ; [ 6 29],[19.15789474 78.84210526] ; [ 6.84210526 28.15789474],0
n3,1,0.73193,0.117347,[20 12] ; [8 6],[19.47826087 12.52173913] ; [8.52173913 5.47826087],0
s5,1,0.745243,0.105572,[20 73] ; [ 8 25],[20.66666667 72.33333333] ; [ 7.33333333 25.66666667],0
a6,1,0.746094,0.104842,[70 28] ; [26  9],[70.73684211 27.26315789] ; [25.26315789  9.73684211],0
b4,1,0.751577,0.100211,[59 39] ; [20 15],[58.21052632 39.78947368] ; [20.78947368 14.21052632],0
a3,1,0.77331,0.082972,[67 31] ; [23 12],[66.31578947 31.68421053] ; [23.68421053 11.31578947],0
s7,1,0.783889,0.075215,[30 59] ; [12 21],[30.63934426 58.36065574] ; [11.36065574 21.63934426],0
n5,1,0.784513,0.074771,[39 58] ; [15 20],[39.68181818 57.31818182] ; [14.31818182 20.68181818],0
s3,1,0.901966,0.015173,[44 52] ; [16 18],[44.30769231 51.69230769] ; [15.69230769 18.30769231],0
u2,1,0.911632,0.012317,[22  8] ; [9 3],[22.14285714  7.85714286] ; [8.85714286 3.14285714],0
s2,1,0.916612,0.010962,[37 60] ; [13 22],[36.74242424 60.25757576] ; [13.25757576 21.74242424],0
p5,1,0.919487,0.010217,[ 5 90] ; [ 2 33],[ 5.11538462 89.88461538] ; [ 1.88461538 33.11538462],0
p12,1,0.942692,0.005168,[ 3 91] ; [ 1 33],[ 2.9375 91.0625] ; [ 1.0625 32.9375],0
n2,1,0.966203,0.001795,[21 12] ; [9 5],[21.06382979 11.93617021] ; [8.93617021 5.06382979],0
a5,1,0.982212,0.000497,[67 31] ; [24 11],[67.05263158 30.94736842] ; [23.94736842 11.05263158],0
b5,1,0.983111,0.000448,[59 39] ; [21 14],[58.94736842 39.05263158] ; [21.05263158 13.94736842],0
