Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9.4e-05,15.253941,[ 4 71] ; [10 19],[10.09615385 64.90384615] ; [ 3.90384615 25.09615385],1
d1,1,0.65465,0.200087,[33 43] ; [14 15],[34.01904762 41.98095238] ; [12.98095238 16.01904762],0
p3,1,0.678744,0.171543,[18 58] ; [ 8 21],[18.81904762 57.18095238] ; [ 7.18095238 21.81904762],0
d5,1,0.691068,0.157932,[52 24] ; [21  8],[52.83809524 23.16190476] ; [20.16190476  8.83809524],0
a6,1,0.707689,0.140597,[45 31] ; [16 13],[44.15238095 31.84761905] ; [16.84761905 12.15238095],0
v4,1,0.719363,0.129103,[57 18] ; [23  6],[57.69230769 17.30769231] ; [22.30769231  6.69230769],0
p8,1,0.786312,0.073497,[19 57] ; [ 8 21],[19.54285714 56.45714286] ; [ 7.45714286 21.54285714],0
r2,1,0.820715,0.051359,[59 14] ; [24  5],[59.40196078 13.59803922] ; [23.59803922  5.40196078],0
a4,1,0.854493,0.033631,[27 48] ; [11 18],[27.40384615 47.59615385] ; [10.59615385 18.40384615],0
b3,1,0.971823,0.001248,[14 32] ; [ 6 14],[13.93939394 32.06060606] ; [ 6.06060606 13.93939394],0
b2,1,0.971823,0.001248,[14 32] ; [ 6 14],[13.93939394 32.06060606] ; [ 6.06060606 13.93939394],0
n5,1,0.979856,0.000638,[39 36] ; [15 14],[38.94230769 36.05769231] ; [15.05769231 13.94230769],0
n1,1,0.985417,0.000334,[10 23] ; [3 7],[ 9.97674419 23.02325581] ; [3.02325581 6.97674419],0
