Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,78.907892,[136   1] ; [41 40],[111.23394495  25.76605505] ; [65.76605505 15.23394495],1
a3,1,0.179426,1.802369,[112  25] ; [60 21],[108.09174312  28.90825688] ; [63.90825688 17.09174312],0
p8,1,0.179938,1.798132,[66 69] ; [32 49],[61.25 73.75] ; [36.75 44.25],0
p1,1,0.199066,1.64921,[  6 131] ; [ 7 74],[  8.16972477 128.83027523] ; [ 4.83027523 76.16972477],0
n3,1,0.214817,1.538661,[22 13] ; [18  5],[24.13793103 10.86206897] ; [15.86206897  7.13793103],0
p5,1,0.223083,1.484425,[ 15 118] ; [ 5 75],[ 12.48826291 120.51173709] ; [ 7.51173709 72.48826291],0
p9,1,0.229725,1.442561,[120  14] ; [68 13],[117.17209302  16.82790698] ; [70.82790698 10.17209302],0
r3,1,0.243354,1.361058,[133   4] ; [76  5],[131.3440367   5.6559633] ; [77.6559633  3.3440367],0
s5,1,0.255959,1.290484,[53 77] ; [26 53],[49.13875598 80.86124402] ; [29.86124402 49.13875598],0
n6,1,0.27283,1.202463,[116  19] ; [65 16],[113.125  21.875] ; [67.875 13.125],0
s1,1,0.276606,1.183691,[  3 130] ; [ 4 76],[  4.37089202 128.62910798] ; [ 2.62910798 77.37089202],0
s3,1,0.279848,1.167826,[102  31] ; [56 24],[98.657277 34.342723] ; [59.342723 20.657277],0
u3,1,0.300723,1.070986,[19  6] ; [13  8],[17.39130435  7.60869565] ; [14.60869565  6.39130435],0
b4,1,0.328932,0.953099,[82 55] ; [43 38],[78.55504587 58.44495413] ; [46.44495413 34.55504587],0
b2,1,0.359635,0.839169,[41 59] ; [17 34],[38.41059603 61.58940397] ; [19.58940397 31.41059603],0
b3,1,0.359635,0.839169,[41 59] ; [17 34],[38.41059603 61.58940397] ; [19.58940397 31.41059603],0
r4,1,0.378874,0.774351,[128   9] ; [73  8],[126.31651376  10.68348624] ; [74.68348624  6.31651376],0
p10,1,0.467565,0.527724,[117  17] ; [67 13],[115.21495327  18.78504673] ; [68.78504673 11.21495327],0
u4,1,0.468484,0.525549,[  6 131] ; [ 2 79],[  5.02752294 131.97247706] ; [ 2.97247706 78.02752294],0
n1,1,0.55603,0.346625,[14 21] ; [11 12],[15.0862069 19.9137931] ; [ 9.9137931 13.0862069],0
s7,1,0.558822,0.341748,[94 32] ; [56 23],[92.19512195 33.80487805] ; [57.80487805 21.19512195],0
p2,1,0.564163,0.332548,[111  26] ; [63 18],[109.34862385  27.65137615] ; [64.65137615 16.34862385],0
v1,1,0.604969,0.267566,[68 61] ; [44 34],[69.79710145 59.20289855] ; [42.20289855 35.79710145],0
b1,1,0.631791,0.229639,[53 84] ; [34 47],[54.67431193 82.32568807] ; [32.32568807 48.67431193],0
s4,1,0.640091,0.218623,[ 22 115] ; [15 66],[ 23.25229358 113.74770642] ; [13.74770642 67.25229358],0
p7,1,0.690743,0.158282,[77 55] ; [45 36],[75.6056338 56.3943662] ; [46.3943662 34.6056338],0
s6,1,0.744121,0.106538,[111  24] ; [68 13],[111.875  23.125] ; [67.125 13.875],0
a8,1,0.922428,0.009482,[ 20 101] ; [12 63],[ 19.75510204 101.24489796] ; [12.24489796 62.75510204],0
a1,1,0.983631,0.000421,[  5 132] ; [ 3 78],[  5.02752294 131.97247706] ; [ 2.97247706 78.02752294],0
