Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000454,12.294643,[ 5 30] ; [10  6],[10.29411765 24.70588235] ; [ 4.70588235 11.29411765],1
d4,1,0.393347,0.728571,[22 13] ; [12  4],[23.33333333 11.66666667] ; [10.66666667  5.33333333],0
d2,1,0.408083,0.68438,[17 17] ; [10  6],[18.36 15.64] ; [8.64 7.36],0
a2,1,0.4808,0.497049,[ 4 31] ; [ 3 13],[ 4.80392157 30.19607843] ; [ 2.19607843 13.80392157],0
b1,1,0.503454,0.447649,[21 14] ; [8 8],[19.90196078 15.09803922] ; [9.09803922 6.90196078],0
r1,1,0.503454,0.447649,[14 21] ; [8 8],[15.09803922 19.90196078] ; [6.90196078 9.09803922],0
d5,1,0.507246,0.439745,[23 12] ; [12  4],[24.01960784 10.98039216] ; [10.98039216  5.01960784],0
b4,1,0.548705,0.359642,[21 14] ; [11  5],[21.96078431 13.03921569] ; [10.03921569  5.96078431],0
s2,1,0.561523,0.337073,[ 8 26] ; [ 5 11],[ 8.84 25.16] ; [ 4.16 11.84],0
u2,1,0.573138,0.31746,[ 3 11] ; [2 4],[ 3.5 10.5] ; [1.5 4.5],0
s1,1,0.66155,0.191646,[ 3 32] ; [ 2 14],[ 3.43137255 31.56862745] ; [ 1.56862745 14.43137255],0
s4,1,0.66155,0.191646,[ 3 32] ; [ 2 14],[ 3.43137255 31.56862745] ; [ 1.56862745 14.43137255],0
r2,1,0.724018,0.124675,[18 15] ; [9 6],[18.5625 14.4375] ; [8.4375 6.5625],0
a7,1,0.776011,0.080952,[16 19] ; [8 8],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
d3,1,0.776011,0.080952,[16 19] ; [8 8],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
a4,1,0.778253,0.079296,[12 22] ; [ 5 11],[11.56 22.44] ; [ 5.44 10.56],0
n2,1,0.840039,0.040741,[10  8] ; [2 2],[9.81818182 8.18181818] ; [2.18181818 1.81818182],0
v3,1,0.867057,0.028022,[ 8 27] ; [ 4 12],[ 8.23529412 26.76470588] ; [ 3.76470588 12.23529412],0
p12,1,0.896608,0.016886,[ 2 33] ; [ 1 14],[ 2.1 32.9] ; [ 0.9 14.1],0
u1,1,0.939861,0.005692,[ 2 33] ; [ 1 15],[ 2.05882353 32.94117647] ; [ 0.94117647 15.05882353],0
d1,1,0.952364,0.003569,[15 20] ; [7 9],[15.09803922 19.90196078] ; [6.90196078 9.09803922],0
a3,1,0.960148,0.002497,[21 13] ; [10  6],[21.08 12.92] ; [9.92 6.08],0
n1,1,1.0,0.0,[9 9] ; [2 2],[9. 9.] ; [2. 2.],0
