Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,7.4e-05,15.697849,[ 65 112] ; [29 12],[ 76.32110092 100.67889908] ; [17.67889908 23.32110092],1
s6,1,0.365007,0.820594,[125  51] ; [32  9],[127.33640553  48.66359447] ; [29.66359447 11.33640553],0
u3,1,0.389755,0.739706,[36 25] ; [10  4],[37.41333333 23.58666667] ; [8.58666667 5.41333333],0
n6,1,0.394415,0.725289,[153  26] ; [38  4],[154.70135747  24.29864253] ; [36.29864253  5.70135747],0
r4,1,0.400943,0.705496,[154  26] ; [38  4],[155.67567568  24.32432432] ; [36.32432432  5.67567568],0
d4,1,0.424013,0.639165,[139  41] ; [34  7],[140.90497738  39.09502262] ; [32.09502262  8.90497738],0
s4,1,0.42655,0.632199,[ 45 132] ; [ 8 33],[ 43.03211009 133.96788991] ; [ 9.96788991 31.03211009],0
p2,1,0.42782,0.628734,[161  18] ; [36  6],[159.56108597  19.43891403] ; [37.43891403  4.56108597],0
v4,1,0.461179,0.543032,[171   9] ; [41  1],[171.89189189   8.10810811] ; [40.10810811  1.89189189],0
p7,1,0.483791,0.490306,[126  52] ; [32 10],[127.83636364  50.16363636] ; [30.16363636 11.83636364],0
s2,1,0.489887,0.476773,[96 83] ; [25 17],[98.00452489 80.99547511] ; [22.99547511 19.00452489],0
d1,1,0.508667,0.436808,[97 83] ; [25 17],[98.91891892 81.08108108] ; [23.08108108 18.91891892],0
p6,1,0.524328,0.405372,[84 95] ; [22 20],[85.85520362 93.14479638] ; [20.14479638 21.85520362],0
s3,1,0.545968,0.364591,[106  73] ; [27 15],[107.7239819  71.2760181] ; [25.2760181 16.7239819],0
a6,1,0.546468,0.363682,[111  69] ; [28 14],[112.7027027  67.2972973] ; [26.2972973 15.7027027],0
p12,1,0.580259,0.305816,[  9 171] ; [ 3 39],[  9.72972973 170.27027027] ; [ 2.27027027 39.72972973],0
a2,1,0.582987,0.30143,[ 32 148] ; [ 9 33],[ 33.24324324 146.75675676] ; [ 7.75675676 34.24324324],0
n1,1,0.625137,0.238713,[17 26] ; [3 3],[17.55102041 25.44897959] ; [2.44897959 3.55102041],0
p1,1,0.640065,0.218657,[ 21 159] ; [ 6 36],[ 21.89189189 158.10810811] ; [ 5.10810811 36.89189189],0
p10,1,0.645627,0.211457,[142  35] ; [35  7],[143.05479452  33.94520548] ; [33.94520548  8.05479452],0
s5,1,0.651599,0.20389,[ 61 112] ; [16 25],[ 62.24766355 110.75233645] ; [14.75233645 26.24766355],0
u2,1,0.661023,0.192283,[35 27] ; [7 7],[34.26315789 27.73684211] ; [7.73684211 6.26315789],0
a3,1,0.688733,0.16046,[117  63] ; [28 13],[118.09954751  61.90045249] ; [26.90045249 14.09954751],0
d2,1,0.702961,0.14541,[83 97] ; [18 24],[81.89189189 98.10810811] ; [19.10810811 22.89189189],0
p9,1,0.712216,0.136074,[150  30] ; [34  8],[149.18918919  30.81081081] ; [34.81081081  7.18918919],0
b5,1,0.736131,0.113556,[102  78] ; [25 17],[102.97297297  77.02702703] ; [24.02702703 17.97297297],0
b2,1,0.743811,0.106805,[41 73] ; [11 17],[41.74647887 72.25352113] ; [10.25352113 17.74647887],0
b3,1,0.743811,0.106805,[41 73] ; [11 17],[41.74647887 72.25352113] ; [10.25352113 17.74647887],0
r2,1,0.828071,0.047166,[162  15] ; [38  4],[161.64383562  15.35616438] ; [38.35616438  3.64383562],0
a4,1,0.832383,0.044794,[82 97] ; [20 22],[82.61538462 96.38461538] ; [19.38461538 22.61538462],0
p11,1,0.886188,0.020486,[139  41] ; [32 10],[138.64864865  41.35135135] ; [32.35135135  9.64864865],0
p8,1,0.890914,0.01881,[108  70] ; [25 17],[107.60909091  70.39090909] ; [25.39090909 16.60909091],0
a5,1,0.910857,0.012534,[127  53] ; [30 12],[127.2972973  52.7027027] ; [29.7027027 12.2972973],0
a1,1,0.928826,0.007978,[  8 172] ; [ 2 40],[  8.10810811 171.89189189] ; [ 1.89189189 40.10810811],0
r3,1,0.978505,0.000726,[166  13] ; [39  3],[166.04072398  12.95927602] ; [38.95927602  3.04072398],0
