Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.002414,9.204299,[ 2 19] ; [12 11],[ 6.68181818 14.31818182] ; [ 7.31818182 15.68181818],0
r2,1,0.66825,0.183656,[28  3] ; [28  2],[28.45901639  2.54098361] ; [27.54098361  2.45901639],0
a5,1,0.749138,0.102257,[19 13] ; [19 11],[19.61290323 12.38709677] ; [18.38709677 11.61290323],0
n3,1,0.761001,0.092517,[8 2] ; [6 1],[8.23529412 1.76470588] ; [5.76470588 1.23529412],0
u3,1,0.780914,0.077355,[9 6] ; [6 5],[8.65384615 6.34615385] ; [6.34615385 4.65384615],0
d5,1,0.805634,0.060547,[17 15] ; [15 15],[16.51612903 15.48387097] ; [15.48387097 14.51612903],0
p2,1,0.856176,0.032849,[25  7] ; [24  6],[25.29032258  6.70967742] ; [23.70967742  6.29032258],0
s4,1,0.90092,0.0155,[ 6 26] ; [ 6 24],[ 6.19354839 25.80645161] ; [ 5.80645161 24.19354839],0
v2,1,0.901516,0.015313,[15 16] ; [14 14],[15.23728814 15.76271186] ; [13.76271186 14.23728814],0
n1,1,0.906224,0.013878,[6 4] ; [4 3],[5.88235294 4.11764706] ; [4.11764706 2.88235294],0
n6,1,0.911264,0.01242,[27  5] ; [25  5],[26.83870968  5.16129032] ; [25.16129032  4.83870968],0
u1,1,0.94679,0.004454,[ 2 30] ; [ 2 28],[ 2.06451613 29.93548387] ; [ 1.93548387 28.06451613],0
r3,1,0.94679,0.004454,[30  2] ; [28  2],[29.93548387  2.06451613] ; [28.06451613  1.93548387],0
u2,1,0.951159,0.003752,[8 7] ; [6 5],[8.07692308 6.92307692] ; [5.92307692 5.07692308],0
a7,1,0.960015,0.002514,[19 13] ; [18 12],[19.09677419 12.90322581] ; [17.90322581 12.09677419],0
s1,1,0.972939,0.001151,[ 2 29] ; [ 2 28],[ 2.03278689 28.96721311] ; [ 1.96721311 28.03278689],0
