Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.5e-05,17.743253,[15 62] ; [17 10],[23.69230769 53.30769231] ; [ 8.30769231 18.69230769],1
a3,1,0.17911,1.804992,[32 50] ; [15 13],[35.03636364 46.96363636] ; [11.96363636 16.03636364],0
a8,1,0.197539,1.660476,[10 68] ; [ 1 25],[ 8.25 69.75] ; [ 2.75 23.25],0
a5,1,0.202052,1.627478,[33 50] ; [15 13],[35.89189189 47.10810811] ; [12.10810811 15.89189189],0
v2,1,0.211437,1.561562,[20 58] ; [10 16],[22.5 55.5] ; [ 7.5 18.5],0
d5,1,0.257131,1.284136,[31 51] ; [14 14],[33.54545455 48.45454545] ; [11.45454545 16.54545455],0
n4,1,0.278391,1.174927,[54 29] ; [15 13],[51.59459459 31.40540541] ; [17.40540541 10.59459459],0
b4,1,0.298362,1.081499,[45 38] ; [12 16],[42.62162162 40.37837838] ; [14.37837838 13.62162162],0
v3,1,0.314887,1.010066,[16 63] ; [ 8 19],[17.88679245 61.11320755] ; [ 6.11320755 20.88679245],0
p3,1,0.342935,0.89943,[27 55] ; [12 16],[29.07272727 52.92727273] ; [ 9.92727273 18.07272727],0
p5,1,0.367835,0.810964,[ 7 73] ; [ 1 27],[ 5.92592593 74.07407407] ; [ 2.07407407 25.92592593],0
u3,1,0.389791,0.739593,[17 34] ; [6 7],[18.328125 32.671875] ; [4.671875 8.328125],0
u1,1,0.415588,0.662759,[ 1 82] ; [ 1 27],[ 1.4954955 81.5045045] ; [ 0.5045045 27.4954955],0
p8,1,0.460906,0.543695,[34 47] ; [14 14],[35.66972477 45.33027523] ; [12.33027523 15.66972477],0
u2,1,0.470302,0.521267,[18 33] ; [6 7],[19.125 31.875] ; [4.875 8.125],0
n1,1,0.499822,0.455315,[10 21] ; [4 5],[10.85 20.15] ; [3.15 5.85],0
n2,1,0.501078,0.452653,[18 13] ; [7 3],[18.90243902 12.09756098] ; [6.09756098 3.90243902],0
p12,1,0.571211,0.320661,[ 6 76] ; [ 3 25],[ 6.70909091 75.29090909] ; [ 2.29090909 25.70909091],0
a7,1,0.582809,0.301715,[39 43] ; [15 13],[40.25454545 41.74545455] ; [13.74545455 14.25454545],0
b1,1,0.612809,0.256104,[34 49] ; [13 15],[35.14414414 47.85585586] ; [11.85585586 16.14414414],0
p11,1,0.619743,0.246229,[52 31] ; [19  9],[53.09009009 29.90990991] ; [17.90990991 10.09009009],0
a2,1,0.638224,0.221072,[ 4 79] ; [ 2 26],[ 4.48648649 78.51351351] ; [ 1.51351351 26.48648649],0
d2,1,0.679597,0.17058,[21 62] ; [ 6 22],[20.18918919 62.81081081] ; [ 6.81081081 21.18918919],0
a6,1,0.705019,0.143303,[47 36] ; [17 11],[47.85585586 35.14414414] ; [16.14414414 11.85585586],0
s4,1,0.742667,0.107796,[17 65] ; [ 5 23],[16.4 65.6] ; [ 5.6 22.4],0
s1,1,0.765685,0.088819,[ 4 77] ; [ 1 27],[ 3.71559633 77.28440367] ; [ 1.28440367 26.71559633],0
d1,1,0.783087,0.075789,[ 4 79] ; [ 1 27],[ 3.73873874 79.26126126] ; [ 1.26126126 26.73873874],0
b2,1,0.856428,0.032733,[10 35] ; [ 3 12],[ 9.75 35.25] ; [ 3.25 11.75],0
b3,1,0.856428,0.032733,[10 35] ; [ 3 12],[ 9.75 35.25] ; [ 3.25 11.75],0
n5,1,0.876762,0.024048,[58 25] ; [20  8],[58.32432432 24.67567568] ; [19.67567568  8.32432432],0
p1,1,0.883983,0.021293,[ 8 74] ; [ 3 25],[ 8.2 73.8] ; [ 2.8 25.2],0
p6,1,0.885421,0.020765,[22 59] ; [ 8 20],[22.29357798 58.70642202] ; [ 7.70642202 20.29357798],0
a4,1,0.914891,0.011421,[17 66] ; [ 6 22],[17.1981982 65.8018018] ; [ 5.8018018 22.1981982],0
n3,1,1.0,0.0,[20 10] ; [6 3],[20. 10.] ; [6. 3.],0
