Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3e-06,22.162701,[44 24] ; [143  15],[56.26548673 11.73451327] ; [130.73451327  27.26548673],1
v2,1,0.125767,2.343988,[17 49] ; [56 98],[21.9 44.1] ; [ 51.1 102.9],0
d3,1,0.207539,1.588512,[36 33] ; [96 61],[40.30088496 28.69911504] ; [91.69911504 65.30088496],0
p6,1,0.223981,1.478684,[11 56] ; [ 37 119],[14.42152466 52.57847534] ; [ 33.57847534 122.42152466],0
b2,1,0.238877,1.387209,[11 28] ; [34 53],[13.92857143 25.07142857] ; [31.07142857 55.92857143],0
b3,1,0.238877,1.387209,[11 28] ; [34 53],[13.92857143 25.07142857] ; [31.07142857 55.92857143],0
d5,1,0.240914,1.37524,[44 26] ; [111  46],[47.79735683 22.20264317] ; [107.20264317  49.79735683],0
n3,1,0.300776,1.070751,[17 12] ; [33 14],[19.07894737  9.92105263] ; [30.92105263 16.07894737],0
a7,1,0.309541,1.032634,[41 29] ; [103  54],[44.40528634 25.59471366] ; [99.59471366 57.40528634],0
s5,1,0.313376,1.016392,[ 5 64] ; [ 18 136],[ 7.11659193 61.88340807] ; [ 15.88340807 138.11659193],0
u2,1,0.432347,0.616511,[14 13] ; [27 36],[12.3 14.7] ; [28.7 34.3],0
r1,1,0.441366,0.592728,[39 31] ; [96 61],[41.62995595 28.37004405] ; [93.37004405 63.62995595],0
a8,1,0.453834,0.561058,[ 5 61] ; [ 16 131],[ 6.50704225 59.49295775] ; [ 14.49295775 132.50704225],0
u1,1,0.472365,0.516438,[ 5 65] ; [ 16 142],[ 6.44736842 63.55263158] ; [ 14.55263158 143.44736842],0
v1,1,0.499615,0.455754,[20 49] ; [ 52 103],[22.17857143 46.82142857] ; [ 49.82142857 105.17857143],0
a6,1,0.510564,0.432911,[42 28] ; [102  56],[44.21052632 25.78947368] ; [99.78947368 58.21052632],0
s7,1,0.566216,0.329055,[10 52] ; [ 30 124],[11.48148148 50.51851852] ; [ 28.51851852 125.48148148],0
d2,1,0.581402,0.303974,[26 44] ; [64 92],[27.87610619 42.12389381] ; [62.12389381 93.87610619],0
u3,1,0.600749,0.273868,[13 14] ; [27 37],[11.86813187 15.13186813] ; [28.13186813 35.86813187],0
n1,1,0.600821,0.273759,[12 17] ; [17 31],[10.92207792 18.07792208] ; [18.07792208 29.92207792],0
d4,1,0.605118,0.267345,[47 22] ; [113  45],[48.63436123 20.36563877] ; [111.36563877  46.63436123],0
s4,1,0.654537,0.200228,[ 8 62] ; [ 15 143],[ 7.06140351 62.93859649] ; [ 15.93859649 142.06140351],0
p1,1,0.655183,0.199428,[ 5 64] ; [  9 149],[ 4.25550661 64.74449339] ; [  9.74449339 148.25550661],0
a4,1,0.661006,0.192304,[28 42] ; [58 99],[26.51982379 43.48017621] ; [59.48017621 97.51982379],0
a3,1,0.728867,0.120155,[43 26] ; [94 63],[41.82743363 27.17256637] ; [95.17256637 61.82743363],0
a2,1,0.766482,0.088197,[10 60] ; [ 25 133],[10.74561404 59.25438596] ; [ 24.25438596 133.74561404],0
b5,1,0.802012,0.062872,[42 28] ; [92 66],[41.14035088 28.85964912] ; [92.85964912 65.14035088],0
p5,1,0.879921,0.022822,[ 2 67] ; [  4 153],[ 1.83185841 67.16814159] ; [  4.16814159 152.83185841],0
s2,1,0.934329,0.00679,[11 59] ; [ 24 133],[10.79295154 59.20704846] ; [ 24.20704846 132.79295154],0
b4,1,0.98386,0.000409,[38 32] ; [86 72],[38.07017544 31.92982456] ; [85.92982456 72.07017544],0
