Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000399,12.534936,[346  70] ; [22 15],[337.94260486  78.05739514] ; [30.05739514  6.94260486],1
u1,1,0.333016,0.937135,[ 69 348] ; [ 4 34],[ 66.9032967 350.0967033] ; [ 6.0967033 31.9032967],0
v3,1,0.395801,0.721045,[179 228] ; [14 24],[176.51910112 230.48089888] ; [16.48089888 21.51910112],0
a5,1,0.451439,0.567036,[319  98] ; [27 11],[317.1032967  99.8967033] ; [28.8967033  9.1032967],0
p3,1,0.453683,0.561434,[262 154] ; [21 16],[259.88520971 156.11479029] ; [23.11479029 13.88520971],0
a8,1,0.472853,0.515301,[ 59 319] ; [ 4 32],[ 57.52173913 320.47826087] ; [ 5.47826087 30.52173913],0
a1,1,0.476288,0.507351,[ 22 395] ; [ 1 37],[ 21.07912088 395.92087912] ; [ 1.92087912 36.07912088],0
n2,1,0.487368,0.482333,[49 13] ; [8 1],[49.77464789 12.22535211] ; [7.22535211 1.77464789],0
p1,1,0.493122,0.469707,[ 48 367] ; [ 3 35],[ 46.7218543 368.2781457] ; [ 4.2781457 33.7218543],0
a4,1,0.495222,0.465161,[177 239] ; [14 24],[175.01321586 240.98678414] ; [15.98678414 22.01321586],0
u2,1,0.505934,0.442466,[66 53] ; [10 11],[64.6 54.4] ; [11.4  9.6],0
p12,1,0.525398,0.403284,[ 41 373] ; [ 5 33],[ 42.13274336 371.86725664] ; [ 3.86725664 34.13274336],0
b5,1,0.616872,0.250289,[237 180] ; [20 18],[235.53626374 181.46373626] ; [21.46373626 16.53626374],0
s2,1,0.701752,0.146655,[215 199] ; [18 19],[213.88470067 200.11529933] ; [19.11529933 17.88470067],0
s5,1,0.708788,0.13949,[153 247] ; [13 24],[151.94508009 248.05491991] ; [14.05491991 22.94508009],0
n1,1,0.770629,0.085003,[24 37] ; [4 5],[24.4 36.6] ; [3.6 5.4],0
u3,1,0.780039,0.077991,[63 54] ; [12  9],[63.58695652 53.41304348] ; [11.41304348  9.58695652],0
b1,1,0.82434,0.049269,[157 260] ; [15 23],[157.63516484 259.36483516] ; [14.36483516 23.63516484],0
b2,1,0.844572,0.038435,[ 93 157] ; [ 7 13],[ 92.59259259 157.40740741] ; [ 7.40740741 12.59259259],0
b3,1,0.844572,0.038435,[ 93 157] ; [ 7 13],[ 92.59259259 157.40740741] ; [ 7.40740741 12.59259259],0
p5,1,0.845647,0.037898,[ 71 346] ; [ 6 32],[ 70.56923077 346.43076923] ; [ 6.43076923 31.56923077],0
p6,1,0.851954,0.034829,[199 212] ; [19 19],[199.55011136 211.44988864] ; [18.44988864 19.55011136],0
s4,1,0.86954,0.026976,[ 69 341] ; [ 6 32],[ 68.63839286 341.36160714] ; [ 6.36160714 31.63839286],0
a6,1,0.880146,0.022736,[276 140] ; [25 12],[276.41501104 139.58498896] ; [24.58498896 12.41501104],0
u4,1,0.998146,5e-06,[ 11 406] ; [ 1 37],[ 10.9978022 406.0021978] ; [ 1.0021978 36.9978022],0
