Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,8.8e-05,15.378302,[28  2] ; [13 15],[21.20689655  8.79310345] ; [19.79310345  8.20689655],1
d5,1,0.092858,2.824119,[29  4] ; [22  9],[26.296875  6.703125] ; [24.703125  6.296875],0
r1,1,0.106822,2.600616,[29  4] ; [23  9],[26.4  6.6] ; [25.6  6.4],0
n1,1,0.137564,2.205,[6 2] ; [4 6],[4.44444444 3.55555556] ; [5.55555556 4.44444444],0
s1,1,0.15203,2.051768,[ 1 32] ; [ 4 28],[ 2.53846154 30.46153846] ; [ 2.46153846 29.53846154],0
d2,1,0.15795,1.993745,[25  8] ; [19 13],[22.33846154 10.66153846] ; [21.66153846 10.33846154],0
p4,1,0.164849,1.929171,[24  9] ; [18 14],[21.32307692 11.67692308] ; [20.67692308 11.32307692],0
b4,1,0.173745,1.850328,[20 13] ; [14 18],[17.26153846 15.73846154] ; [16.73846154 15.26153846],0
n2,1,0.179712,1.8,[4 4] ; [8 2],[5.33333333 2.66666667] ; [6.66666667 3.33333333],0
u3,1,0.215508,1.534035,[5 1] ; [7 6],[3.78947368 2.21052632] ; [8.21052632 4.78947368],0
n6,1,0.226476,1.462857,[27  5] ; [23  9],[25.  7.] ; [25.  7.],0
p5,1,0.247102,1.339612,[ 5 28] ; [ 2 30],[ 3.55384615 29.44615385] ; [ 3.44615385 28.55384615],0
n4,1,0.34149,0.90483,[27  6] ; [23  9],[25.38461538  7.61538462] ; [24.61538462  7.38461538],0
u2,1,0.342104,0.902531,[5 1] ; [8 5],[4.10526316 1.89473684] ; [8.89473684 4.10526316],0
a6,1,0.378058,0.777007,[24  9] ; [20 12],[22.33846154 10.66153846] ; [21.66153846 10.33846154],0
s3,1,0.389925,0.739176,[21 12] ; [17 15],[19.29230769 13.70769231] ; [18.70769231 13.29230769],0
p7,1,0.395848,0.720901,[22 10] ; [25  7],[23.5  8.5] ; [23.5  8.5],0
n3,1,0.396144,0.72,[6 2] ; [9 1],[6.66666667 1.33333333] ; [8.33333333 1.66666667],0
p1,1,0.449692,0.571429,[ 5 27] ; [ 3 29],[ 4. 28.] ; [ 4. 28.],0
a7,1,0.47027,0.521342,[26  7] ; [22  9],[24.75  8.25] ; [23.25  7.75],0
n5,1,0.475987,0.508044,[25  8] ; [21 10],[23.71875  9.28125] ; [22.28125  8.71875],0
b1,1,0.530895,0.392678,[16 17] ; [18 14],[17.26153846 15.73846154] ; [16.73846154 15.26153846],0
a1,1,0.536239,0.382555,[ 1 32] ; [ 2 30],[ 1.52307692 31.47692308] ; [ 1.47692308 30.52307692],0
a4,1,0.540194,0.37518,[19 14] ; [16 16],[17.76923077 15.23076923] ; [17.23076923 14.76923077],0
b2,1,0.556732,0.345395,[ 9 10] ; [ 6 10],[ 8.14285714 10.85714286] ; [6.85714286 9.14285714],0
b3,1,0.556732,0.345395,[ 9 10] ; [ 6 10],[ 8.14285714 10.85714286] ; [6.85714286 9.14285714],0
u4,1,0.572798,0.318024,[ 2 31] ; [ 1 31],[ 1.52307692 31.47692308] ; [ 1.47692308 30.52307692],0
r3,1,0.590012,0.290326,[31  2] ; [28  3],[30.421875  2.578125] ; [28.578125  2.421875],0
p2,1,0.709782,0.138494,[27  6] ; [25  7],[26.4  6.6] ; [25.6  6.4],0
s4,1,0.834882,0.043449,[ 9 24] ; [ 8 24],[ 8.63076923 24.36923077] ; [ 8.36923077 23.63076923],0
p3,1,0.875315,0.024621,[20 13] ; [20 12],[20.30769231 12.69230769] ; [19.69230769 12.30769231],0
p8,1,0.896635,0.016877,[16 17] ; [15 17],[15.73846154 17.26153846] ; [15.26153846 16.73846154],0
b5,1,0.93409,0.006839,[23 10] ; [22 10],[22.84615385 10.15384615] ; [22.15384615  9.84615385],0
r2,1,1.0,0.0,[31  1] ; [31  1],[31.  1.] ; [31.  1.],0
