Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,127.10578,[340  38] ; [45 67],[297.  81.] ; [88. 24.],1
r3,1,0.128504,2.310486,[363  14] ; [111   1],[365.43558282  11.56441718] ; [108.56441718   3.43558282],0
a2,1,0.132734,2.260233,[101 278] ; [22 90],[ 94.94297352 284.05702648] ; [28.05702648 83.94297352],0
r1,1,0.141049,2.166481,[318  59] ; [87 24],[312.87909836  64.12090164] ; [92.12090164 18.87909836],0
s4,1,0.141992,2.156241,[ 79 296] ; [31 81],[ 84.70225873 290.29774127] ; [25.29774127 86.70225873],0
d2,1,0.143174,2.143509,[198 179] ; [50 62],[191.19836401 185.80163599] ; [56.80163599 55.19836401],0
s5,1,0.213214,1.549466,[157 205] ; [38 66],[151.4806867 210.5193133] ; [43.5193133 60.4806867],0
u3,1,0.271713,1.208081,[56 36] ; [27 11],[58.73846154 33.26153846] ; [24.26153846 13.73846154],0
n3,1,0.318768,0.993993,[54 22] ; [28  7],[56.14414414 19.85585586] ; [25.85585586  9.14414414],0
s1,1,0.323236,0.975806,[ 15 357] ; [  7 105],[ 16.90909091 355.09090909] ; [  5.09090909 106.90909091],0
n2,1,0.342868,0.899678,[62 13] ; [27  9],[60.13513514 14.86486486] ; [28.86486486  7.13513514],0
b4,1,0.501207,0.452381,[220 159] ; [69 43],[223.07739308 155.92260692] ; [65.92260692 46.07739308],0
p1,1,0.588689,0.292396,[ 37 340] ; [  9 102],[ 35.53688525 341.46311475] ; [ 10.46311475 100.53688525],0
v2,1,0.598131,0.277824,[202 160] ; [55 49],[199.64377682 162.35622318] ; [57.35622318 46.64377682],0
a1,1,0.691481,0.157486,[ 20 359] ; [  7 105],[ 20.84114053 358.15885947] ; [  6.15885947 105.84114053],0
d3,1,0.734948,0.114617,[263 114] ; [80 32],[264.4396728 112.5603272] ; [78.5603272 33.4396728],0
b5,1,0.775553,0.081293,[221 158] ; [67 45],[222.30549898 156.69450102] ; [65.69450102 46.30549898],0
a7,1,0.794212,0.06804,[272 106] ; [82 30],[273.08571429 104.91428571] ; [80.91428571 31.08571429],0
d4,1,0.969426,0.001469,[315  61] ; [94 18],[315.13114754  60.86885246] ; [93.86885246 18.13114754],0
a6,1,0.976192,0.000891,[249 127] ; [74 38],[248.86885246 127.13114754] ; [74.13114754 37.86885246],0
