Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,23.051418,[89 45] ; [ 3 20],[78.52229299 55.47770701] ; [13.47770701  9.52229299],1
d3,1,0.688985,0.160187,[93 41] ; [15  8],[92.17834395 41.82165605] ; [15.82165605  7.17834395],0
a4,1,0.696127,0.152533,[49 85] ; [ 9 13],[49.82051282 84.17948718] ; [ 8.17948718 13.82051282],0
a6,1,0.759761,0.09351,[77 57] ; [14  9],[77.66878981 56.33121019] ; [13.33121019  9.66878981],0
s5,1,0.807748,0.059211,[37 87] ; [ 6 16],[36.52054795 87.47945205] ; [ 6.47945205 15.52054795],0
u1,1,0.837096,0.042275,[ 10 124] ; [ 2 21],[ 10.24203822 123.75796178] ; [ 1.75796178 21.24203822],0
n5,1,0.849787,0.035869,[84 49] ; [15  8],[84.40384615 48.59615385] ; [14.59615385  8.40384615],0
u3,1,0.86253,0.029982,[20 22] ; [4 5],[19.76470588 22.23529412] ; [4.23529412 4.76470588],0
p1,1,0.879501,0.022983,[ 13 121] ; [ 2 21],[ 12.80254777 121.19745223] ; [ 2.19745223 20.80254777],0
a2,1,0.880872,0.022459,[ 16 118] ; [ 3 20],[ 16.21656051 117.78343949] ; [ 2.78343949 20.21656051],0
d2,1,0.92383,0.009141,[59 74] ; [10 12],[59.20645161 73.79354839] ; [ 9.79354839 12.20645161],0
u2,1,0.965365,0.001886,[23 19] ; [5 4],[23.05882353 18.94117647] ; [4.94117647 4.05882353],0
