Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.002201,9.37386,[13  5] ; [22 46],[ 7.3255814 10.6744186] ; [27.6744186 40.3255814],0
s3,1,0.532849,0.388955,[9 9] ; [28 39],[ 7.83529412 10.16470588] ; [29.16470588 37.83529412],0
d2,1,0.576097,0.312586,[ 7 11] ; [31 36],[8.04705882 9.95294118] ; [29.95294118 37.04705882],0
b4,1,0.576446,0.312016,[9 9] ; [39 29],[10.04651163  7.95348837] ; [37.95348837 30.04651163],0
a6,1,0.62104,0.244409,[ 6 12] ; [27 41],[ 6.90697674 11.09302326] ; [26.09302326 41.90697674],0
u2,1,0.651077,0.204545,[6 6] ; [14 19],[5.33333333 6.66666667] ; [14.66666667 18.33333333],0
a4,1,0.670496,0.181023,[ 6 12] ; [26 41],[ 6.77647059 11.22352941] ; [25.22352941 41.77647059],0
a5,1,0.675003,0.175806,[ 8 10] ; [34 34],[8.79069767 9.20930233] ; [33.20930233 34.79069767],0
d3,1,0.688453,0.160765,[ 7 11] ; [23 45],[ 6.27906977 11.72093023] ; [23.72093023 44.27906977],0
d4,1,0.737615,0.112234,[11  7] ; [38 29],[10.37647059  7.62352941] ; [38.62352941 28.37647059],0
r1,1,0.757661,0.095205,[10  8] ; [35 33],[9.41860465 8.58139535] ; [35.58139535 32.41860465],0
s4,1,0.836394,0.042646,[ 3 15] ; [10 58],[ 2.72093023 15.27906977] ; [10.27906977 57.72093023],0
n5,1,0.890324,0.019015,[10  8] ; [36 31],[9.74117647 8.25882353] ; [36.25882353 30.74117647],0
n6,1,0.913692,0.011747,[11  7] ; [40 27],[10.8  7.2] ; [40.2 26.8],0
u3,1,0.976346,0.000879,[5 7] ; [14 20],[4.95652174 7.04347826] ; [14.04347826 19.95652174],0
b5,1,1.0,0.0,[9 9] ; [34 34],[9. 9.] ; [34. 34.],0
