Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.01123,6.428571,[ 4 11] ; [20 10],[8. 7.] ; [16. 14.],0
r1,1,0.659636,0.193966,[6 9] ; [10 20],[5.33333333 9.66666667] ; [10.66666667 19.33333333],0
v1,1,0.663687,0.189076,[ 5 10] ; [12 18],[5.66666667 9.33333333] ; [11.33333333 18.66666667],0
b1,1,0.669501,0.182186,[8 7] ; [18 12],[8.66666667 6.33333333] ; [17.33333333 12.66666667],0
d5,1,0.669501,0.182186,[8 7] ; [18 12],[8.66666667 6.33333333] ; [17.33333333 12.66666667],0
a1,1,0.711086,0.137195,[ 1 14] ; [ 3 27],[ 1.33333333 13.66666667] ; [ 2.66666667 27.33333333],0
p12,1,0.737316,0.1125,[ 2 13] ; [ 3 27],[ 1.66666667 13.33333333] ; [ 3.33333333 26.66666667],0
p10,1,0.771176,0.084586,[13  2] ; [25  5],[12.66666667  2.33333333] ; [25.33333333  4.66666667],0
p11,1,0.782774,0.076014,[12  3] ; [25  5],[12.33333333  2.66666667] ; [24.66666667  5.33333333],0
s5,1,0.799846,0.064286,[ 3 12] ; [ 7 23],[ 3.33333333 11.66666667] ; [ 6.66666667 23.33333333],0
d4,1,0.816099,0.054087,[11  4] ; [21  9],[10.66666667  4.33333333] ; [21.33333333  8.66666667],0
p3,1,0.825709,0.048491,[ 5 10] ; [11 19],[5.33333333 9.66666667] ; [10.66666667 19.33333333],0
s6,1,0.832988,0.044466,[7 8] ; [15 15],[7.33333333 7.66666667] ; [14.66666667 15.33333333],0
b2,1,0.872518,0.025748,[4 7] ; [ 5 10],[3.80769231 7.19230769] ; [5.19230769 9.80769231],0
b3,1,0.872518,0.025748,[4 7] ; [ 5 10],[3.80769231 7.19230769] ; [5.19230769 9.80769231],0
n6,1,0.922934,0.009358,[10  4] ; [21  9],[9.86363636 4.13636364] ; [21.13636364  8.86363636],0
s2,1,1.0,0.0,[ 4 11] ; [ 8 22],[ 4. 11.] ; [ 8. 22.],0
p5,1,1.0,0.0,[ 3 12] ; [ 6 24],[ 3. 12.] ; [ 6. 24.],0
b5,1,1.0,0.0,[9 6] ; [18 12],[9. 6.] ; [18. 12.],0
