Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2e-06,22.23363,[101   8] ; [51 27],[88.59893048 20.40106952] ; [63.40106952 14.59893048],1
a3,1,0.442198,0.590573,[67 42] ; [43 34],[64.46236559 44.53763441] ; [45.53763441 31.46236559],0
b3,1,0.459864,0.546226,[21 50] ; [19 34],[22.90322581 48.09677419] ; [17.09677419 35.90322581],0
b2,1,0.459864,0.546226,[21 50] ; [19 34],[22.90322581 48.09677419] ; [17.09677419 35.90322581],0
d4,1,0.467668,0.527481,[80 28] ; [54 24],[77.80645161 30.19354839] ; [56.19354839 21.80645161],0
u3,1,0.469399,0.523391,[18 25] ; [18 18],[19.59493671 23.40506329] ; [16.40506329 19.59493671],0
p12,1,0.485712,0.486011,[  3 106] ; [ 1 78],[  2.31914894 106.68085106] ; [ 1.68085106 77.31914894],0
n4,1,0.525343,0.403392,[72 37] ; [48 30],[69.94652406 39.05347594] ; [50.05347594 27.94652406],0
u2,1,0.534482,0.385864,[17 24] ; [17 18],[18.34210526 22.65789474] ; [15.65789474 19.34210526],0
n1,1,0.571363,0.320407,[14 25] ; [14 19],[15.16666667 23.83333333] ; [12.83333333 20.16666667],0
a2,1,0.693987,0.154803,[22 88] ; [14 65],[20.95238095 89.04761905] ; [15.04761905 63.95238095],0
d2,1,0.825081,0.048847,[52 57] ; [38 39],[52.74193548 56.25806452] ; [37.25806452 39.74193548],0
p5,1,0.921743,0.009651,[  6 104] ; [ 4 74],[  5.85106383 104.14893617] ; [ 4.14893617 73.85106383],0
a4,1,0.929101,0.007917,[45 65] ; [31 46],[44.70588235 65.29411765] ; [31.29411765 45.70588235],0
a5,1,0.944177,0.004903,[66 44] ; [47 32],[65.76719577 44.23280423] ; [47.23280423 31.76719577],0
