Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,4e-06,21.273102,[42  7] ; [14 23],[31.90697674 17.09302326] ; [24.09302326 12.90697674],1
v1,1,0.557875,0.343397,[14 34] ; [13 24],[15.24705882 32.75294118] ; [11.75294118 25.24705882],0
s4,1,0.572871,0.317903,[ 6 44] ; [ 6 31],[ 6.89655172 43.10344828] ; [ 5.10344828 31.89655172],0
b4,1,0.579168,0.307582,[30 20] ; [20 17],[28.73563218 21.26436782] ; [21.26436782 15.73563218],0
s6,1,0.588011,0.293461,[11 39] ; [10 27],[12.06896552 37.93103448] ; [ 8.93103448 28.06896552],0
p9,1,0.58984,0.290594,[25 22] ; [17 19],[23.78313253 23.21686747] ; [18.21686747 17.78313253],0
s2,1,0.611471,0.258038,[ 5 45] ; [ 5 32],[ 5.74712644 44.25287356] ; [ 4.25287356 32.74712644],0
p5,1,0.619154,0.247058,[ 4 45] ; [ 2 35],[ 3.41860465 45.58139535] ; [ 2.58139535 34.41860465],0
v2,1,0.627877,0.234951,[18 30] ; [12 25],[16.94117647 31.05882353] ; [13.05882353 23.94117647],0
p11,1,0.659845,0.193711,[24 26] ; [16 21],[22.98850575 27.01149425] ; [17.01149425 19.98850575],0
p10,1,0.67923,0.170994,[22 25] ; [19 18],[22.94047619 24.05952381] ; [18.05952381 18.94047619],0
r3,1,0.710747,0.137532,[24 24] ; [17 20],[23.15294118 24.84705882] ; [17.84705882 19.15294118],0
a3,1,0.729896,0.119207,[27 22] ; [19 18],[26.20930233 22.79069767] ; [19.79069767 17.20930233],0
s7,1,0.730024,0.11909,[ 8 39] ; [ 7 28],[ 8.59756098 38.40243902] ; [ 6.40243902 28.59756098],0
r1,1,0.748105,0.103131,[12 38] ; [10 27],[12.64367816 37.35632184] ; [ 9.35632184 27.64367816],0
d5,1,0.761386,0.09221,[30 20] ; [21 16],[29.31034483 20.68965517] ; [21.68965517 15.31034483],0
d4,1,0.779702,0.078236,[29 20] ; [23 14],[29.62790698 19.37209302] ; [22.37209302 14.62790698],0
p12,1,0.851834,0.034886,[ 1 47] ; [ 1 36],[ 1.12941176 46.87058824] ; [ 0.87058824 36.12941176],0
a2,1,0.863493,0.02956,[ 6 44] ; [ 4 33],[ 5.74712644 44.25287356] ; [ 4.25287356 32.74712644],0
p3,1,0.887008,0.02019,[11 37] ; [ 8 29],[10.72941176 37.27058824] ; [ 8.27058824 28.72941176],0
s1,1,0.90622,0.013879,[ 3 47] ; [ 2 35],[ 2.87356322 47.12643678] ; [ 2.12643678 34.87356322],0
u2,1,0.918928,0.01036,[ 7 15] ; [ 6 12],[ 7.15 14.85] ; [ 5.85 12.15],0
p6,1,0.921703,0.009661,[ 8 39] ; [ 6 31],[ 7.83333333 39.16666667] ; [ 6.16666667 30.83333333],0
