Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.200115,[23 20] ; [84 10],[33.58394161  9.41605839] ; [73.41605839 20.58394161],1
d1,1,0.146185,2.111611,[14 29] ; [43 51],[17.89051095 25.10948905] ; [39.10948905 54.89051095],0
p1,1,0.175083,1.838873,[ 1 42] ; [ 8 86],[ 2.82481752 40.17518248] ; [ 6.17518248 87.82481752],0
s5,1,0.197008,1.664417,[ 7 34] ; [25 66],[ 9.93939394 31.06060606] ; [22.06060606 68.93939394],0
d5,1,0.207793,1.586733,[25 18] ; [65 29],[28.24817518 14.75182482] ; [61.75182482 32.24817518],0
d2,1,0.219842,1.505403,[16 26] ; [46 47],[19.28888889 22.71111111] ; [42.71111111 50.28888889],0
a5,1,0.254388,1.299042,[24 19] ; [62 32],[26.99270073 16.00729927] ; [59.00729927 34.99270073],0
d3,1,0.319214,0.992164,[14 29] ; [39 55],[16.6350365 26.3649635] ; [36.3649635 57.6350365],0
p6,1,0.384545,0.756122,[ 9 33] ; [26 65],[11.05263158 30.94736842] ; [23.94736842 67.05263158],0
d4,1,0.462125,0.540742,[27 16] ; [65 29],[28.87591241 14.12408759] ; [63.12408759 30.87591241],0
a4,1,0.502279,0.450118,[14 28] ; [37 57],[15.75 26.25] ; [35.25 58.75],0
a8,1,0.523041,0.407892,[ 2 39] ; [ 7 81],[ 2.86046512 38.13953488] ; [ 6.13953488 81.86046512],0
n4,1,0.550822,0.355846,[28 15] ; [66 28],[29.50364964 13.49635036] ; [64.49635036 29.50364964],0
a6,1,0.554892,0.348625,[16 27] ; [40 54],[17.57664234 25.42335766] ; [38.42335766 55.57664234],0
b5,1,0.555617,0.347349,[22 21] ; [43 51],[20.40145985 22.59854015] ; [44.59854015 49.40145985],0
p12,1,0.562145,0.336004,[ 1 42] ; [ 4 88],[ 1.59259259 41.40740741] ; [ 3.40740741 88.59259259],0
b3,1,0.564692,0.331645,[11 14] ; [22 37],[ 9.82142857 15.17857143] ; [23.17857143 35.82142857],0
b2,1,0.564692,0.331645,[11 14] ; [22 37],[ 9.82142857 15.17857143] ; [23.17857143 35.82142857],0
s6,1,0.57083,0.321295,[15 27] ; [38 55],[16.48888889 25.51111111] ; [36.51111111 56.48888889],0
s4,1,0.575016,0.314361,[ 6 37] ; [10 84],[ 5.02189781 37.97810219] ; [10.97810219 83.02189781],0
u1,1,0.576185,0.312442,[ 1 42] ; [ 4 90],[ 1.56934307 41.43065693] ; [ 3.43065693 90.56934307],0
a2,1,0.6883,0.160931,[ 2 41] ; [ 6 88],[ 2.51094891 40.48905109] ; [ 5.48905109 88.51094891],0
s8,1,0.699442,0.149053,[ 9 33] ; [23 71],[ 9.88235294 32.11764706] ; [22.11764706 71.88235294],0
b4,1,0.825346,0.048697,[22 21] ; [50 44],[22.59854015 20.40145985] ; [49.40145985 44.59854015],0
n1,1,0.841542,0.039969,[ 7 15] ; [10 19],[ 7.33333333 14.66666667] ; [ 9.66666667 19.33333333],0
a3,1,0.874027,0.025137,[25 18] ; [56 38],[25.42335766 17.57664234] ; [55.57664234 38.42335766],0
v3,1,0.96016,0.002495,[12 28] ; [28 64],[12.12121212 27.87878788] ; [27.87878788 64.12121212],0
s7,1,0.973388,0.001113,[10 30] ; [23 68],[10.07633588 29.92366412] ; [22.92366412 68.07633588],0
