Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.017121,5.683925,[ 9 40] ; [10 12],[13.11267606 35.88732394] ; [ 5.88732394 16.11267606],0
p6,1,0.494226,0.467313,[ 8 42] ; [ 5 17],[ 9.02777778 40.97222222] ; [ 3.97222222 18.02777778],0
n4,1,0.498092,0.458999,[29 22] ; [15  8],[30.32432432 20.67567568] ; [13.67567568  9.32432432],0
r2,1,0.499343,0.456332,[37 12] ; [19  4],[38.11111111 10.88888889] ; [17.88888889  5.11111111],0
b1,1,0.525402,0.403275,[27 24] ; [14  9],[28.25675676 22.74324324] ; [12.74324324 10.25675676],0
v4,1,0.525648,0.402797,[35 15] ; [17  5],[36.11111111 13.88888889] ; [15.88888889  6.11111111],0
n5,1,0.572578,0.318388,[28 23] ; [11 12],[26.87837838 24.12162162] ; [12.12162162 10.87837838],0
u2,1,0.582513,0.302189,[14 17] ; [5 4],[14.725 16.275] ; [4.275 4.725],0
n6,1,0.593069,0.285577,[30 21] ; [12 11],[28.94594595 22.05405405] ; [13.05405405  9.94594595],0
p4,1,0.609018,0.261607,[16 34] ; [ 6 17],[15.06849315 34.93150685] ; [ 6.93150685 16.06849315],0
p10,1,0.612939,0.255917,[ 9 42] ; [ 5 17],[ 9.78082192 41.21917808] ; [ 4.21917808 17.78082192],0
d5,1,0.631523,0.230001,[28 23] ; [14  9],[28.94594595 22.05405405] ; [13.05405405  9.94594595],0
p1,1,0.655422,0.199133,[ 3 48] ; [ 2 21],[ 3.44594595 47.55405405] ; [ 1.55405405 21.44594595],0
a1,1,0.787018,0.073,[ 3 48] ; [ 1 22],[ 2.75675676 48.24324324] ; [ 1.24324324 21.75675676],0
u3,1,0.837201,0.04222,[13 19] ; [4 5],[13.26829268 18.73170732] ; [3.73170732 5.26829268],0
d2,1,0.840616,0.040443,[23 27] ; [10 13],[22.60273973 27.39726027] ; [10.39726027 12.60273973],0
a6,1,0.877635,0.023706,[19 32] ; [ 9 14],[19.2972973 31.7027027] ; [ 8.7027027 14.2972973],0
p3,1,0.928993,0.007941,[15 36] ; [ 7 16],[15.16216216 35.83783784] ; [ 6.83783784 16.16216216],0
u1,1,0.931427,0.007404,[ 2 49] ; [ 1 22],[ 2.06756757 48.93243243] ; [ 0.93243243 22.06756757],0
d1,1,0.935705,0.006508,[16 35] ; [ 7 16],[15.85135135 35.14864865] ; [ 7.14864865 15.85135135],0
p8,1,0.956626,0.002958,[13 38] ; [ 6 17],[13.09459459 37.90540541] ; [ 5.90540541 17.09459459],0
b4,1,0.978137,0.000751,[29 22] ; [13 10],[28.94594595 22.05405405] ; [13.05405405  9.94594595],0
b2,1,1.0,0.0,[ 8 24] ; [ 4 12],[ 8. 24.] ; [ 4. 12.],0
b3,1,1.0,0.0,[ 8 24] ; [ 4 12],[ 8. 24.] ; [ 4. 12.],0
