Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6e-06,20.35236,[20 36] ; [104  44],[34.03921569 21.96078431] ; [89.96078431 58.03921569],1
p6,1,0.097904,2.739365,[11 42] ; [48 98],[15.71356784 37.28643216] ; [ 43.28643216 102.71356784],0
p7,1,0.127191,2.326459,[21 33] ; [74 71],[25.77889447 28.22110553] ; [69.22110553 75.77889447],0
b2,1,0.135317,2.23042,[ 5 23] ; [24 49],[ 8.03960396 19.96039604] ; [20.96039604 52.03960396],0
b3,1,0.135317,2.23042,[ 5 23] ; [24 49],[ 8.03960396 19.96039604] ; [20.96039604 52.03960396],0
p9,1,0.152887,2.043203,[30 23] ; [96 46],[34.24615385 18.75384615] ; [91.75384615 50.24615385],0
r2,1,0.202228,1.626212,[51  6] ; [138   8],[53.06896552  3.93103448] ; [135.93103448  10.06896552],0
p5,1,0.208946,1.578711,[ 2 53] ; [ 13 134],[ 4.08415842 50.91584158] ; [ 10.91584158 136.08415842],0
a5,1,0.22808,1.452794,[33 24] ; [99 49],[36.70243902 20.29756098] ; [95.29756098 52.70243902],0
r3,1,0.237995,1.392431,[46 10] ; [130  17],[48.55172414  7.44827586] ; [127.44827586  19.55172414],0
d1,1,0.262362,1.256249,[27 30] ; [83 65],[30.58536585 26.41463415] ; [79.41463415 68.58536585],0
p8,1,0.271625,1.208524,[15 39] ; [53 94],[18.26865672 35.73134328] ; [49.73134328 97.26865672],0
n3,1,0.28661,1.135478,[18  5] ; [35 18],[16.03947368  6.96052632] ; [36.96052632 16.03947368],0
p2,1,0.301619,1.067024,[35 21] ; [103  44],[38.06896552 17.93103448] ; [99.93103448 47.06896552],0
d2,1,0.346536,0.8861,[25 31] ; [77 71],[28. 28.] ; [74. 74.],0
p3,1,0.379562,0.77212,[18 37] ; [58 89],[20.69306931 34.30693069] ; [55.30693069 91.69306931],0
p1,1,0.399829,0.70884,[ 3 54] ; [ 13 135],[ 4.44878049 52.55121951] ; [ 11.55121951 136.44878049],0
b1,1,0.430546,0.621349,[32 25] ; [74 74],[29.47317073 27.52682927] ; [76.52682927 71.47317073],0
d3,1,0.506681,0.440915,[39 16] ; [97 50],[37.02970297 17.97029703] ; [98.97029703 48.02970297],0
s2,1,0.544584,0.367109,[26 31] ; [74 73],[27.94117647 29.05882353] ; [72.05882353 74.94117647],0
v3,1,0.562027,0.336207,[15 35] ; [50 95],[16.66666667 33.33333333] ; [48.33333333 96.66666667],0
v2,1,0.600708,0.27393,[23 30] ; [69 76],[24.62626263 28.37373737] ; [67.37373737 77.62626263],0
r1,1,0.616676,0.250567,[41 16] ; [110  36],[42.39901478 14.60098522] ; [108.60098522  37.39901478],0
v1,1,0.652089,0.203276,[23 34] ; [64 82],[24.42857143 32.57142857] ; [62.57142857 83.42857143],0
s1,1,0.654377,0.200426,[ 4 52] ; [  8 138],[ 3.32673267 52.67326733] ; [  8.67326733 137.32673267],0
a1,1,0.702244,0.146148,[ 2 55] ; [  7 141],[ 2.50243902 54.49756098] ; [  6.49756098 141.50243902],0
a4,1,0.718501,0.129934,[24 33] ; [66 81],[25.14705882 31.85294118] ; [64.85294118 82.14705882],0
b4,1,0.788064,0.072267,[32 25] ; [80 68],[31.14146341 25.85853659] ; [80.85853659 67.14146341],0
a3,1,0.788245,0.072141,[37 20] ; [97 48],[37.81188119 19.18811881] ; [96.18811881 48.81188119],0
a8,1,0.824406,0.049232,[ 5 50] ; [ 13 115],[ 5.40983607 49.59016393] ; [ 12.59016393 115.40983607],0
s4,1,0.829125,0.04658,[12 45] ; [ 33 114],[12.57352941 44.42647059] ; [ 32.42647059 114.57352941],0
a7,1,0.859404,0.031376,[40 17] ; [105  42],[40.51470588 16.48529412] ; [104.48529412  42.51470588],0
a2,1,0.898548,0.016255,[13 44] ; [ 35 113],[13.34634146 43.65365854] ; [ 34.65365854 113.34634146],0
s3,1,0.949681,0.003983,[29 28] ; [75 71],[29.20197044 27.79802956] ; [74.79802956 71.20197044],0
d4,1,0.976133,0.000895,[44 12] ; [116  32],[43.92156863 12.07843137] ; [116.07843137  31.92156863],0
d5,1,0.989138,0.000185,[45 11] ; [118  29],[44.96551724 11.03448276] ; [118.03448276  28.96551724],0
