Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,37.898113,[128  31] ; [38 52],[106.  53.] ; [60. 30.],1
s7,1,0.193833,1.688238,[ 34 119] ; [14 77],[ 30.09836066 122.90163934] ; [17.90163934 73.09836066],0
b4,1,0.203322,1.618352,[106  54] ; [56 40],[101.25  58.75] ; [60.75 35.25],0
b2,1,0.216608,1.526702,[26 50] ; [23 28],[29.32283465 46.67716535] ; [19.67716535 31.32283465],0
b3,1,0.216608,1.526702,[26 50] ; [23 28],[29.32283465 46.67716535] ; [19.67716535 31.32283465],0
s4,1,0.25406,1.300841,[ 22 138] ; [18 76],[ 25.19685039 134.80314961] ; [14.80314961 79.19685039],0
s5,1,0.265169,1.241569,[ 33 123] ; [14 77],[ 29.68421053 126.31578947] ; [17.31578947 73.68421053],0
d1,1,0.271023,1.211561,[78 82] ; [40 56],[73.75 86.25] ; [44.25 51.75],0
u4,1,0.293871,1.101801,[  1 159] ; [ 2 94],[  1.875 158.125] ; [ 1.125 94.875],0
a2,1,0.318005,0.997135,[ 21 139] ; [17 79],[ 23.75 136.25] ; [14.25 81.75],0
u2,1,0.333677,0.934574,[33 34] ; [15 23],[30.62857143 36.37142857] ; [17.37142857 20.62857143],0
a8,1,0.338653,0.915525,[ 15 135] ; [ 6 87],[ 12.96296296 137.03703704] ; [ 8.03703704 84.96296296],0
u3,1,0.394233,0.725844,[34 33] ; [16 22],[31.9047619 35.0952381] ; [18.0952381 19.9047619],0
v3,1,0.427259,0.630264,[ 37 119] ; [26 66],[ 39.62903226 116.37096774] ; [23.37096774 68.62903226],0
n1,1,0.439142,0.598524,[14 29] ; [19 28],[15.76666667 27.23333333] ; [17.23333333 29.76666667],0
u1,1,0.479746,0.49944,[ 14 146] ; [11 85],[ 15.625 144.375] ; [ 9.375 86.625],0
a3,1,0.575057,0.314294,[93 67] ; [58 36],[95.11811024 64.88188976] ; [55.88188976 38.11811024],0
p5,1,0.606892,0.264725,[  9 151] ; [ 4 92],[  8.125 151.875] ; [ 4.875 91.125],0
a4,1,0.73997,0.110153,[63 97] ; [39 55],[64.2519685 95.7480315] ; [37.7480315 56.2519685],0
p12,1,0.883365,0.021522,[  6 152] ; [ 4 92],[  6.22047244 151.77952756] ; [ 3.77952756 92.22047244],0
