Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,28.051948,[35 55] ; [130  50],[55. 35.] ; [110.  70.],1
b1,1,0.023172,5.155582,[45 48] ; [ 62 119],[36.31751825 56.68248175] ; [ 70.68248175 110.31751825],0
v2,1,0.023797,5.109366,[29 57] ; [83 88],[37.47859922 48.52140078] ; [74.52140078 96.47859922],0
s2,1,0.024162,5.08294,[18 74] ; [ 58 120],[25.8962963 66.1037037] ; [ 50.1037037 127.8962963],0
r2,1,0.02745,4.862288,[73 17] ; [163  17],[78.66666667 11.33333333] ; [157.33333333  22.66666667],0
n1,1,0.031461,4.627641,[16 22] ; [12 44],[11.31914894 26.68085106] ; [16.68085106 39.31914894],0
s3,1,0.037573,4.324247,[27 64] ; [ 76 102],[34.84386617 56.15613383] ; [ 68.15613383 109.84386617],0
n3,1,0.05076,3.816164,[21 16] ; [44 14],[25.31578947 11.68421053] ; [39.68421053 18.31578947],0
p1,1,0.087593,2.918055,[ 9 84] ; [  8 173],[ 5.77007299 87.22992701] ; [ 11.22992701 169.77007299],0
b2,1,0.112008,2.525664,[23 32] ; [27 66],[18.58108108 36.41891892] ; [31.41891892 61.58108108],0
b3,1,0.112008,2.525664,[23 32] ; [27 66],[18.58108108 36.41891892] ; [31.41891892 61.58108108],0
a3,1,0.179516,1.801629,[50 42] ; [113  67],[55.13235294 36.86764706] ; [107.86764706  72.13235294],0
d1,1,0.192765,1.696355,[36 57] ; [85 96],[41.06934307 51.93065693] ; [ 79.93065693 101.06934307],0
v3,1,0.219657,1.506613,[18 69] ; [ 49 128],[22.07954545 64.92045455] ; [ 44.92045455 132.07954545],0
b4,1,0.220751,1.499485,[52 41] ; [115  66],[56.68248175 36.31751825] ; [110.31751825  70.68248175],0
n2,1,0.251783,1.313385,[25 14] ; [42 14],[27.50526316 11.49473684] ; [39.49473684 16.50526316],0
d4,1,0.26697,1.23225,[65 28] ; [137  43],[68.81318681 24.18681319] ; [133.18681319  46.81318681],0
s8,1,0.299321,1.077215,[10 82] ; [ 28 153],[12.80586081 79.19413919] ; [ 25.19413919 155.80586081],0
a5,1,0.352849,0.863183,[49 44] ; [106  75],[52.60948905 40.39051095] ; [102.39051095  78.60948905],0
n5,1,0.388084,0.744938,[60 31] ; [109  71],[56.74907749 34.25092251] ; [112.25092251  67.74907749],0
s4,1,0.422924,0.642177,[16 75] ; [ 25 155],[13.76752768 77.23247232] ; [ 27.23247232 152.76752768],0
u2,1,0.429795,0.623377,[19 23] ; [35 31],[21. 21.] ; [33. 33.],0
p12,1,0.498642,0.457826,[ 4 89] ; [  5 176],[ 3.05474453 89.94525547] ; [  5.94525547 175.05474453],0
u1,1,0.526504,0.401135,[ 8 85] ; [ 20 161],[ 9.50364964 83.49635036] ; [ 18.49635036 162.50364964],0
d2,1,0.544727,0.366848,[37 54] ; [ 66 113],[34.71481481 56.28518519] ; [ 68.28518519 110.71481481],0
u3,1,0.557741,0.343631,[20 23] ; [35 32],[21.5 21.5] ; [33.5 33.5],0
a2,1,0.575877,0.312947,[13 80] ; [ 30 151],[14.59489051 78.40510949] ; [ 28.40510949 152.59489051],0
s5,1,0.699106,0.149404,[15 72] ; [ 34 143],[16.14772727 70.85227273] ; [ 32.85227273 144.14772727],0
a8,1,0.750223,0.101344,[ 8 82] ; [ 17 151],[ 8.72093023 81.27906977] ; [ 16.27906977 151.72093023],0
p5,1,0.788566,0.071917,[ 3 90] ; [  7 174],[ 3.39416058 89.60583942] ; [  6.60583942 174.39416058],0
n4,1,0.794806,0.067639,[58 34] ; [117  64],[58.97435897 33.02564103] ; [116.02564103  64.97435897],0
a4,1,0.824722,0.049052,[34 58] ; [ 69 111],[34.83823529 57.16176471] ; [ 68.16176471 111.83823529],0
b5,1,0.930361,0.007637,[56 37] ; [108  73],[55.66423358 37.33576642] ; [108.33576642  72.66423358],0
