Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.371652,[ 32 144] ; [26 23],[ 45.36888889 130.63111111] ; [12.63111111 36.36888889],1
b3,1,0.035371,4.427165,[42 65] ; [25 18],[47.79333333 59.20666667] ; [19.20666667 23.79333333],0
a3,1,0.045244,4.009522,[124  63] ; [42 10],[129.88284519  57.11715481] ; [36.11715481 15.88284519],0
d4,1,0.048859,3.8802,[138  50] ; [45  7],[143.35  44.65] ; [39.65 12.35],0
a6,1,0.05102,3.807602,[139  50] ; [31 21],[133.31950207  55.68049793] ; [36.68049793 15.31950207],0
r4,1,0.055048,3.680635,[144  45] ; [46  6],[149.00414938  39.99585062] ; [40.99585062 11.00414938],0
p2,1,0.057998,3.59372,[134  53] ; [44  8],[139.27196653  47.72803347] ; [38.72803347 13.27196653],0
v4,1,0.059002,3.565204,[158  30] ; [49  3],[162.15  25.85] ; [44.85  7.15],0
p5,1,0.069833,3.286949,[  7 182] ; [ 5 45],[  9.48953975 179.51046025] ; [ 2.51046025 47.48953975],0
u1,1,0.071636,3.245123,[ 19 170] ; [10 42],[ 22.74273859 166.25726141] ; [ 6.25726141 45.74273859],0
r1,1,0.086595,2.936552,[129  59] ; [42 10],[133.95  54.05] ; [37.05 14.95],0
a5,1,0.119318,2.426255,[132  57] ; [42 10],[136.45643154  52.54356846] ; [37.54356846 14.45643154],0
n5,1,0.120847,2.406305,[144  45] ; [44  7],[148.05  40.95] ; [39.95 11.05],0
d3,1,0.152547,2.046594,[114  75] ; [37 15],[118.41908714  70.58091286] ; [32.58091286 19.41908714],0
b5,1,0.158558,1.98792,[108  81] ; [24 28],[103.5186722  85.4813278] ; [28.4813278 23.5186722],0
r3,1,0.231752,1.430077,[161  26] ; [48  4],[163.52719665  23.47280335] ; [45.47280335  6.52719665],0
u4,1,0.326466,0.962864,[  1 188] ; [ 1 51],[  1.56846473 187.43153527] ; [ 0.43153527 51.56846473],0
n3,1,0.367714,0.811375,[32 15] ; [9 2],[33.22413793 13.77586207] ; [7.77586207 3.22413793],0
u3,1,0.373708,0.791296,[23 42] ; [5 5],[24.26666667 40.73333333] ; [3.73333333 6.26666667],0
r2,1,0.387598,0.746464,[166  18] ; [48  3],[167.55744681  16.44255319] ; [46.44255319  4.55744681],0
n1,1,0.394622,0.724652,[19 28] ; [6 5],[20.25862069 26.74137931] ; [4.74137931 6.25862069],0
a4,1,0.429534,0.624082,[ 86 102] ; [27 25],[88.51666667 99.48333333] ; [24.48333333 27.51666667],0
b1,1,0.452354,0.564746,[ 80 109] ; [19 33],[ 77.63900415 111.36099585] ; [21.36099585 30.63900415],0
s1,1,0.452884,0.563424,[  4 184] ; [ 2 48],[  4.7394958 183.2605042] ; [ 1.2605042 48.7394958],0
p1,1,0.467451,0.527995,[ 21 167] ; [ 4 48],[ 19.58333333 168.41666667] ; [ 5.41666667 46.58333333],0
n2,1,0.493563,0.46875,[31 17] ; [9 3],[32. 16.] ; [8. 4.],0
u2,1,0.512375,0.429214,[25 39] ; [5 5],[25.94594595 38.05405405] ; [4.05405405 5.94594595],0
a7,1,0.525036,0.40399,[125  63] ; [37 15],[126.9  61.1] ; [35.1 16.9],0
a8,1,0.555588,0.347401,[ 20 151] ; [ 7 40],[ 21.17889908 149.82110092] ; [ 5.82110092 41.17889908],0
d5,1,0.579038,0.307793,[142  47] ; [41 11],[143.51452282  45.48547718] ; [39.48547718 12.51452282],0
b4,1,0.601072,0.273382,[105  84] ; [31 21],[106.65560166  82.34439834] ; [29.34439834 22.65560166],0
a2,1,0.639853,0.218935,[ 38 151] ; [12 40],[ 39.21161826 149.78838174] ; [10.78838174 41.21161826],0
s4,1,0.839127,0.041213,[ 13 176] ; [ 4 48],[ 13.33195021 175.66804979] ; [ 3.66804979 48.33195021],0
a1,1,0.892464,0.018276,[ 10 179] ; [ 3 49],[ 10.19502075 178.80497925] ; [ 2.80497925 49.19502075],0
