Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,25.093815,[ 56 231] ; [21 16],[ 68.20679012 218.79320988] ; [ 8.79320988 28.20679012],1
n6,1,0.529558,0.395239,[243  49] ; [34  5],[244.36253776  47.63746224] ; [32.63746224  6.36253776],0
d1,1,0.540336,0.374917,[158 135] ; [19 20],[156.20783133 136.79216867] ; [20.79216867 18.20783133],0
n1,1,0.564422,0.332105,[23 48] ; [1 4],[22.42105263 48.57894737] ; [1.57894737 3.42105263],0
v4,1,0.573006,0.317679,[277  16] ; [36  3],[276.23192771  16.76807229] ; [36.76807229  2.23192771],0
r3,1,0.576842,0.311368,[276  16] ; [36  3],[275.23867069  16.76132931] ; [36.76132931  2.23867069],0
d4,1,0.642381,0.215642,[231  62] ; [32  7],[232.10542169  60.89457831] ; [30.89457831  8.10542169],0
a7,1,0.658853,0.19492,[212  80] ; [27 12],[210.83987915  81.16012085] ; [28.16012085 10.83987915],0
a6,1,0.685406,0.164104,[201  92] ; [28 11],[202.09939759  90.90060241] ; [26.90060241 12.09939759],0
a4,1,0.709381,0.138896,[129 163] ; [16 23],[127.91540785 164.08459215] ; [17.08459215 21.91540785],0
n2,1,0.709907,0.13837,[49 23] ; [3 2],[48.62337662 23.37662338] ; [3.37662338 1.62337662],0
a2,1,0.711612,0.136672,[ 60 233] ; [ 7 32],[ 59.12951807 233.87048193] ; [ 7.87048193 31.12951807],0
s2,1,0.786718,0.073211,[ 42 249] ; [ 5 34],[ 41.44545455 249.55454545] ; [ 5.55454545 33.44545455],0
d2,1,0.797997,0.065505,[121 171] ; [17 22],[121.74018127 170.25981873] ; [16.25981873 22.74018127],0
r4,1,0.924163,0.009061,[257  36] ; [34  5],[256.81626506  36.18373494] ; [34.18373494  4.81626506],0
