Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,77.375476,[ 76 109] ; [357 106],[123.61882716  61.38117284] ; [309.38117284 153.61882716],1
p4,1,0.018461,5.551874,[96 87] ; [289 173],[109.23255814  73.76744186] ; [275.76744186 186.23255814],0
b1,1,0.026835,4.901385,[ 81 104] ; [160 304],[ 68.69799692 116.30200308] ; [172.30200308 291.69799692],0
p8,1,0.040006,4.217644,[84 98] ; [252 205],[95.69953052 86.30046948] ; [240.30046948 216.69953052],0
p9,1,0.043112,4.091004,[146  36] ; [394  61],[154.28571429  27.71428571] ; [385.71428571  69.28571429],0
s6,1,0.053793,3.719124,[104  76] ; [302 156],[114.54545455  65.45454545] ; [291.45454545 166.54545455],0
n2,1,0.061245,3.503347,[31 18] ; [74 21],[35.72916667 13.27083333] ; [69.27083333 25.72916667],0
n3,1,0.101001,2.689669,[29 18] ; [72 24],[33.1958042 13.8041958] ; [67.8041958 28.1958042],0
b3,1,0.106497,2.605454,[59 65] ; [110 172],[51.61576355 72.38423645] ; [117.38423645 164.61576355],0
b2,1,0.106497,2.605454,[59 65] ; [110 172],[51.61576355 72.38423645] ; [117.38423645 164.61576355],0
a5,1,0.125639,2.345581,[127  58] ; [346 118],[134.83050847  50.16949153] ; [338.16949153 125.83050847],0
v1,1,0.139639,2.181937,[89 90] ; [253 197],[97.32591415 81.67408585] ; [244.67408585 205.32591415],0
p12,1,0.15685,2.004332,[ 11 171] ; [ 44 419],[ 15.51937984 166.48062016] ; [ 39.48062016 423.51937984],0
p1,1,0.165856,1.920007,[ 12 172] ; [ 46 415],[ 16.54573643 167.45426357] ; [ 41.45426357 419.54573643],0
s2,1,0.177352,1.819674,[ 78 106] ; [222 238],[85.71428571 98.28571429] ; [214.28571429 245.71428571],0
p3,1,0.195519,1.675533,[85 99] ; [240 223],[92.42658423 91.57341577] ; [232.57341577 230.42658423],0
p11,1,0.211168,1.563398,[144  41] ; [381  83],[149.65331279  35.34668721] ; [375.34668721  88.65331279],0
n5,1,0.237351,1.396256,[153  32] ; [363  99],[147.54250386  37.45749614] ; [368.45749614  93.54250386],0
s3,1,0.275104,1.191117,[89 94] ; [243 212],[95.22884013 87.77115987] ; [236.77115987 218.22884013],0
p7,1,0.289153,1.123563,[109  73] ; [291 161],[114.82649842  67.17350158] ; [285.17350158 166.82649842],0
b4,1,0.322202,0.979988,[103  82] ; [278 186],[108.605547  76.394453] ; [272.394453 191.605547],0
a8,1,0.346794,0.885154,[ 24 150] ; [ 70 344],[ 27.81632653 146.18367347] ; [ 66.18367347 347.81632653],0
p6,1,0.353141,0.862137,[ 62 120] ; [174 284],[ 67.1125 114.8875] ; [168.8875 289.1125],0
s1,1,0.537424,0.380335,[  4 180] ; [ 14 443],[  5.16692668 178.83307332] ; [ 12.83307332 444.16692668],0
a3,1,0.5715,0.320178,[128  56] ; [331 130],[130.93953488  53.06046512] ; [328.06046512 132.93953488],0
s5,1,0.604417,0.268385,[ 58 120] ; [138 315],[ 55.29001585 122.70998415] ; [140.70998415 312.29001585],0
s7,1,0.626212,0.237232,[84 95] ; [215 223],[86.7439222 92.2560778] ; [212.2560778 225.7439222],0
s8,1,0.651563,0.203935,[ 84 100] ; [201 259],[ 81.42857143 102.57142857] ; [203.57142857 256.42857143],0
n1,1,0.66782,0.184163,[18 31] ; [38 56],[19.18881119 29.81118881] ; [36.81118881 57.18881119],0
d2,1,0.679336,0.170874,[88 95] ; [231 232],[90.36687307 92.63312693] ; [228.63312693 234.36687307],0
p5,1,0.776765,0.080394,[ 25 158] ; [ 59 401],[ 23.9066874 159.0933126] ; [ 60.0933126 399.9066874],0
v3,1,0.829149,0.046567,[ 76 106] ; [190 255],[ 77.21212121 104.78787879] ; [188.78787879 256.21212121],0
n4,1,0.841267,0.040109,[151  34] ; [381  82],[151.88271605  33.11728395] ; [380.11728395  82.88271605],0
a4,1,0.86122,0.030562,[ 81 102] ; [208 254],[ 81.99534884 101.00465116] ; [207.00465116 254.99534884],0
u4,1,0.933146,0.007037,[  5 180] ; [ 12 452],[  4.8459168 180.1540832] ; [ 12.1540832 451.8459168],0
a1,1,0.946908,0.004434,[  9 176] ; [ 22 442],[  8.8366718 176.1633282] ; [ 22.1633282 441.8366718],0
