Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.956737,[6 3] ; [ 1 36],[1.36956522 7.63043478] ; [ 5.63043478 31.36956522],1
n5,1,0.253943,1.301478,[8 1] ; [26 11],[6.65217391 2.34782609] ; [27.34782609  9.65217391],0
p12,1,0.267274,1.230685,[1 8] ; [ 1 36],[0.39130435 8.60869565] ; [ 1.60869565 35.39130435],0
b5,1,0.332961,0.937347,[5 4] ; [14 23],[3.7173913 5.2826087] ; [15.2826087 21.7173913],0
r4,1,0.361946,0.831131,[2 7] ; [ 4 33],[1.17391304 7.82608696] ; [ 4.82608696 32.17391304],0
a2,1,0.361946,0.831131,[2 7] ; [ 4 33],[1.17391304 7.82608696] ; [ 4.82608696 32.17391304],0
n1,1,0.395416,0.722222,[5 3] ; [ 8 10],[4. 4.] ; [9. 9.],0
a6,1,0.415107,0.664126,[5 4] ; [15 22],[3.91304348 5.08695652] ; [16.08695652 20.91304348],0
b2,1,0.415439,0.663182,[2 5] ; [11 13],[2.93548387 4.06451613] ; [10.06451613 13.93548387],0
b3,1,0.415439,0.663182,[2 5] ; [11 13],[2.93548387 4.06451613] ; [10.06451613 13.93548387],0
d4,1,0.493629,0.468607,[6 3] ; [20 17],[5.08695652 3.91304348] ; [20.91304348 16.08695652],0
d1,1,0.497409,0.46046,[4 5] ; [12 25],[3.13043478 5.86956522] ; [12.86956522 24.13043478],0
b4,1,0.506012,0.442305,[4 5] ; [21 16],[4.89130435 4.10869565] ; [20.10869565 16.89130435],0
v2,1,0.537261,0.380639,[2 7] ; [ 5 31],[1.4 7.6] ; [ 5.6 30.4],0
p7,1,0.537471,0.380247,[1 8] ; [ 7 28],[1.63636364 7.36363636] ; [ 6.36363636 28.63636364],0
v1,1,0.580941,0.304716,[3 6] ; [ 9 28],[2.34782609 6.65217391] ; [ 9.65217391 27.34782609],0
u2,1,0.61209,0.257143,[1 2] ; [ 3 12],[0.66666667 2.33333333] ; [ 3.33333333 11.66666667],0
n3,1,0.67844,0.171887,[4 4] ; [ 7 10],[3.52 4.48] ; [7.48 9.52],0
a4,1,0.714112,0.134205,[3 6] ; [14 21],[3.47727273 5.52272727] ; [13.52272727 21.47727273],0
v3,1,0.768448,0.086675,[2 7] ; [10 27],[2.34782609 6.65217391] ; [ 9.65217391 27.34782609],0
s1,1,0.774304,0.082225,[1 8] ; [ 3 34],[0.7826087 8.2173913] ; [ 3.2173913 33.7826087],0
u3,1,0.813945,0.055385,[1 2] ; [ 4 11],[0.83333333 2.16666667] ; [ 4.16666667 10.83333333],0
d5,1,0.820853,0.051279,[5 4] ; [19 18],[4.69565217 4.30434783] ; [19.30434783 17.69565217],0
a5,1,0.820853,0.051279,[4 5] ; [18 19],[4.30434783 4.69565217] ; [17.69565217 19.30434783],0
a3,1,0.832192,0.044898,[6 3] ; [22 13],[5.72727273 3.27272727] ; [22.27272727 12.72727273],0
p3,1,0.852179,0.034722,[2 7] ; [ 7 29],[1.8 7.2] ; [ 7.2 28.8],0
r2,1,0.863361,0.029617,[5 3] ; [23 12],[5.20930233 2.79069767] ; [22.79069767 12.20930233],0
d2,1,0.880048,0.022773,[4 5] ; [15 21],[3.8 5.2] ; [15.2 20.8],0
b1,1,0.918927,0.01036,[6 3] ; [24 13],[5.86956522 3.13043478] ; [24.13043478 12.86956522],0
n4,1,0.958762,0.002674,[6 3] ; [25 12],[6.06521739 2.93478261] ; [24.93478261 12.06521739],0
