Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.001822,9.720621,[133   9] ; [39 11],[127.20833333  14.79166667] ; [44.79166667  5.20833333],0
d1,1,0.164652,1.930972,[95 49] ; [39 12],[98.95384615 45.04615385] ; [35.04615385 15.95384615],0
s7,1,0.17082,1.87573,[107  33] ; [42  7],[110.37037037  29.62962963] ; [38.62962963 10.37037037],0
r3,1,0.189713,1.719849,[139   5] ; [46  4],[137.31958763   6.68041237] ; [47.68041237  2.31958763],0
b5,1,0.195194,1.677973,[84 60] ; [35 16],[87.87692308 56.12307692] ; [31.12307692 19.87692308],0
a6,1,0.20395,1.613859,[89 53] ; [37 14],[92.70466321 49.29533679] ; [33.29533679 17.70466321],0
n1,1,0.235461,1.407568,[15 11] ; [4 7],[13.35135135 12.64864865] ; [5.64864865 5.35135135],0
u4,1,0.293065,1.105489,[  8 136] ; [ 1 50],[  6.64615385 137.35384615] ; [ 2.35384615 48.64615385],0
d4,1,0.295145,1.096001,[123  19] ; [47  4],[125.07772021  16.92227979] ; [44.92227979  6.07772021],0
r2,1,0.297091,1.087205,[139   4] ; [47  3],[137.8134715   5.1865285] ; [48.1865285  1.8134715],0
a5,1,0.305657,1.049351,[117  27] ; [38 13],[114.46153846  29.53846154] ; [40.53846154 10.46153846],0
u3,1,0.391985,0.732777,[18 10] ; [13  4],[19.28888889  8.71111111] ; [11.71111111  5.28888889],0
n3,1,0.392416,0.731442,[18  8] ; [6 5],[16.86486486  9.13513514] ; [7.13513514 3.86486486],0
n2,1,0.398729,0.712155,[22  4] ; [8 3],[21.08108108  4.91891892] ; [8.91891892 2.08108108],0
p4,1,0.413543,0.668593,[113  30] ; [43  8],[114.98969072  28.01030928] ; [41.01030928  9.98969072],0
p3,1,0.42135,0.646546,[95 48] ; [37 14],[97.29896907 45.70103093] ; [34.70103093 16.29896907],0
v4,1,0.466812,0.529512,[138   6] ; [50  1],[138.83076923   5.16923077] ; [49.16923077  1.83076923],0
s8,1,0.470509,0.520779,[103  40] ; [34 17],[100.98453608  42.01546392] ; [36.01546392 14.98453608],0
p12,1,0.5469,0.3629,[ 25 119] ; [ 7 44],[ 23.63076923 120.36923077] ; [ 8.36923077 42.63076923],0
s1,1,0.559102,0.341262,[  8 136] ; [ 4 47],[  8.86153846 135.13846154] ; [ 3.13846154 47.86153846],0
d2,1,0.607272,0.264166,[81 62] ; [31 20],[82.55670103 60.44329897] ; [29.44329897 21.55670103],0
a4,1,0.67614,0.174504,[77 67] ; [29 22],[78.27692308 65.72307692] ; [27.72307692 23.27692308],0
p7,1,0.699465,0.14903,[118  23] ; [43  7],[118.85340314  22.14659686] ; [42.14659686  7.85340314],0
u1,1,0.730491,0.118661,[ 36 108] ; [14 37],[ 36.92307692 107.07692308] ; [13.07692308 37.92307692],0
b4,1,0.739517,0.110552,[78 66] ; [29 22],[79.01538462 64.98461538] ; [27.98461538 23.01538462],0
s3,1,0.775419,0.081392,[121  22] ; [44  7],[121.62371134  21.37628866] ; [43.37628866  7.62371134],0
s6,1,0.779549,0.078348,[127  15] ; [44  6],[126.46875  15.53125] ; [44.53125  5.46875],0
u2,1,0.827886,0.047269,[19  9] ; [11  6],[18.66666667  9.33333333] ; [11.33333333  5.66666667],0
p9,1,0.830824,0.045644,[134  10] ; [47  4],[133.66153846  10.33846154] ; [47.33846154  3.66153846],0
a7,1,0.86139,0.030487,[104  39] ; [37 13],[104.47150259  38.52849741] ; [36.52849741 13.47150259],0
b1,1,0.86767,0.027762,[63 81] ; [23 28],[63.50769231 80.49230769] ; [22.49230769 28.50769231],0
d5,1,0.883065,0.021634,[118  24] ; [42  8],[118.33333333  23.66666667] ; [41.66666667  8.33333333],0
p2,1,0.890751,0.018866,[126  18] ; [45  6],[126.27692308  17.72307692] ; [44.72307692  6.27692308],0
p10,1,0.899113,0.016074,[128  16] ; [45  6],[127.75384615  16.24615385] ; [45.24615385  5.75384615],0
p1,1,0.963192,0.00213,[ 20 123] ; [ 7 44],[ 19.90206186 123.09793814] ; [ 7.09793814 43.90206186],0
a2,1,0.973618,0.001094,[ 42 102] ; [15 36],[ 42.09230769 101.90769231] ; [14.90769231 36.09230769],0
p11,1,0.995134,3.7e-05,[113  31] ; [40 11],[112.98461538  31.01538462] ; [40.01538462 10.98461538],0
