Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-05,19.51608,[17 30] ; [111  44],[29.78217822 17.21782178] ; [98.21782178 56.78217822],1
p11,1,0.379569,0.772096,[27 20] ; [100  55],[29.54950495 17.45049505] ; [97.45049505 57.54950495],0
p5,1,0.381975,0.764337,[ 1 45] ; [  8 145],[ 2.08040201 43.91959799] ; [  6.91959799 146.08040201],0
d1,1,0.393837,0.727062,[29 18] ; [106  49],[31.41089109 15.58910891] ; [103.58910891  51.41089109],0
r3,1,0.39482,0.724047,[43  4] ; [147   8],[44.20792079  2.79207921] ; [145.79207921   9.20792079],0
r2,1,0.435844,0.6072,[41  5] ; [140  11],[42.26395939  3.73604061] ; [138.73604061  12.26395939],0
u3,1,0.482589,0.493006,[11  7] ; [33 14],[12.18461538  5.81538462] ; [31.81538462 15.18461538],0
p3,1,0.51382,0.42628,[20 27] ; [57 96],[18.095 28.905] ; [58.905 94.095],0
d4,1,0.530976,0.392524,[42  5] ; [143  12],[43.04455446  3.95544554] ; [141.95544554  13.04455446],0
n2,1,0.537192,0.380769,[12  6] ; [28 20],[10.90909091  7.09090909] ; [29.09090909 18.90909091],0
p12,1,0.572641,0.318284,[ 1 45] ; [  6 147],[ 1.61809045 44.38190955] ; [  5.38190955 147.61809045],0
s7,1,0.576769,0.311488,[18 25] ; [55 93],[16.43455497 26.56544503] ; [56.56544503 91.43455497],0
p1,1,0.659221,0.194471,[ 4 43] ; [ 10 141],[ 3.32323232 43.67676768] ; [ 10.67676768 140.32323232],0
b4,1,0.664482,0.188125,[29 18] ; [101  54],[30.24752475 16.75247525] ; [99.75247525 55.24752475],0
r4,1,0.70632,0.141981,[38  9] ; [129  26],[38.85643564  8.14356436] ; [128.14356436  26.85643564],0
p4,1,0.732112,0.117181,[19 27] ; [68 86],[20.01 25.99] ; [66.99 87.01],0
p8,1,0.744289,0.106393,[18 28] ; [64 89],[18.95477387 27.04522613] ; [63.04522613 89.95477387],0
u2,1,0.768587,0.086567,[10  8] ; [28 19],[10.52307692  7.47692308] ; [27.47692308 19.52307692],0
s6,1,0.789602,0.071197,[25 20] ; [89 65],[25.77889447 19.22110553] ; [88.22110553 65.77889447],0
v2,1,0.800927,0.063579,[25 21] ; [83 64],[25.74093264 20.25906736] ; [82.25906736 64.74093264],0
p7,1,0.805419,0.060683,[24 23] ; [74 77],[23.26262626 23.73737374] ; [74.73737374 76.26262626],0
v1,1,0.80983,0.05791,[18 29] ; [60 89],[18.70408163 28.29591837] ; [59.29591837 89.70408163],0
a5,1,0.835753,0.042985,[32 15] ; [108  47],[32.57425743 14.42574257] ; [107.42574257  47.57425743],0
b2,1,0.840894,0.040301,[ 9 19] ; [25 58],[ 8.57657658 19.42342342] ; [25.42342342 57.57657658],0
b3,1,0.840894,0.040301,[ 9 19] ; [25 58],[ 8.57657658 19.42342342] ; [25.42342342 57.57657658],0
s2,1,0.940103,0.005646,[20 27] ; [65 90],[19.77722772 27.22277228] ; [65.22277228 89.77722772],0
s8,1,0.970203,0.001395,[15 31] ; [ 51 104],[15.10447761 30.89552239] ; [ 50.89552239 104.10447761],0
s3,1,0.975341,0.000955,[21 24] ; [71 82],[20.90909091 24.09090909] ; [71.09090909 81.90909091],0
