Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.8e-05,17.558999,[61 20] ; [ 6 16],[52.68932039 28.31067961] ; [14.31067961  7.68932039],1
a1,1,0.634738,0.225691,[ 2 79] ; [ 1 22],[ 2.33653846 78.66346154] ; [ 0.66346154 22.33653846],0
s1,1,0.692787,0.156085,[ 5 74] ; [ 2 21],[ 5.42156863 73.57843137] ; [ 1.57843137 21.42156863],0
p7,1,0.694036,0.15475,[46 35] ; [12 11],[45.17307692 35.82692308] ; [12.82692308 10.17307692],0
n3,1,0.725359,0.123416,[14  8] ; [7 3],[14.4375  7.5625] ; [6.5625 3.4375],0
p8,1,0.769864,0.085587,[34 47] ; [10 12],[34.60194175 46.39805825] ; [ 9.39805825 12.60194175],0
a4,1,0.773665,0.082704,[36 45] ; [11 12],[36.60576923 44.39423077] ; [10.39423077 12.60576923],0
a2,1,0.794471,0.067865,[19 62] ; [ 6 17],[19.47115385 61.52884615] ; [ 5.52884615 17.47115385],0
d2,1,0.813222,0.055824,[40 41] ; [12 11],[40.5 40.5] ; [11.5 11.5],0
s4,1,0.840664,0.040419,[19 61] ; [ 5 18],[18.6407767 61.3592233] ; [ 5.3592233 17.6407767],0
r3,1,0.852288,0.03467,[72  8] ; [21  2],[72.23300971  7.76699029] ; [20.76699029  2.23300971],0
s6,1,0.869929,0.026814,[59 18] ; [18  5],[59.29 17.71] ; [17.71  5.29],0
a6,1,0.93438,0.006779,[45 36] ; [13 10],[45.17307692 35.82692308] ; [12.82692308 10.17307692],0
b2,1,0.981726,0.000525,[10 32] ; [ 4 13],[ 9.96610169 32.03389831] ; [ 4.03389831 12.96610169],0
b3,1,0.981726,0.000525,[10 32] ; [ 4 13],[ 9.96610169 32.03389831] ; [ 4.03389831 12.96610169],0
d4,1,0.987597,0.000242,[60 21] ; [17  6],[59.97115385 21.02884615] ; [17.02884615  5.97115385],0
