Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,27.697964,[136 105] ; [84 13],[156.86390533  84.13609467] ; [63.13609467 33.86390533],1
b5,1,0.407074,0.687331,[148  94] ; [64 33],[151.33923304  90.66076696] ; [60.66076696 36.33923304],0
p2,1,0.424444,0.637979,[171  70] ; [73 24],[173.97633136  67.02366864] ; [70.02366864 26.97633136],0
u3,1,0.452183,0.565173,[49 29] ; [13  5],[50.375 27.625] ; [11.625  6.375],0
r3,1,0.562999,0.334538,[228  14] ; [91  4],[229.07418398  12.92581602] ; [89.92581602  5.07418398],0
d3,1,0.607099,0.264421,[162  79] ; [68 29],[163.99408284  77.00591716] ; [66.00591716 30.99408284],0
n3,1,0.609673,0.260652,[56 22] ; [20  6],[57. 21.] ; [19.  7.],0
v4,1,0.632883,0.228171,[224  16] ; [90  5],[224.95522388  15.04477612] ; [89.04477612  5.95522388],0
a8,1,0.649441,0.206605,[ 28 194] ; [ 9 75],[ 26.84313725 195.15686275] ; [10.15686275 73.84313725],0
r4,1,0.716751,0.131627,[219  23] ; [89  8],[219.87020649  22.12979351] ; [88.12979351  8.87020649],0
a6,1,0.738942,0.111059,[167  74] ; [69 28],[168.27218935  72.72781065] ; [67.72781065 29.27218935],0
v3,1,0.786515,0.073354,[ 84 143] ; [34 62],[ 82.92879257 144.07120743] ; [35.07120743 60.92879257],0
b2,1,0.821942,0.050647,[53 94] ; [23 38],[53.71153846 93.28846154] ; [22.28846154 38.71153846],0
b3,1,0.821942,0.050647,[53 94] ; [23 38],[53.71153846 93.28846154] ; [22.28846154 38.71153846],0
a1,1,0.864494,0.029124,[ 11 231] ; [ 4 93],[ 10.7079646 231.2920354] ; [ 4.2920354 92.7079646],0
u2,1,0.871583,0.02613,[45 32] ; [9 7],[44.70967742 32.29032258] ; [9.29032258 6.70967742],0
b1,1,0.876803,0.024032,[ 92 150] ; [36 61],[ 91.37463127 150.62536873] ; [36.62536873 60.37463127],0
s1,1,0.94871,0.004138,[ 13 226] ; [ 5 90],[ 12.88023952 226.11976048] ; [ 5.11976048 89.88023952],0
b4,1,0.982525,0.00048,[150  92] ; [60 37],[149.91150442  92.08849558] ; [60.08849558 36.91150442],0
