Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.8e-05,17.533982,[126  35] ; [22 25],[114.55769231  46.44230769] ; [33.44230769 13.55769231],1
u3,1,0.056093,3.649299,[31 32] ; [16  6],[34.83529412 28.16470588] ; [12.16470588  9.83529412],0
v4,1,0.056094,3.649249,[152   8] ; [40  6],[149.12621359  10.87378641] ; [42.87378641  3.12621359],0
b1,1,0.066638,3.36395,[ 60 101] ; [25 23],[65.4784689 95.5215311] ; [19.5215311 28.4784689],0
p4,1,0.068192,3.326021,[86 75] ; [18 29],[80.5 80.5] ; [23.5 23.5],0
d5,1,0.070277,3.276528,[91 70] ; [20 28],[85.50717703 75.49282297] ; [25.49282297 22.50717703],0
p6,1,0.086047,2.946818,[ 52 107] ; [ 9 37],[ 47.31219512 111.68780488] ; [13.68780488 32.31219512],0
a7,1,0.087319,2.923113,[102  58] ; [24 24],[96.92307692 63.07692308] ; [29.07692308 18.92307692],0
n3,1,0.116252,2.46711,[27  5] ; [11  6],[24.81632653  7.18367347] ; [13.18367347  3.81632653],0
p3,1,0.120916,2.405411,[74 87] ; [16 32],[69.33014354 91.66985646] ; [20.66985646 27.33014354],0
s2,1,0.124856,2.355324,[116  45] ; [29 19],[111.69856459  49.30143541] ; [33.30143541 14.69856459],0
d4,1,0.130092,2.291407,[91 70] ; [33 15],[95.5215311 65.4784689] ; [28.4784689 19.5215311],0
p8,1,0.136745,2.214205,[79 81] ; [17 29],[74.5631068 85.4368932] ; [21.4368932 24.5631068],0
p7,1,0.144019,2.134479,[111  46] ; [26 18],[107.00995025  49.99004975] ; [29.99004975 14.00995025],0
v3,1,0.15718,2.001152,[ 56 104] ; [11 35],[ 52.03883495 107.96116505] ; [14.96116505 31.03883495],0
v1,1,0.249468,1.326281,[80 77] ; [19 27],[76.56650246 80.43349754] ; [22.43349754 23.56650246],0
a3,1,0.291899,1.11084,[97 63] ; [25 23],[93.84615385 66.15384615] ; [28.15384615 19.84615385],0
n1,1,0.32683,0.961416,[14 18] ; [ 5 12],[12.40816327 19.59183673] ; [ 6.59183673 10.40816327],0
a6,1,0.375238,0.786245,[89 72] ; [30 18],[91.66985646 69.33014354] ; [27.33014354 20.66985646],0
b4,1,0.382122,0.763865,[92 69] ; [24 24],[89.35885167 71.64114833] ; [26.64114833 21.35885167],0
d3,1,0.406678,0.688491,[63 98] ; [22 26],[65.4784689 95.5215311] ; [19.5215311 28.4784689],0
b5,1,0.435051,0.609301,[87 74] ; [29 19],[89.35885167 71.64114833] ; [26.64114833 21.35885167],0
a4,1,0.467548,0.527765,[ 38 122] ; [ 9 39],[ 36.15384615 123.84615385] ; [10.84615385 37.15384615],0
d2,1,0.476404,0.507085,[ 27 134] ; [ 6 42],[ 25.42105263 135.57894737] ; [ 7.57894737 40.42105263],0
r1,1,0.511041,0.431935,[117  42] ; [33 15],[115.2173913  43.7826087] ; [34.7826087 13.2173913],0
u1,1,0.57861,0.308487,[  6 155] ; [ 1 47],[  5.3923445 155.6076555] ; [ 1.6076555 46.3923445],0
p12,1,0.712847,0.13545,[  9 151] ; [ 2 45],[  8.50241546 151.49758454] ; [ 2.49758454 44.50241546],0
s1,1,0.724482,0.124239,[  8 150] ; [ 3 44],[  8.47804878 149.52195122] ; [ 2.52195122 44.47804878],0
s4,1,0.805715,0.060495,[ 34 126] ; [11 37],[ 34.61538462 125.38461538] ; [10.38461538 37.61538462],0
a8,1,0.842604,0.039428,[ 25 127] ; [ 7 39],[ 24.56565657 127.43434343] ; [ 7.43434343 38.56565657],0
n2,1,0.844283,0.03858,[29  3] ; [16  2],[28.8  3.2] ; [16.2  1.8],0
p1,1,0.867061,0.02802,[ 12 146] ; [ 4 44],[ 12.27184466 145.72815534] ; [ 3.72815534 44.27184466],0
a5,1,0.952116,0.003606,[88 73] ; [26 22],[87.81818182 73.18181818] ; [26.18181818 21.81818182],0
