Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,49.209146,[ 19 103] ; [41 20],[40. 82.] ; [20. 41.],1
n3,1,0.486987,0.483175,[29 13] ; [17  5],[30.1875 11.8125] ; [15.8125  6.1875],0
v2,1,0.542356,0.371191,[59 60] ; [30 25],[60.86781609 58.13218391] ; [28.13218391 26.86781609],0
p2,1,0.629818,0.232307,[90 32] ; [47 14],[91.33333333 30.66666667] ; [45.66666667 15.33333333],0
n6,1,0.787931,0.07236,[83 39] ; [42 18],[83.79120879 38.20879121] ; [41.20879121 18.79120879],0
p12,1,0.792946,0.068899,[  5 118] ; [ 2 59],[  4.67934783 118.32065217] ; [ 2.32065217 58.67934783],0
d1,1,0.79658,0.066448,[56 67] ; [29 32],[56.82065217 66.17934783] ; [28.17934783 32.82065217],0
p8,1,0.80344,0.06195,[55 68] ; [28 32],[55.78688525 67.21311475] ; [27.21311475 32.78688525],0
r1,1,0.899354,0.015997,[95 27] ; [48 13],[95.33333333 26.66666667] ; [47.66666667 13.33333333],0
d3,1,0.911709,0.012295,[81 41] ; [41 20],[81.33333333 40.66666667] ; [40.66666667 20.33333333],0
n2,1,0.94369,0.004989,[32  9] ; [17  5],[31.88888889  9.11111111] ; [17.11111111  4.88888889],0
a6,1,0.971035,0.001318,[83 40] ; [41 20],[82.89130435 40.10869565] ; [41.10869565 19.89130435],0
