Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000292,13.117905,[23 23] ; [ 2 24],[15.97222222 30.02777778] ; [ 9.02777778 16.97222222],1
d2,1,0.394923,0.723732,[22 23] ; [10 16],[20.28169014 24.71830986] ; [11.71830986 14.28169014],0
n4,1,0.397313,0.716444,[26 20] ; [12 14],[24.27777778 21.72222222] ; [13.72222222 12.27777778],0
b4,1,0.421085,0.647285,[22 24] ; [15 11],[23.63888889 22.36111111] ; [13.36111111 12.63888889],0
p6,1,0.428364,0.627254,[11 33] ; [ 4 20],[ 9.70588235 34.29411765] ; [ 5.29411765 18.70588235],0
p4,1,0.436688,0.60497,[18 27] ; [ 8 18],[16.47887324 28.52112676] ; [ 9.52112676 16.47887324],0
d4,1,0.444692,0.584144,[29 17] ; [14 12],[27.47222222 18.52777778] ; [15.52777778 10.47222222],0
s5,1,0.460545,0.544571,[ 8 36] ; [ 3 23],[ 6.91428571 37.08571429] ; [ 4.08571429 21.91428571],0
n6,1,0.489105,0.478495,[28 17] ; [14 12],[26.61971831 18.38028169] ; [15.38028169 10.61971831],0
d1,1,0.492073,0.47199,[16 30] ; [ 7 19],[14.69444444 31.30555556] ; [ 8.30555556 17.69444444],0
p11,1,0.526399,0.401338,[16 30] ; [11 15],[17.25 28.75] ; [ 9.75 16.25],0
b1,1,0.553938,0.35031,[25 21] ; [16 10],[26.19444444 19.80555556] ; [14.80555556 11.19444444],0
s1,1,0.56745,0.326968,[ 2 43] ; [ 2 24],[ 2.53521127 42.46478873] ; [ 1.46478873 24.53521127],0
n5,1,0.593712,0.284585,[26 20] ; [13 13],[24.91666667 21.08333333] ; [14.08333333 11.91666667],0
s6,1,0.596334,0.280561,[17 29] ; [ 8 18],[15.97222222 30.02777778] ; [ 9.02777778 16.97222222],0
p2,1,0.623627,0.240803,[22 24] ; [14 12],[23. 23.] ; [13. 13.],0
s2,1,0.646217,0.210702,[11 35] ; [ 5 21],[10.22222222 35.77777778] ; [ 5.77777778 20.22222222],0
s4,1,0.657788,0.196221,[ 9 37] ; [ 4 22],[ 8.30555556 37.69444444] ; [ 4.69444444 21.30555556],0
p7,1,0.678339,0.172002,[20 26] ; [10 16],[19.16666667 26.83333333] ; [10.83333333 15.16666667],0
v2,1,0.681261,0.168709,[16 29] ; [ 8 18],[15.21126761 29.78873239] ; [ 8.78873239 17.21126761],0
v1,1,0.692428,0.15647,[10 34] ; [ 7 19],[10.68571429 33.31428571] ; [ 6.31428571 19.68571429],0
s3,1,0.763952,0.090177,[16 29] ; [ 8 17],[15.42857143 29.57142857] ; [ 8.57142857 16.42857143],0
d5,1,0.78384,0.075251,[25 21] ; [15 11],[25.55555556 20.44444444] ; [14.44444444 11.55555556],0
b5,1,0.791758,0.069711,[28 18] ; [15 11],[27.47222222 18.52777778] ; [15.52777778 10.47222222],0
b3,1,0.818281,0.052788,[ 7 19] ; [ 6 14],[ 7.34782609 18.65217391] ; [ 5.65217391 14.34782609],0
b2,1,0.818281,0.052788,[ 7 19] ; [ 6 14],[ 7.34782609 18.65217391] ; [ 5.65217391 14.34782609],0
p1,1,0.851131,0.035222,[ 3 43] ; [ 2 24],[ 3.19444444 42.80555556] ; [ 1.80555556 24.19444444],0
p8,1,0.865226,0.028807,[10 35] ; [ 6 19],[10.28571429 34.71428571] ; [ 5.71428571 19.28571429],0
a2,1,0.882377,0.021891,[ 4 42] ; [ 2 24],[ 3.83333333 42.16666667] ; [ 2.16666667 23.83333333],0
a6,1,0.891409,0.018638,[24 22] ; [14 12],[24.27777778 21.72222222] ; [13.72222222 12.27777778],0
d3,1,0.891409,0.018638,[22 24] ; [12 14],[21.72222222 24.27777778] ; [12.27777778 13.72222222],0
n3,1,0.925955,0.008637,[12  7] ; [8 5],[11.875  7.125] ; [8.125 4.875],0
a7,1,0.933894,0.00688,[19 27] ; [11 15],[19.16666667 26.83333333] ; [10.83333333 15.16666667],0
