Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,6.7e-05,15.87979,[16 86] ; [10  7],[22.28571429 79.71428571] ; [ 3.71428571 13.28571429],1
r2,1,0.428491,0.62691,[79 21] ; [14  2],[80.17241379 19.82758621] ; [12.82758621  3.17241379],0
b3,1,0.436958,0.604257,[14 42] ; [4 7],[15.04477612 40.95522388] ; [2.95522388 8.04477612],0
b2,1,0.436958,0.604257,[14 42] ; [4 7],[15.04477612 40.95522388] ; [2.95522388 8.04477612],0
r3,1,0.473214,0.514462,[75 26] ; [14  3],[76.1779661 24.8220339] ; [12.8220339  4.1779661],0
a7,1,0.48535,0.486818,[63 39] ; [12  5],[64.28571429 37.71428571] ; [10.71428571  6.28571429],0
p10,1,0.501015,0.452786,[50 50] ; [10  7],[51.28205128 48.71794872] ; [8.71794872 8.28205128],0
u3,1,0.531745,0.391056,[23 19] ; [2 3],[22.34042553 19.65957447] ; [2.65957447 2.34042553],0
r1,1,0.533135,0.388413,[64 38] ; [12  5],[65.14285714 36.85714286] ; [10.85714286  6.14285714],0
b4,1,0.544139,0.367923,[58 44] ; [11  6],[59.14285714 42.85714286] ; [9.85714286 7.14285714],0
p11,1,0.54817,0.360606,[56 46] ; [8 9],[54.85714286 47.14285714] ; [9.14285714 7.85714286],0
a1,1,0.589496,0.291131,[ 8 94] ; [ 2 15],[ 8.57142857 93.42857143] ; [ 1.42857143 15.57142857],0
p9,1,0.603293,0.270058,[58 42] ; [11  6],[58.97435897 41.02564103] ; [10.02564103  6.97435897],0
b5,1,0.649163,0.206957,[60 42] ; [9 8],[59.14285714 42.85714286] ; [9.85714286 7.14285714],0
a5,1,0.653081,0.202037,[54 48] ; [8 9],[53.14285714 48.85714286] ; [8.85714286 8.14285714],0
p6,1,0.70575,0.142559,[14 85] ; [ 3 14],[14.50862069 84.49137931] ; [ 2.49137931 14.50862069],0
p1,1,0.715893,0.132462,[ 4 97] ; [ 1 16],[ 4.27966102 96.72033898] ; [ 0.72033898 16.27966102],0
v3,1,0.725646,0.123147,[22 75] ; [ 3 13],[21.46017699 75.53982301] ; [ 3.53982301 12.46017699],0
p8,1,0.741951,0.108419,[29 71] ; [ 4 12],[28.44827586 71.55172414] ; [ 4.55172414 11.44827586],0
n1,1,0.763753,0.090334,[16 25] ; [4 5],[16.4 24.6] ; [3.6 5.4],0
b1,1,0.764633,0.089642,[50 52] ; [9 8],[50.57142857 51.42857143] ; [8.42857143 8.57142857],0
n5,1,0.793203,0.068725,[50 51] ; [9 8],[50.5 50.5] ; [8.5 8.5],0
a6,1,0.794314,0.067971,[62 39] ; [11  6],[62.48305085 38.51694915] ; [10.51694915  6.48305085],0
u1,1,0.8812,0.022335,[ 7 95] ; [ 1 16],[ 6.85714286 95.14285714] ; [ 1.14285714 15.85714286],0
u2,1,0.9029,0.014884,[27 16] ; [3 2],[26.875 16.125] ; [3.125 1.875],0
v4,1,0.949395,0.004028,[75 24] ; [13  4],[75.10344828 23.89655172] ; [12.89655172  4.10344828],0
p7,1,0.965974,0.00182,[39 57] ; [ 7 10],[39.07964602 56.92035398] ; [ 6.92035398 10.07964602],0
p4,1,0.980598,0.000591,[30 71] ; [ 5 12],[29.95762712 71.04237288] ; [ 5.04237288 11.95762712],0
r4,1,1.0,0.0,[60 42] ; [10  7],[60. 42.] ; [10.  7.],0
